"","CoreID","TreeID","plot.id","Site","tree.number","species","canopy.class","live.dead","dbh","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie"
"1","ACA001B","ACA001","ACA","Austin Cary FL",1,"PIPA","C","LIVE",39.6,1,2,"B","N",1918,1927,1928,2014,"Y",1928,2014,"Y","",""
"2","ACA001C","ACA001","ACA","Austin Cary FL",1,"PIPA","C","LIVE",39.6,1,2,"C","N",1917,1920,1921,2014,"Y",1921,2014,"Y","",""
"3","ACA004A","ACA004","ACA","Austin Cary FL",4,"PIPA","C","LIVE",30.6,1,2,"A","N",1914,1919,1920,2014,"Y",1920,2014,"Y","",""
"4","ACA004B","ACA004","ACA","Austin Cary FL",4,"PIPA","C","LIVE",30.6,1,2,"B","N",1916,1919,1920,2014,"Y",1920,2014,"Y","",""
"5","ACA005A","ACA005","ACA","Austin Cary FL",5,"PIPA","C","LIVE",22.5,1,2,"A","N",1912,1914,1915,2009,"Y",1915,2009,"Y","","Y"
"6","ACA005B","ACA005","ACA","Austin Cary FL",5,"PIPA","C","LIVE",22.5,1,2,"B","N",1911,1915,1916,2011,"Y",1916,2011,"Y","","Y"
"7","ACA006A","ACA006","ACA","Austin Cary FL",6,"PIPA","C","LIVE",29.9,1,2,"A","N",1918,1921,1922,2011,"Y",NA,NA,"N","","Y"
"8","ACA006B","ACA006","ACA","Austin Cary FL",6,"PIPA","C","LIVE",29.9,1,2,"B","N",1918,1920,1921,2010,"Y",1921,2010,"Y","","Y"
"9","ACA007A","ACA007","ACA","Austin Cary FL",7,"PIPA","C","LIVE",35.5,1,2,"A",NA,NA,1927,1928,2014,"Y",1928,2014,"Y","",""
"10","ACA007B","ACA007","ACA","Austin Cary FL",7,"PIPA","C","LIVE",35.5,1,2,"B","N",1921,1927,1928,2014,"Y",1928,2014,"Y","",""
"11","ACA008A","ACA008","ACA","Austin Cary FL",8,"PIPA","C","LIVE",33.9,1,2,"A","Y",1923,1923,1924,2010,"Y",1924,2010,"Y","","Y"
"12","ACA008B","ACA008","ACA","Austin Cary FL",8,"PIPA","C","LIVE",33.9,1,2,"B","Y",1924,1924,1925,2014,"Y",1925,2014,"Y","",""
"13","ACA009A","ACA009","ACA","Austin Cary FL",9,"PIPA","C","LIVE",31.7,1,2,"A","N",1914,1925,1926,2010,"Y",NA,NA,"N","","Y"
"14","ACA009B","ACA009","ACA","Austin Cary FL",9,"PIPA","C","LIVE",31.7,1,2,"B","N",1919,1923,1924,2014,"Y",1924,2014,"Y","",""
"15","ACA010A","ACA010","ACA","Austin Cary FL",10,"PIPA","C","LIVE",18.6,1,2,"A",NA,NA,1938,1939,2011,"Y",1939,2011,"Y","","Y"
"16","ACA010B","ACA010","ACA","Austin Cary FL",10,"PIPA","C","LIVE",18.6,1,2,"B","N",1936,1939,1940,2009,"Y",1940,2009,"Y","","Y"
"17","ACA011A","ACA011","ACA","Austin Cary FL",11,"PIPA","C","LIVE",26,1,2,"A","N",1918,1920,1921,2014,"Y",1921,2014,"Y","",""
"18","ACA011B","ACA011","ACA","Austin Cary FL",11,"PIPA","C","LIVE",26,1,2,"B","N",1918,1920,1921,2010,"Y",1921,2010,"Y","","Y"
"19","ACA012A","ACA012","ACA","Austin Cary FL",12,"PIPA","C","LIVE",35.7,1,2,"A","N",1918,1919,1920,2014,"Y",1920,2014,"Y","",""
"20","ACA012B","ACA012","ACA","Austin Cary FL",12,"PIPA","C","LIVE",35.7,1,2,"B","N",1916,1921,1922,2014,"Y",1922,2014,"Y","",""
"21","ACA013A","ACA013","ACA","Austin Cary FL",13,"PIPA","C","LIVE",22.8,1,2,"A","Y",1946,1946,1947,2014,"Y",1947,2014,"Y","",""
"22","ACA013B","ACA013","ACA","Austin Cary FL",13,"PIPA","C","LIVE",22.8,1,2,"B","N",1946,1946,1947,2014,"Y",1947,2014,"Y","",""
"23","ACA014A","ACA014","ACA","Austin Cary FL",14,"PIPA","C","LIVE",34.8,1,2,"A","Y",1932,1932,1933,2014,"Y",1933,2014,"Y","",""
"24","ACA014B","ACA014","ACA","Austin Cary FL",14,"PIPA","C","LIVE",34.8,1,2,"B","Y",1931,1931,1932,2014,"Y",1932,2014,"Y","",""
"25","ACA015A","ACA015","ACA","Austin Cary FL",15,"PIPA","C","LIVE",17.1,1,2,"A","N",1936,1939,1940,2011,"Y",NA,NA,"N","","Y"
"26","ACA015B","ACA015","ACA","Austin Cary FL",15,"PIPA","C","LIVE",17.1,1,2,"B",NA,NA,1953,1954,2014,"Y",NA,NA,"N","","Y"
"27","ACA016A","ACA016","ACA","Austin Cary FL",16,"PIPA","C","LIVE",36.2,1,2,"A","Y",1925,1925,1926,2014,"Y",1926,2014,"Y","",""
"28","ACA016B","ACA016","ACA","Austin Cary FL",16,"PIPA","C","LIVE",36.2,1,2,"B","Y",1926,1926,1927,2014,"Y",1927,2014,"Y","",""
"29","ACA017A","ACA017","ACA","Austin Cary FL",17,"PIPA","C","LIVE",42.2,1,2,"A","Y",1920,1920,1921,2014,"Y",1921,2014,"Y","",""
"30","ACA017B","ACA017","ACA","Austin Cary FL",17,"PIPA","C","LIVE",42.2,1,2,"B","Y",1920,1920,1921,2014,"Y",1921,2014,"Y","",""
"31","ACA018A","ACA018","ACA","Austin Cary FL",18,"PIPA","C","LIVE",27.2,1,2,"A","N",1927,1936,1937,2014,"Y",1937,2014,"Y","",""
"32","ACA018B","ACA018","ACA","Austin Cary FL",18,"PIPA","C","LIVE",27.2,1,2,"B","N",1931,1933,1934,2011,"Y",1934,2011,"Y","","Y"
"33","ACA019A","ACA019","ACA","Austin Cary FL",19,"PIPA","C","LIVE",26.7,1,2,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"34","ACA019B","ACA019","ACA","Austin Cary FL",19,"PIPA","C","LIVE",26.7,1,2,"B","N",1932,1936,1937,2014,"Y",1937,2014,"N","",""
"35","ACA020A","ACA020","ACA","Austin Cary FL",20,"PIPA","C","LIVE",23.5,1,2,"A","Y",1919,1919,1920,1990,"N",1920,1990,"Y","BREAK",""
"36","ACA020B","ACA020","ACA","Austin Cary FL",20,"PIPA","C","LIVE",23.5,1,2,"B","N",1915,1919,1920,1993,"Y",1920,1993,"Y","BREAK",""
"37","ACA021A","ACA021","ACA","Austin Cary FL",21,"PIPA","C","LIVE",42.9,1,2,"A","N",1920,1920,1921,2014,"Y",1921,2014,"Y","",""
"38","ACA021B","ACA021","ACA","Austin Cary FL",21,"PIPA","C","LIVE",42.9,1,2,"B","N",NA,1923,1924,2014,"Y",NA,NA,"N","","Y"
"39","ACA023A","ACA023","ACA","Austin Cary FL",23,"PIPA","C","LIVE",31.8,1,2,"A","N",1922,1923,1924,2014,"Y",1924,2014,"Y","",""
"40","ACA023B","ACA023","ACA","Austin Cary FL",23,"PIPA","C","LIVE",31.8,1,2,"B","N",1921,1926,1927,2014,"Y",1927,2013,"Y","",""
"41","ACA024A","ACA024","ACA","Austin Cary FL",24,"PIPA","C","LIVE",38,1,2,"A",NA,NA,1923,1924,2014,"Y",1924,2014,"Y","",""
"42","ACA024B","ACA024","ACA","Austin Cary FL",24,"PIPA","C","LIVE",38,1,2,"B","N",1918,1921,1922,2014,"Y",1922,2014,"Y","",""
"43","ACA025A","ACA025","ACA","Austin Cary FL",25,"PIPA","C","LIVE",35,1,2,"A",NA,NA,1939,1940,2014,"Y",1940,2014,"Y","",""
"44","ACA025B","ACA025","ACA","Austin Cary FL",25,"PIPA","C","LIVE",35,1,2,"B",NA,NA,1924,1925,2014,"Y",1925,2014,"Y","",""
"45","ACA026A","ACA026","ACA","Austin Cary FL",26,"PIPA","C","LIVE",22.8,1,2,"A",NA,NA,1921,1922,2007,"Y",1922,2007,"Y","","Y"
"46","ACA026B","ACA026","ACA","Austin Cary FL",26,"PIPA","C","LIVE",22.8,1,2,"B","Y",1921,1921,1922,2006,"Y",1922,2006,"Y","","Y"
"47","ACA027A","ACA027","ACA","Austin Cary FL",27,"PIPA","C","LIVE",34.8,1,2,"A","N",1917,1927,1928,2014,"Y",1928,2014,"Y","",""
"48","ACA027B","ACA027","ACA","Austin Cary FL",27,"PIPA","C","LIVE",34.8,1,2,"B","N",1917,1921,1922,2014,"Y",1922,2014,"Y","",""
"49","ACA028A","ACA028","ACA","Austin Cary FL",28,"PIPA","C","LIVE",35.6,1,2,"A",NA,NA,1923,1924,2008,"Y",1924,2008,"Y","","Y"
"50","ACA028B","ACA028","ACA","Austin Cary FL",28,"PIPA","C","LIVE",35.6,1,2,"B","N",1918,1921,1922,2007,"Y",1922,2007,"Y","","Y"
"51","ACA029A","ACA029","ACA","Austin Cary FL",29,"PIPA","C","LIVE",37.2,1,2,"A","N",1944,1949,1950,2014,"Y",1950,2014,"Y","",""
"52","ACA029B","ACA029","ACA","Austin Cary FL",29,"PIPA","C","LIVE",37.2,1,2,"B",NA,NA,1960,1961,2014,"Y",1961,2014,"Y","",""
"53","ACA030A","ACA030","ACA","Austin Cary FL",30,"PIPA","C","LIVE",22.2,1,2,"A","N",1944,1947,1948,2011,"Y",1948,2011,"Y","","Y"
"54","ACA030B","ACA030","ACA","Austin Cary FL",30,"PIPA","C","LIVE",22.2,1,2,"B","N",1951,1958,1959,2011,"Y",1959,2011,"Y","","Y"
"55","ACA031A","ACA031","ACA","Austin Cary FL",31,"PIPA","C","LIVE",29.5,1,2,"A","Y",1952,1952,1953,2012,"Y",NA,NA,"N","","Y"
"56","ACA031B","ACA031","ACA","Austin Cary FL",31,"PIPA","C","LIVE",29.5,1,2,"B","N",1943,1946,1947,2003,"Y",1928,2003,"Y","BREAK",""
"57","ACA032A","ACA032","ACA","Austin Cary FL",32,"PIPA","C","LIVE",21.2,1,2,"A","N",1925,1927,1928,2010,"Y",1928,2010,"Y","","Y"
"58","ACA032B","ACA032","ACA","Austin Cary FL",32,"PIPA","C","LIVE",21.2,1,2,"B","N",1927,1927,1928,2014,"Y",1928,2014,"Y","",""
"59","ACB001A","ACB001","ACB","Austin Cary FL",1,"PIPA","*","DEAD",26.8,1,2,"A","N",NA,1938,1939,2010,"Y",NA,NA,"N","ROTTEN",""
"60","ACB001B","ACB001","ACB","Austin Cary FL",1,"PIPA","*","DEAD",26.8,1,2,"B","N",1936,1937,1938,2008,"Y",1938,2008,"Y","","Y"
"61","ACB002A","ACB002","ACB","Austin Cary FL",2,"PIPA","C","LIVE",28.5,1,2,"A","N",1934,1943,1944,2000,"Y",1944,2000,"Y","CUT, DIDN'T MEASURE OUTSIDE.",""
"62","ACB002B","ACB002","ACB","Austin Cary FL",2,"PIPA","C","LIVE",28.5,1,2,"B","N",1935,1938,1939,2000,"Y",1939,2000,"Y","CUT, DIDN'T MEASURE OUTSIDE.",""
"63","ACB003A","ACB003","ACB","Austin Cary FL",3,"PIPA","C","LIVE",33.2,1,2,"A","Y",1940,1940,1941,2014,"Y",1941,2014,"Y","",""
"64","ACB003B","ACB003","ACB","Austin Cary FL",3,"PIPA","C","LIVE",33.2,1,2,"B","N",1940,1940,1941,2014,"Y",1941,2014,"Y","",""
"65","ACB004A","ACB004","ACB","Austin Cary FL",4,"PIPA","C","LIVE",30.5,1,2,"A","N",1950,1953,1954,2014,"Y",NA,NA,"N","",""
"66","ACB004B","ACB004","ACB","Austin Cary FL",4,"PIPA","C","LIVE",30.5,1,2,"B","Y",1949,1949,1950,2014,"Y",NA,NA,"N","",""
"67","ACB005A","ACB005","ACB","Austin Cary FL",5,"PIPA","C","LIVE",33.5,1,2,"A","N",1945,1950,1951,2014,"Y",NA,NA,"N","",""
"68","ACB005B","ACB005","ACB","Austin Cary FL",5,"PIPA","C","LIVE",33.5,1,2,"B","N",1944,1954,1955,2014,"Y",NA,NA,"N","",""
"69","ACB006A","ACB006","ACB","Austin Cary FL",6,"PIPA","C","LIVE",22.9,1,2,"A","N",1921,1923,1924,2014,"Y",1924,2014,"Y","",""
"70","ACB006B","ACB006","ACB","Austin Cary FL",6,"PIPA","C","LIVE",22.9,1,2,"B","N",1920,1923,1924,2014,"Y",1924,2014,"Y","",""
"71","ACB007A","ACB007","ACB","Austin Cary FL",7,"PIPA","C","LIVE",33.3,1,2,"A","N",1937,1939,1940,2014,"Y",1940,2014,"Y","",""
"72","ACB007B","ACB007","ACB","Austin Cary FL",7,"PIPA","C","LIVE",33.3,1,2,"B","N",1937,1948,1949,2014,"Y",1949,2014,"Y","",""
"73","ACB008A","ACB008","ACB","Austin Cary FL",8,"PIPA","I","LIVE",10,1,2,"A","Y",1957,1957,1958,2014,"Y",NA,NA,"N","",""
"74","ACB008B","ACB008","ACB","Austin Cary FL",8,"PIPA","I","LIVE",10,1,2,"B","N",1951,1959,1960,2014,"Y",NA,NA,"N","",""
"75","ACB009A","ACB009","ACB","Austin Cary FL",9,"PIPA","C","LIVE",34.3,1,2,"A","Y",1921,1921,1922,2014,"Y",1922,2014,"Y","",""
"76","ACB009B","ACB009","ACB","Austin Cary FL",9,"PIPA","C","LIVE",34.3,1,2,"B","N",1918,1922,1923,2014,"Y",1923,2014,"Y","",""
"77","ACB010A","ACB010","ACB","Austin Cary FL",10,"PIPA","C","LIVE",27.2,1,2,"A","N",1920,1925,1926,2014,"Y",1926,2014,"Y","",""
"78","ACB010B","ACB010","ACB","Austin Cary FL",10,"PIPA","C","LIVE",27.2,1,2,"B","N",1917,1921,1922,2014,"Y",1922,2014,"Y","",""
"79","ACB011A","ACB011","ACB","Austin Cary FL",11,"PIPA","C","LIVE",29.9,1,2,"A","N",1919,1925,1926,2014,"Y",1926,2014,"Y","",""
"80","ACB011B","ACB011","ACB","Austin Cary FL",11,"PIPA","C","LIVE",29.9,1,2,"B","Y",1921,1921,1922,2014,"Y",1922,2014,"Y","",""
"81","ACB012A","ACB012","ACB","Austin Cary FL",12,"PIPA","C","LIVE",24.4,1,2,"A","N",1921,1927,1928,1990,"Y",NA,NA,"Y","CUT, DIDN'T MEASURE OUTSIDE.",""
"82","ACB012B","ACB012","ACB","Austin Cary FL",12,"PIPA","C","LIVE",24.4,1,2,"B","N",1921,1925,1926,2014,"Y",1926,2014,"Y","",""
"83","ACB013A","ACB013","ACB","Austin Cary FL",13,"PIPA","C","LIVE",29.6,1,2,"A","Y",1934,1934,1935,2014,"Y",1935,2014,"Y","",""
"84","ACB013B","ACB013","ACB","Austin Cary FL",13,"PIPA","C","LIVE",29.6,1,2,"B","N",1933,1934,1935,2014,"Y",1935,2014,"Y","",""
"85","ACB014A","ACB014","ACB","Austin Cary FL",14,"PIPA","C","LIVE",28.9,1,2,"A","N",1918,1922,1923,1980,"Y",1923,1980,"Y","WOUND",""
"86","ACB014B","ACB014","ACB","Austin Cary FL",14,"PIPA","C","LIVE",28.9,1,2,"B","N",1919,1920,1921,2005,"Y",1921,2005,"Y","","Y"
"87","ACB015A","ACB015","ACB","Austin Cary FL",15,"PIPA","C","LIVE",28.4,1,2,"A","Y",1921,1921,1922,2009,"Y",1922,2009,"Y","","Y"
"88","ACB015B","ACB015","ACB","Austin Cary FL",15,"PIPA","C","LIVE",28.4,1,2,"B","Y",1932,1932,1923,2014,"Y",1923,2014,"Y","",""
"89","ACB016A","ACB016","ACB","Austin Cary FL",16,"PIPA","C","LIVE",31.4,1,2,"A","N",1920,1923,1924,2014,"Y",1924,2014,"Y","",""
"90","ACB016B","ACB016","ACB","Austin Cary FL",16,"PIPA","C","LIVE",31.4,1,2,"B","Y",1922,1922,1923,2014,"Y",1923,2014,"Y","",""
"91","ACB017A","ACB017","ACB","Austin Cary FL",17,"PIPA","C","LIVE",26.7,1,2,"A","Y",1932,1932,1933,2014,"Y",1933,2014,"Y","",""
"92","ACB017B","ACB017","ACB","Austin Cary FL",17,"PIPA","C","LIVE",26.7,1,2,"B","Y",1932,1932,1933,2014,"Y",1933,2014,"Y","",""
"93","ACB018A","ACB018","ACB","Austin Cary FL",18,"PIPA","C","LIVE",28.8,1,2,"A","N",1935,1938,1939,2014,"Y",1939,2014,"Y","",""
"94","ACB018B","ACB018","ACB","Austin Cary FL",18,"PIPA","C","LIVE",28.8,1,2,"B","N",NA,1941,1942,2014,"Y",1942,2014,"Y","",""
"95","ACB019A","ACB019","ACB","Austin Cary FL",19,"PIPA","C","LIVE",28.5,1,2,"A","N",1933,1938,1939,2014,"Y",1939,2014,"Y","",""
"96","ACB019B","ACB019","ACB","Austin Cary FL",19,"PIPA","C","LIVE",28.5,1,2,"B","Y",1935,1935,1936,2014,"Y",1936,2014,"Y","",""
"97","ACB020A","ACB020","ACB","Austin Cary FL",20,"PIPA","C","LIVE",34.9,1,2,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"98","ACB020B","ACB020","ACB","Austin Cary FL",20,"PIPA","C","LIVE",34.9,1,2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"99","ACB021A","ACB021","ACB","Austin Cary FL",21,"PIPA","C","LIVE",29.7,1,2,"A","N",1932,1934,1935,2014,"Y",1935,2014,"Y","",""
"100","ACB021B","ACB021","ACB","Austin Cary FL",21,"PIPA","C","LIVE",29.7,1,2,"B","N",1932,1934,1935,2014,"Y",1935,2014,"Y","",""
"101","ACB022A","ACB022","ACB","Austin Cary FL",22,"PIPA","C","LIVE",24,1,2,"A","N",1934,1938,1939,2014,"Y",1939,2014,"Y","",""
"102","ACB022B","ACB022","ACB","Austin Cary FL",22,"PIPA","C","LIVE",24,1,2,"B","N",1932,1935,1936,2014,"Y",1936,2014,"Y","",""
"103","ACB023A","ACB023","ACB","Austin Cary FL",23,"PIPA","C","LIVE",32.6,1,2,"A","N",1925,1925,1926,2010,"Y",NA,NA,"N","",""
"104","ACB023B","ACB023","ACB","Austin Cary FL",23,"PIPA","C","LIVE",32.6,1,2,"B","Y",1926,1926,1927,2012,"Y",1927,2012,"Y","","Y"
"105","ACB024A","ACB024","ACB","Austin Cary FL",24,"PIPA","C","LIVE",32.7,1,2,"A","Y",1924,1924,1925,2014,"Y",1925,2014,"Y","",""
"106","ACB024B","ACB024","ACB","Austin Cary FL",24,"PIPA","C","LIVE",32.7,1,2,"B","N",1924,1925,1926,2014,"Y",1926,2014,"Y","",""
"107","ACB025A","ACB025","ACB","Austin Cary FL",25,"PIPA","C","LIVE",13.6,1,2,"A","N",1936,1944,1945,2014,"Y",NA,NA,"N","",""
"108","ACB025B","ACB025","ACB","Austin Cary FL",25,"PIPA","C","LIVE",13.6,1,2,"B","N",1936,1944,1945,2014,"Y",NA,NA,"N","",""
"109","ACB026A","ACB026","ACB","Austin Cary FL",26,"PIPA","C","LIVE",35.5,1,2,"A","N",1928,1934,1935,2014,"Y",1935,2014,"Y","",""
