"","CoreID","TreeID","plot.id","Site","tree.number","species","canopy.class","live.dead","dbh","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie"
"170","DHA001A","DHA001","DHA","Duke Hardwood",1,"QUBI","I","LIVE",15.7,1,2,"A","Y",1921,1921,1922,2014,"Y",1922,2014,"Y","",""
"171","DHA001B","DHA001","DHA","Duke Hardwood",1,"QUBI","I","LIVE",15.7,1,2,"B",NA,NA,1939,1940,2014,"Y",1940,2014,"Y","BREAK",""
"172","DHA002A","DHA002","DHA","Duke Hardwood",2,"LIST","D","LIVE",17.9,1,2,"A",NA,NA,1936,1936,2014,"Y",1936,2014,"N","MEASURE ONLY",""
"173","DHA002B","DHA002","DHA","Duke Hardwood",2,"LIST","D","LIVE",17.9,1,2,"B",NA,NA,1923,1923,2014,"Y",1923,2014,"N","MEASURE ONLY",""
"174","DHA003A","DHA003","DHA","Duke Hardwood",3,"QUBI","D","LIVE",59.3,1,2,"A",NA,NA,1900,1900,2014,"Y",1900,2014,"Y","TIGHT INNER MANY MORE RINGS INSIDE",""
"175","DHA003B","DHA003","DHA","Duke Hardwood",3,"QUBI","D","LIVE",59.3,1,2,"B",NA,NA,1793,1794,2014,"Y",1794,2014,"Y","",""
"176","DHA004A","DHA004","DHA","Duke Hardwood",4,"QUPH","D","LIVE",55.5,1,2,"A",NA,NA,1943,1944,2014,"Y",1944,2014,"Y","",""
"177","DHA004B","DHA004","DHA","Duke Hardwood",4,"QUPH","D","LIVE",55.5,1,2,"B","N",1918,1931,1932,2014,"Y",1932,2014,"Y","",""
"178","DHA005A","DHA005","DHA","Duke Hardwood",5,"QUPH","C","LIVE",24.7,1,2,"N","N",1915,1917,1918,2014,"Y",1918,2014,"Y","",""
"179","DHA005B","DHA005","DHA","Duke Hardwood",5,"QUPH","C","LIVE",24.7,1,2,"B",NA,NA,1934,1935,2014,"Y",1935,2014,"Y","",""
"180","DHA006A","DHA006","DHA","Duke Hardwood",6,"QUPH","C","LIVE",43.1,1,2,"A","N",1907,1910,1911,2014,"Y",1911,2014,"Y","",""
"181","DHA006B","DHA006","DHA","Duke Hardwood",6,"QUPH","C","LIVE",43.1,1,2,"B","N",1913,1937,1938,2014,"Y",1938,2014,"Y","",""
"182","DHA007A","DHA007","DHA","Duke Hardwood",7,"ACRU","I","LIVE",21.3,1,2,"A","Y",1912,1912,1913,2014,"Y",1913,2014,"N","",""
"183","DHA007B","DHA007","DHA","Duke Hardwood",7,"ACRU","I","LIVE",21.3,1,2,"B",NA,NA,1915,1916,2014,"Y",1916,2014,"N","",""
"184","DHA008A","DHA008","DHA","Duke Hardwood",8,"OAK","*","DEAD",22.1,1,2,"A","N",1918,1920,1921,2006,"Y",1921,2006,"Y","",""
"185","DHA008B","DHA008","DHA","Duke Hardwood",8,"OAK","*","DEAD",22.1,1,2,"B",NA,NA,1957,1958,2014,"Y",1958,2014,"Y","",""
"186","DHA009A","DHA009","DHA","Duke Hardwood",9,"ULMUS","*","DEAD",20.8,1,2,"A","N",1792,1802,1803,2014,"Y",1803,2014,"N","",""
"187","DHA009B","DHA009","DHA","Duke Hardwood",9,"ULMUS","*","DEAD",20.8,1,2,"B","N",1802,1813,1814,2014,"Y",1814,2014,"N","",""
"188","DHA010A","DHA010","DHA","Duke Hardwood",10,"LIST","D","LIVE",66.1,1,2,"A",NA,NA,1843,1843,2014,"Y",1843,2014,"N","",""
"189","DHA010B","DHA010","DHA","Duke Hardwood",10,"LIST","D","LIVE",66.1,1,2,"B","N",1792,1798,1799,2014,"Y",1799,2014,"N","",""
"190","DHA011A","DHA011","DHA","Duke Hardwood",11,"OAK","*","DEAD",26.4,1,2,"A",NA,NA,1916,1917,2014,"Y",1917,2014,"N","",""
"191","DHA011B","DHA011","DHA","Duke Hardwood",11,"OAK","*","DEAD",26.4,1,2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"192","DHA012A","DHA012","DHA","Duke Hardwood",12,"QUBI","C","LIVE",42,1,2,"A","N",1921,1926,1927,2014,"Y",1927,2014,"Y","",""
"193","DHA012B","DHA012","DHA","Duke Hardwood",12,"QUBI","C","LIVE",42,1,2,"B","N",1915,1921,1922,2014,"Y",1922,2014,"Y","",""
"194","DHA013A","DHA013","DHA","Duke Hardwood",13,"LIST","I","LIVE",25.1,1,2,"A",NA,NA,1930,1931,2014,"Y",1931,2014,"N","",""
"195","DHA013B","DHA013","DHA","Duke Hardwood",13,"LIST","I","LIVE",25.1,1,2,"B",NA,NA,1920,1921,2014,"Y",1921,2014,"N","",""
"196","DHA014A","DHA014","DHA","Duke Hardwood",14,"ACRU","S","LIVE",15.9,1,2,"A","Y",1931,1931,1932,2014,"Y",1932,2014,"N","",""
"197","DHA014B","DHA014","DHA","Duke Hardwood",14,"ACRU","S","LIVE",15.9,1,2,"B","Y",1936,1936,1937,2014,"Y",1937,2014,"N","",""
"198","DHA015A","DHA015","DHA","Duke Hardwood",15,"QUBI","I","LIVE",24.5,1,2,"A","N",1921,1931,1932,2014,"Y",1932,2014,"Y","",""
"199","DHA015B","DHA015","DHA","Duke Hardwood",15,"QUBI","I","LIVE",24.5,1,2,"B","N",1922,1928,1929,2014,"Y",1929,2014,"Y","",""
"200","DHA017A","DHA017","DHA","Duke Hardwood",17,"QUBI","I","LIVE",24.5,1,2,"A","N",1913,1915,1916,2014,"Y",1916,2014,"Y","",""
"201","DHA017B","DHA017","DHA","Duke Hardwood",17,"QUBI","I","LIVE",24.5,1,2,"B",NA,NA,1951,1952,2014,"Y",1952,2014,"Y","",""
"202","DHA018A","DHA018","DHA","Duke Hardwood",18,"ULAL","D","LIVE",30.8,1,2,"A",NA,NA,1900,1900,2014,"Y",1900,2014,"N","",""
"203","DHA018B","DHA018","DHA","Duke Hardwood",18,"ULAL","D","LIVE",30.8,1,2,"B",NA,NA,1950,1950,2014,"Y",1950,2014,"N","",""
"204","DHA019A","DHA019","DHA","Duke Hardwood",19,"QUBI","I","LIVE",23,1,2,"A","N",1915,1919,1920,2014,"Y",1920,2014,"Y","",""
