"","CoreID","TreeID","plot.id","Site","tree.number","species","canopy.class","live.dead","dbh","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie"
"372","DLA001A","DLA001","DLA","Duke Loblolly",1,"PITA","C","LIVE",32.9,1,2,"A","Y",1985,1985,1986,2014,"Y",1986,2014,"Y","",""
"373","DLA001B","DLA001","DLA","Duke Loblolly",1,"PITA","C","LIVE",32.9,1,2,"B","N",1985,1986,1987,2014,"Y",1987,2014,"Y","",""
"374","DLA002A","DLA002","DLA","Duke Loblolly",2,"PITA","C","LIVE",17.8,1,2,"A","Y",1988,1988,1989,2007,"Y",NA,NA,"N","",""
"375","DLA002B","DLA002","DLA","Duke Loblolly",2,"PITA","C","LIVE",17.8,1,2,"B",NA,NA,1988,1990,2014,"Y",1990,2014,"Y","",""
"376","DLA003A","DLA003","DLA","Duke Loblolly",3,"PITA","C","LIVE",25,1,2,"A","N",1984,1988,1989,2014,"Y",1989,2014,"Y","",""
"377","DLA003B","DLA003","DLA","Duke Loblolly",3,"PITA","C","LIVE",25,1,2,"B",NA,NA,1987,1988,2014,"Y",1988,2014,"Y","",""
"378","DLA004A","DLA004","DLA","Duke Loblolly",4,"PITA","C","LIVE",16.2,1,2,"A","Y",1994,1994,1995,2013,"Y",NA,NA,"N","",""
"379","DLA004B","DLA004","DLA","Duke Loblolly",4,"PITA","C","LIVE",16.2,1,2,"B","N",1994,1995,1996,2014,"Y",NA,NA,"N","",""
"380","DLA005A","DLA005","DLA","Duke Loblolly",5,"PITA","C","LIVE",34.7,1,2,"A","N",1985,1986,1987,2014,"Y",1987,2014,"Y","",""
"381","DLA005B","DLA005","DLA","Duke Loblolly",5,"PITA","C","LIVE",34.7,1,2,"B","N",1985,1987,1988,2014,"Y",1988,2014,"Y","",""
"382","DLA006A","DLA006","DLA","Duke Loblolly",6,"PITA","C","LIVE",28,1,2,"A","Y",1985,1985,1986,2014,"Y",1986,2014,"Y","",""
"383","DLA006B","DLA006","DLA","Duke Loblolly",6,"PITA","C","LIVE",28,1,2,"B","N",1985,1986,1987,2014,"Y",1987,2014,"Y","",""
"384","DLA007A","DLA007","DLA","Duke Loblolly",7,"PITA","C","LIVE",36,1,2,"A","N",1985,1986,1987,2014,"Y",1987,2014,"Y","",""
"385","DLA007B","DLA007","DLA","Duke Loblolly",7,"PITA","C","LIVE",36,1,2,"B",NA,NA,1988,1989,2014,"Y",1989,2014,"Y","",""
"386","DLA008A","DLA008","DLA","Duke Loblolly",8,"PITA","C","LIVE",32.4,1,2,"A",NA,NA,1988,1989,2014,"Y",1989,2014,"Y","",""
"387","DLA008B","DLA008","DLA","Duke Loblolly",8,"PITA","C","LIVE",32.4,1,2,"B","Y",1986,1986,1987,2014,"Y",1987,2014,"Y","",""
"388","DLA009A","DLA009","DLA","Duke Loblolly",9,"LITU","I","LIVE",13.4,1,2,"A","N",1989,1991,1992,2014,"Y",1992,2014,"Y","",""
"389","DLA009B","DLA009","DLA","Duke Loblolly",9,"LITU","I","LIVE",13.4,1,2,"B","N",1989,1990,1991,2014,"N",1991,2014,"Y","",""
"390","DLA010A","DLA010","DLA","Duke Loblolly",10,"PRSE","S","LIVE",10.6,1,2,"A","Y",1984,1984,1985,2014,"Y",1985,2014,"Y","",""
"391","DLA010B","DLA010","DLA","Duke Loblolly",10,"PRSE","S","LIVE",10.6,1,2,"B","Y",1984,1984,1985,2014,"Y",1985,2014,"Y","",""
"392","DLA011A","DLA011","DLA","Duke Loblolly",11,"LIST","I","LIVE",15,1,2,"A","N",1989,1990,1991,2014,"Y",1991,2014,"N","",""
"393","DLA011B","DLA011","DLA","Duke Loblolly",11,"LIST","I","LIVE",15,1,2,"B","Y",1989,1989,1990,2014,"Y",1990,2014,"Y","",""
"394","DLA012A","DLA012","DLA","Duke Loblolly",12,"LIST","I","LIVE",16.7,1,2,"A","N",1982,1985,1986,2014,"Y",1986,2014,"Y","",""
"395","DLA012B","DLA012","DLA","Duke Loblolly",12,"LIST","I","LIVE",16.7,1,2,"B","N",1983,1984,1985,2014,"Y",1985,2014,"Y","",""
"396","DLA013A","DLA013","DLA","Duke Loblolly",13,"PRSE","I","LIVE",12.5,1,2,"A","Y",1984,1984,1985,2014,"Y",1985,2014,"Y","",""
"397","DLA013B","DLA013","DLA","Duke Loblolly",13,"PRSE","I","LIVE",12.5,1,2,"B","N",1984,1985,1986,2014,"Y",1986,2014,"Y","",""
"398","DLA014A","DLA014","DLA","Duke Loblolly",14,"PITA","*","DEAD",13.3,1,2,"A","Y",1997,1997,1998,2014,"Y",NA,NA,"N","",""
"399","DLA014B","DLA014","DLA","Duke Loblolly",14,"PITA","*","DEAD",13.3,1,2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"400","DLA015A","DLA015","DLA","Duke Loblolly",15,"LITU","I","LIVE",12.5,1,2,"A","Y",1989,1989,1990,2014,"Y",1990,2014,"Y","",""
"401","DLA015B","DLA015","DLA","Duke Loblolly",15,"LITU","I","LIVE",12.5,1,2,"B","N",NA,1991,1992,2011,"N",1992,2011,"Y","BREAK",""
"402","DLA016A","DLA016","DLA","Duke Loblolly",16,"PITA","C","LIVE",33.6,1,2,"A",NA,NA,1986,1987,2014,"Y",1987,2014,"Y","",""
"403","DLA016B","DLA016","DLA","Duke Loblolly",16,"PITA","C","LIVE",33.6,1,2,"B","Y",1985,1985,1986,2014,"Y",1986,2014,"Y","",""
"404","DLA017A","DLA017","DLA","Duke Loblolly",17,"PITA","C","LIVE",23.1,1,2,"A",NA,NA,1987,1988,2014,"Y",1988,2014,"Y","",""
"405","DLA017B","DLA017","DLA","Duke Loblolly",17,"PITA","C","LIVE",23.1,1,2,"B",NA,NA,1988,1989,2014,"Y",1989,2014,"Y","",""
"406","DLA018A","DLA018","DLA","Duke Loblolly",18,"PITA","*","DEAD",20.1,1,2,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"407","DLA018B","DLA018","DLA","Duke Loblolly",18,"PITA","*","DEAD",20.1,1,2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"408","DLA019A","DLA019","DLA","Duke Loblolly",19,"PITA","C","LIVE",30.4,1,2,"A",NA,NA,1987,1989,2014,"Y",1989,2014,"Y","",""
"409","DLA019B","DLA019","DLA","Duke Loblolly",19,"PITA","C","LIVE",30.4,1,2,"B","Y",1986,1986,1989,2014,"Y",1989,2014,"Y","",""
"410","DLA020A","DLA020","DLA","Duke Loblolly",20,"PITA","C","LIVE",27.7,1,2,"A","Y",1985,1985,1986,2014,"Y",1986,2014,"Y","",""
"411","DLA020B","DLA020","DLA","Duke Loblolly",20,"PITA","C","LIVE",27.7,1,2,"B",NA,NA,1985,1986,2014,"Y",1986,2014,"Y","",""
