"","CoreID","TreeID","plot.id","Site","tree.number","species","canopy.class","live.dead","dbh","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie"
"753","FPA001A","FPA001","FPA","Florida Plantation",1,"PIEL","C","LIVE",13.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"754","FPA001B","FPA001","FPA","Florida Plantation",1,"PIEL","C","LIVE",13.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"755","FPA002A","FPA002","FPA","Florida Plantation",2,"PIEL","C","LIVE",15.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"756","FPA002B","FPA002","FPA","Florida Plantation",2,"PIEL","C","LIVE",15.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"757","FPA003A","FPA003","FPA","Florida Plantation",3,"PIEL","C","LIVE",12.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"758","FPA003B","FPA003","FPA","Florida Plantation",3,"PIEL","C","LIVE",12.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"759","FPA004A","FPA004","FPA","Florida Plantation",4,"PIEL","C","LIVE",19.9,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"760","FPA004B","FPA004","FPA","Florida Plantation",4,"PIEL","C","LIVE",19.9,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"761","FPA005A","FPA005","FPA","Florida Plantation",5,"PIEL","C","LIVE",22.3,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"762","FPA005B","FPA005","FPA","Florida Plantation",5,"PIEL","C","LIVE",22.3,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"763","FPA006A","FPA006","FPA","Florida Plantation",6,"PIEL","C","LIVE",19.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"764","FPA006B","FPA006","FPA","Florida Plantation",6,"PIEL","C","LIVE",19.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"765","FPA007A","FPA007","FPA","Florida Plantation",7,"PIEL","C","LIVE",14.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"766","FPA007B","FPA007","FPA","Florida Plantation",7,"PIEL","C","LIVE",14.4,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"767","FPA008A","FPA008","FPA","Florida Plantation",8,"PIEL","C","LIVE",23.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"768","FPA008B","FPA008","FPA","Florida Plantation",8,"PIEL","C","LIVE",23.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"769","FPA009A","FPA009","FPA","Florida Plantation",9,"PIEL","C","LIVE",13.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"770","FPA009B","FPA009","FPA","Florida Plantation",9,"PIEL","C","LIVE",13.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"771","FPA010A","FPA010","FPA","Florida Plantation",10,"PIEL","C","LIVE",24,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"772","FPA010B","FPA010","FPA","Florida Plantation",10,"PIEL","C","LIVE",24,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"773","FPA011A","FPA011","FPA","Florida Plantation",11,"PIEL","C","LIVE",13.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"774","FPA011B","FPA011","FPA","Florida Plantation",11,"PIEL","C","LIVE",13.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"775","FPA012A","FPA012","FPA","Florida Plantation",12,"PIEL","C","LIVE",17.3,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"776","FPA012B","FPA012","FPA","Florida Plantation",12,"PIEL","C","LIVE",17.3,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"777","FPA013A","FPA013","FPA","Florida Plantation",13,"PIEL","C","LIVE",18.3,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"778","FPA013B","FPA013","FPA","Florida Plantation",13,"PIEL","C","LIVE",18.3,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"779","FPA014A","FPA014","FPA","Florida Plantation",14,"PIEL","C","LIVE",24.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"780","FPA014B","FPA014","FPA","Florida Plantation",14,"PIEL","C","LIVE",24.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"781","FPA015A","FPA015","FPA","Florida Plantation",15,"PIEL","C","LIVE",19,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"782","FPA015B","FPA015","FPA","Florida Plantation",15,"PIEL","C","LIVE",19,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"783","FPA016A","FPA016","FPA","Florida Plantation",16,"PIEL","C","LIVE",15.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"784","FPA016B","FPA016","FPA","Florida Plantation",16,"PIEL","C","LIVE",15.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"785","FPA017A","FPA017","FPA","Florida Plantation",17,"PIEL","C","LIVE",17.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"786","FPA017B","FPA017","FPA","Florida Plantation",17,"PIEL","C","LIVE",17.2,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"787","FPA018A","FPA018","FPA","Florida Plantation",18,"PIEL","C","LIVE",19.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"788","FPA018B","FPA018","FPA","Florida Plantation",18,"PIEL","C","LIVE",19.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"789","FPA020A","FPA020","FPA","Florida Plantation",20,"PIEL","C","LIVE",11.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"790","FPA020B","FPA020","FPA","Florida Plantation",20,"PIEL","C","LIVE",11.2,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"791","FPA021A","FPA021","FPA","Florida Plantation",21,"PIEL","C","LIVE",16.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"792","FPA021B","FPA021","FPA","Florida Plantation",21,"PIEL","C","LIVE",16.4,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"793","FPA022A","FPA022","FPA","Florida Plantation",22,"PIEL","C","LIVE",13,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"794","FPA022B","FPA022","FPA","Florida Plantation",22,"PIEL","C","LIVE",13,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"795","FPA023A","FPA023","FPA","Florida Plantation",23,"PIEL","C","LIVE",23.6,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"796","FPA023B","FPA023","FPA","Florida Plantation",23,"PIEL","C","LIVE",23.6,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"797","FPA024A","FPA024","FPA","Florida Plantation",24,"PIEL","C","LIVE",18.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"798","FPA024B","FPA024","FPA","Florida Plantation",24,"PIEL","C","LIVE",18.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"799","FPA025A","FPA025","FPA","Florida Plantation",25,"PIEL","C","LIVE",18.3,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"800","FPA025B","FPA025","FPA","Florida Plantation",25,"PIEL","C","LIVE",18.3,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"801","FPA026A","FPA026","FPA","Florida Plantation",26,"PIEL","C","LIVE",21.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"802","FPA026B","FPA026","FPA","Florida Plantation",26,"PIEL","C","LIVE",21.2,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"803","FPA027A","FPA027","FPA","Florida Plantation",27,"PIEL","C","LIVE",11.6,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"804","FPA027B","FPA027","FPA","Florida Plantation",27,"PIEL","C","LIVE",11.6,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"805","FPA028A","FPA028","FPA","Florida Plantation",28,"PIEL","C","LIVE",19.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"806","FPA028B","FPA028","FPA","Florida Plantation",28,"PIEL","C","LIVE",19.4,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"807","FPA029A","FPA029","FPA","Florida Plantation",29,"PIEL","C","LIVE",16.6,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"808","FPA029B","FPA029","FPA","Florida Plantation",29,"PIEL","C","LIVE",16.6,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"809","FPA030A","FPA030","FPA","Florida Plantation",30,"PIEL","C","LIVE",23,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"810","FPA030B","FPA030","FPA","Florida Plantation",30,"PIEL","C","LIVE",23,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"811","FPA031A","FPA031","FPA","Florida Plantation",31,"PIEL","C","LIVE",19,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"812","FPA031B","FPA031","FPA","Florida Plantation",31,"PIEL","C","LIVE",19,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"813","FPA032A","FPA032","FPA","Florida Plantation",32,"PIEL","C","LIVE",12.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"814","FPA032B","FPA032","FPA","Florida Plantation",32,"PIEL","C","LIVE",12.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"815","FPA033A","FPA033","FPA","Florida Plantation",33,"PIEL","C","LIVE",17.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"816","FPA033B","FPA033","FPA","Florida Plantation",33,"PIEL","C","LIVE",17.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"817","FPA034A","FPA034","FPA","Florida Plantation",34,"PIEL","C","LIVE",15.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"818","FPA034B","FPA034","FPA","Florida Plantation",34,"PIEL","C","LIVE",15.4,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"819","FPA035A","FPA035","FPA","Florida Plantation",35,"PIEL","C","LIVE",24.9,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"820","FPA035B","FPA035","FPA","Florida Plantation",35,"PIEL","C","LIVE",24.9,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"821","FPA036A","FPA036","FPA","Florida Plantation",36,"PIEL","C","LIVE",13.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"822","FPA036B","FPA036","FPA","Florida Plantation",36,"PIEL","C","LIVE",13.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"823","FPA037A","FPA037","FPA","Florida Plantation",37,"PIEL","C","LIVE",14.3,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"824","FPA037B","FPA037","FPA","Florida Plantation",37,"PIEL","C","LIVE",14.3,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"825","FPA038A","FPA038","FPA","Florida Plantation",38,"PIEL","C","LIVE",10.6,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"826","FPA038B","FPA038","FPA","Florida Plantation",38,"PIEL","C","LIVE",10.6,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"827","FPB001A","FPB001","FPB","Florida Plantation",1,"PIEL","C","LIVE",21.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"828","FPB001B","FPB001","FPB","Florida Plantation",1,"PIEL","C","LIVE",21.2,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"829","FPB002A","FPB002","FPB","Florida Plantation",2,"PIEL","C","LIVE",20.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"830","FPB002B","FPB002","FPB","Florida Plantation",2,"PIEL","C","LIVE",20.2,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"831","FPB003A","FPB003","FPB","Florida Plantation",3,"PIEL","C","LIVE",12.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"832","FPB003B","FPB003","FPB","Florida Plantation",3,"PIEL","C","LIVE",12.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"833","FPB004A","FPB004","FPB","Florida Plantation",4,"PIEL","C","LIVE",17.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"834","FPB004B","FPB004","FPB","Florida Plantation",4,"PIEL","C","LIVE",17.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"835","FPB005A","FPB005","FPB","Florida Plantation",5,"PIEL","C","LIVE",21.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"836","FPB005B","FPB005","FPB","Florida Plantation",5,"PIEL","C","LIVE",21.2,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"837","FPB006A","FPB006","FPB","Florida Plantation",6,"PIEL","C","LIVE",16.6,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"838","FPB006B","FPB006","FPB","Florida Plantation",6,"PIEL","C","LIVE",16.6,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"839","FPB007A","FPB007","FPB","Florida Plantation",7,"PIEL","C","LIVE",18.6,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"840","FPB007B","FPB007","FPB","Florida Plantation",7,"PIEL","C","LIVE",18.6,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"841","FPB008A","FPB008","FPB","Florida Plantation",8,"PIEL","C","LIVE",18,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"842","FPB008B","FPB008","FPB","Florida Plantation",8,"PIEL","C","LIVE",18,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"843","FPB009A","FPB009","FPB","Florida Plantation",9,"PIEL","C","LIVE",16,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"844","FPB009B","FPB009","FPB","Florida Plantation",9,"PIEL","C","LIVE",16,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"845","FPB010A","FPB010","FPB","Florida Plantation",10,"PIEL","C","LIVE",19,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"846","FPB010B","FPB010","FPB","Florida Plantation",10,"PIEL","C","LIVE",19,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"847","FPB011A","FPB011","FPB","Florida Plantation",11,"PIEL","C","LIVE",13.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
