"CoreID","Site","plot.id","tree.number","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie","species","canopy.class","live.dead","dbh","plot"
"HOW1001N","Howland",1,1,1,2,"N",NA,NA,1931,1931,2013,"Y",1931,2013,"Y",NA,NA,"PCRU","I","LIVE",23,"1"
"HOW1002E","Howland",1,2,1,2,"E",NA,NA,1965,1965,2013,"Y",1965,2013,"Y",NA,NA,"PCRU","SNAG","DEAD",13.2,"1"
"HOW1002W","Howland",1,2,1,2,"W",NA,NA,1967,1967,2012,"Y",1967,2012,"Y",NA,NA,"PCRU","SNAG","DEAD",13.2,"1"
"HOW1004S","Howland",1,4,1,2,"S",NA,NA,1920,1920,2000,"Y",1920,2000,"Y",NA,NA,"PCRU","I","LIVE",16,"1"
"HOW1004N","Howland",1,4,1,2,"N",NA,NA,1920,1920,2001,"Y",1920,2001,"Y",NA,NA,"PCRU","I","LIVE",16,"1"
"HOW1005E","Howland",1,5,1,2,"E",NA,NA,1925,1925,2013,"Y",1925,2013,"Y",NA,NA,"TSCA","I","LIVE",17.8,"1"
"HOW1005W","Howland",1,5,1,2,"W",NA,NA,1923,1923,2013,"Y",1923,2013,"Y",NA,NA,"TSCA","I","LIVE",17.8,"1"
"HOW1006B","Howland",1,6,1,2,"B",NA,NA,1877,1877,2013,"Y",1877,2013,"Y",NA,NA,"PCRU","C","LIVE",27.5,"1"
"HOW1006A","Howland",1,6,1,2,"A",NA,NA,1877,1877,2013,"Y",1877,2013,"Y",NA,NA,"PCRU","C","LIVE",27.5,"1"
"HOW1007N","Howland",1,7,1,2,"N",NA,NA,1920,1920,2013,"Y",1920,2013,"Y",NA,NA,"ACRU","C","LIVE",27,"1"
"HOW1007S","Howland",1,7,1,2,"S",NA,NA,1920,1920,2013,"Y",1920,2013,"Y",NA,NA,"ACRU","C","LIVE",27,"1"
"HOW1008S","Howland",1,8,1,2,"S",NA,NA,1931,1931,2013,"Y",1931,2013,"Y",NA,NA,"TSCA","S","LIVE",15.2,"1"
"HOW1008N","Howland",1,8,1,2,"N",NA,NA,1931,1931,2013,"Y",1931,2013,"Y",NA,NA,"TSCA","S","LIVE",15.2,"1"
"HOW1009N","Howland",1,9,1,2,"N",NA,NA,1933,1933,2013,"Y",1933,2013,"Y",NA,NA,"PCRU","C","LIVE",21.3,"1"
"HOW1009S","Howland",1,9,1,2,"S",NA,NA,1933,1933,2013,"Y",1933,2013,"Y",NA,NA,"PCRU","C","LIVE",21.3,"1"
"HOW1010S","Howland",1,10,1,2,"S",NA,NA,1937,1937,2013,"Y",1937,2013,"Y",NA,NA,"PCRU","I","LIVE",13.5,"1"
"HOW1010N","Howland",1,10,1,2,"N",NA,NA,1937,1937,2013,"Y",1937,2013,"Y",NA,NA,"PCRU","I","LIVE",13.5,"1"
"HOW1011N","Howland",1,11,1,2,"N",NA,NA,1935,1935,2013,"Y",1935,2013,"Y",NA,NA,"TSCA","D","LIVE",42.5,"1"
"HOW1011S","Howland",1,11,1,2,"S",NA,NA,1942,1942,2013,"Y",1942,2013,"Y",NA,NA,"TSCA","D","LIVE",42.5,"1"
"HOW1012S","Howland",1,12,1,2,"S",NA,NA,1930,1930,2013,"Y",1930,2013,"Y",NA,NA,"TSCA","D","LIVE",27.8,"1"
"HOW1012N","Howland",1,12,1,2,"N",NA,NA,1930,1930,2013,"Y",1930,2013,"Y",NA,NA,"TSCA","D","LIVE",27.8,"1"
"HOW1013N","Howland",1,13,1,2,"N",NA,NA,1941,1941,2013,"Y",1941,2013,"Y",NA,NA,"PCRU","C","LIVE",29,"1"
"HOW1013S","Howland",1,13,1,2,"S",NA,NA,1941,1941,2013,"Y",1941,2013,"Y",NA,NA,"PCRU","C","LIVE",29,"1"
"HOW1014E","Howland",1,14,1,2,"E",NA,NA,1924,1924,2013,"Y",1924,2013,"Y",NA,NA,"TSCA","C","LIVE",25.5,"1"
"HOW1014W","Howland",1,14,1,2,"W",NA,NA,1925,1925,2013,"Y",1925,2013,"Y",NA,NA,"TSCA","C","LIVE",25.5,"1"
"HOW1020E","Howland",1,20,1,2,"E",NA,NA,1938,1938,2013,"Y",1938,2013,"Y",NA,NA,"PCRU","C","LIVE",20.5,"1"
"HOW1020W","Howland",1,20,1,2,"W",NA,NA,1938,1938,2013,"Y",1938,2013,"Y",NA,NA,"PCRU","C","LIVE",20.5,"1"
"HOW1021E","Howland",1,21,1,2,"E",NA,NA,1927,1927,2013,"Y",1927,2013,"Y",NA,NA,"PCRU","C","LIVE",28.7,"1"
"HOW1021W","Howland",1,21,1,2,"W",NA,NA,1927,1927,2013,"Y",1927,2013,"Y",NA,NA,"PCRU","C","LIVE",28.7,"1"
"HOW1022E","Howland",1,22,1,2,"E",NA,NA,1962,1962,2008,"Y",1962,2008,"Y",NA,NA,"PCRU","SNAG","DEAD",17.1,"1"
"HOW1022W","Howland",1,22,1,2,"W",NA,NA,1962,1962,2000,"Y",1962,2000,"Y",NA,NA,"PCRU","SNAG","DEAD",17.1,"1"
"HOW1023S","Howland",1,23,1,2,"S",NA,NA,1939,1939,2013,"Y",1939,2013,"Y",NA,NA,"PCRU","C","LIVE",29.5,"1"
"HOW1023N","Howland",1,23,1,2,"N",NA,NA,1939,1939,2013,"Y",1939,2013,"Y",NA,NA,"PCRU","C","LIVE",29.5,"1"
"HOW1024W","Howland",1,24,1,2,"W",NA,NA,1927,1927,2013,"Y",1927,2013,"Y",NA,NA,"TSCA","I","LIVE",18.4,"1"
"HOW1024E","Howland",1,24,1,2,"E",NA,NA,1927,1927,2013,"Y",1927,2013,"Y",NA,NA,"TSCA","I","LIVE",18.4,"1"
"HOW1025S","Howland",1,25,1,2,"S",NA,NA,1935,1935,2013,"Y",1935,2013,"Y",NA,NA,"PCRU","C","LIVE",20.7,"1"
"HOW1025N","Howland",1,25,1,2,"N",NA,NA,1935,1935,2013,"Y",1935,2013,"Y",NA,NA,"PCRU","C","LIVE",20.7,"1"
"HOW1026N","Howland",1,26,1,2,"N",NA,NA,1930,1930,2013,"Y",1930,2013,"Y",NA,NA,"PCRU","C","LIVE",22.3,"1"
