"","CoreID","TreeID","plot.id","Site","tree.number","species","canopy.class","live.dead","dbh","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie"
"975","MAA001A","MAA001","MAA","Michigan AmerifluxTower",1,"ACRU","C","LIVE",25.8,1,2,"A","N",1920,1921,1922,2013,"Y",1922,2013,"Y","",""
"976","MAA001B","MAA001","MAA","Michigan AmerifluxTower",1,"ACRU","C","LIVE",25.8,1,2,"B","N",1922,1927,1928,2013,"Y",1928,2013,"Y","",""
"977","MAA002A","MAA002","MAA","Michigan AmerifluxTower",2,"ACRU","C","LIVE",29.4,1,2,"A","N",1922,1923,1924,2013,"Y",1924,2013,"Y","",""
"978","MAA002B","MAA002","MAA","Michigan AmerifluxTower",2,"ACRU","C","LIVE",29.4,1,2,"B","N",1922,1928,1929,2013,"Y",1929,2013,"Y","",""
"979","MAA003A","MAA003","MAA","Michigan AmerifluxTower",3,"BEPA","*","DEAD",21.2,1,2,"A","N",1915,1916,1917,2010,"Y",1917,2010,"Y","DEAD",""
"980","MAA003B","MAA003","MAA","Michigan AmerifluxTower",3,"BEPA","*","DEAD",21.2,1,2,"B","N",1925,1926,1927,2009,"Y",1927,2009,"Y","DEAD",""
"981","MAA004A","MAA004","MAA","Michigan AmerifluxTower",4,"BEPA","*","DEAD",27.7,1,2,"A",NA,NA,1970,1971,2001,"Y",1971,2001,"Y","DEAD",""
"982","MAA004B","MAA004","MAA","Michigan AmerifluxTower",4,"BEPA","*","DEAD",27.7,1,2,"B","N",1913,1920,1921,1998,"N",1921,1998,"Y","DEAD",""
"983","MAA005A","MAA005","MAA","Michigan AmerifluxTower",5,"BEPA","C","LIVE",22.3,1,2,"A","N",1922,1926,1927,2013,"Y",1927,2013,"Y","",""
"984","MAA005B","MAA005","MAA","Michigan AmerifluxTower",5,"BEPA","C","LIVE",22.3,1,2,"B","N",1923,1926,1927,2013,"Y",1927,2013,"Y","",""
"985","MAA006A","MAA006","MAA","Michigan AmerifluxTower",6,"BEPA","C","LIVE",24.3,1,2,"A",NA,NA,1935,1936,2013,"Y",1936,2013,"Y","",""
"986","MAA006B","MAA006","MAA","Michigan AmerifluxTower",6,"BEPA","C","LIVE",24.3,1,2,"B",NA,NA,1956,1956,2013,"Y",1956,2013,"Y","ROTTEN",""
"987","MAA007A","MAA007","MAA","Michigan AmerifluxTower",7,"BEPA","C","LIVE",29.3,1,2,"A","N",1906,1925,1926,2013,"Y",1926,2013,"Y","",""
"988","MAA007B","MAA007","MAA","Michigan AmerifluxTower",7,"BEPA","C","LIVE",29.3,1,2,"B","Y",1916,1916,1917,2013,"Y",1917,2013,"Y","",""
"989","MAA008A","MAA008","MAA","Michigan AmerifluxTower",8,"BEPA","C","LIVE",27.6,1,2,"A","N",1916,1918,1919,2013,"Y",1919,2013,"Y","",""
"990","MAA008B","MAA008","MAA","Michigan AmerifluxTower",8,"BEPA","C","LIVE",27.6,1,2,"B","N",1916,1917,1918,2013,"Y",1918,2013,"Y","",""
"991","MAA009A","MAA009","MAA","Michigan AmerifluxTower",9,"BEPA","I","LIVE",20.5,1,2,"A",NA,NA,1964,1965,2013,"Y",1965,2013,"Y","",""
"992","MAA009B","MAA009","MAA","Michigan AmerifluxTower",9,"BEPA","I","LIVE",20.5,1,2,"B",NA,NA,1942,1943,2011,"Y",1943,2011,"Y","","Y"
"993","MAA010A","MAA010","MAA","Michigan AmerifluxTower",10,"POGR","C","LIVE",32.3,1,2,"A","N",1928,1935,1936,2013,"Y",1936,2013,"Y","",""
"994","MAA010B","MAA010","MAA","Michigan AmerifluxTower",10,"POGR","C","LIVE",32.3,1,2,"B",NA,NA,1938,1939,2013,"Y",1939,2013,"Y","",""
"995","MAA011A","MAA011","MAA","Michigan AmerifluxTower",11,"POGR","C","LIVE",34.4,1,2,"A","N",1927,1931,1932,2013,"Y",1932,2013,"Y","",""
"996","MAA011B","MAA011","MAA","Michigan AmerifluxTower",11,"POGR","C","LIVE",34.4,1,2,"B","N",1926,1939,1940,2013,"Y",1940,2013,"Y","",""
"997","MAA012A","MAA012","MAA","Michigan AmerifluxTower",12,"POGR","C","LIVE",38.8,1,2,"A","Y",1922,1922,1923,2013,"Y",1923,2013,"Y","",""
"998","MAA012B","MAA012","MAA","Michigan AmerifluxTower",12,"POGR","C","LIVE",38.8,1,2,"B","N",1922,1929,1930,2013,"Y",1930,2013,"Y","",""
"999","MAA013A","MAA013","MAA","Michigan AmerifluxTower",13,"BEPA","I","LIVE",29.9,1,2,"A","N",1919,1922,1923,2013,"Y",1923,2013,"Y","",""
"1000","MAA013B","MAA013","MAA","Michigan AmerifluxTower",13,"BEPA","I","LIVE",29.9,1,2,"B","N",1917,1919,1920,2013,"Y",1920,2013,"Y","",""
"1001","MAA014A","MAA014","MAA","Michigan AmerifluxTower",14,"POGR","C","LIVE",31.1,1,2,"A","N",1934,1934,1935,2013,"Y",1935,2013,"Y","",""
"1002","MAA014B","MAA014","MAA","Michigan AmerifluxTower",14,"POGR","C","LIVE",31.1,1,2,"B","N",1937,1939,1940,2013,"Y",1940,2013,"Y","",""
"1003","MAA015A","MAA015","MAA","Michigan AmerifluxTower",15,"POGR","D","LIVE",45.8,1,2,"A",NA,NA,1954,1955,2013,"Y",1955,2013,"Y","",""
"1004","MAA015B","MAA015","MAA","Michigan AmerifluxTower",15,"POGR","D","LIVE",45.8,1,2,"B",NA,NA,1957,1958,2013,"Y",1958,2013,"Y","",""
"1005","MAA016A","MAA016","MAA","Michigan AmerifluxTower",16,"POGR","I","LIVE",17.9,1,2,"A","N",1938,1943,1944,2013,"Y",1944,2013,"Y","",""
"1006","MAA016B","MAA016","MAA","Michigan AmerifluxTower",16,"POGR","I","LIVE",17.9,1,2,"B","N",1936,1947,1948,2013,"Y",1948,2013,"Y","",""
"1007","MAA017A","MAA017","MAA","Michigan AmerifluxTower",17,"POGR","C","LIVE",20.7,1,2,"A","Y",1941,1941,1942,2013,"Y",1942,2013,"Y","",""
"1008","MAA017B","MAA017","MAA","Michigan AmerifluxTower",17,"POGR","C","LIVE",20.7,1,2,"B","Y",1941,1941,1942,2013,"Y",1942,2013,"Y","",""
"1009","MAA018A","MAA018","MAA","Michigan AmerifluxTower",18,"BEPA","*","DEAD",27.3,1,2,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1010","MAA018B","MAA018","MAA","Michigan AmerifluxTower",18,"BEPA","*","DEAD",27.3,1,2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1011","MAA019A","MAA019","MAA","Michigan AmerifluxTower",19,"BEPA","I","LIVE",20.3,1,2,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1012","MAA019B","MAA019","MAA","Michigan AmerifluxTower",19,"BEPA","I","LIVE",20.3,1,2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"1013","MAA020A","MAA020","MAA","Michigan AmerifluxTower",20,"BEPA","I","LIVE",23,1,2,"A","N",1922,1925,1926,2006,"Y",1926,2006,"Y","","Y"
"1014","MAA020B","MAA020","MAA","Michigan AmerifluxTower",20,"BEPA","I","LIVE",23,1,2,"B","N",1919,1923,1924,20065,"Y",1924,2006,"Y","","Y"
"1015","MAA021A","MAA021","MAA","Michigan AmerifluxTower",21,"QURU","C","LIVE",52.3,1,2,"A","N",1926,1934,1935,2014,"Y",1935,2014,"Y","",""
"1016","MAA021B","MAA021","MAA","Michigan AmerifluxTower",21,"QURU","C","LIVE",52.3,1,2,"B",NA,NA,1940,1941,2014,"Y",1941,2014,"Y","",""
"1017","MAA021C","MAA021","MAA","Michigan AmerifluxTower",22,"QURU","C","LIVE",52.3,1,2,"C","N",1918,1924,1925,2014,"Y",1925,2014,"Y","",""
"1018","MAA022A","MAA022","MAA","Michigan AmerifluxTower",22,"QURU","C","LIVE",34,1,2,"A","N",1919,1920,1921,2014,"Y",1921,2014,"Y","",""
"1019","MAA022B","MAA022","MAA","Michigan AmerifluxTower",22,"QURU","C","LIVE",34,1,2,"B","N",1917,1919,1920,2014,"Y",1920,2014,"Y","",""
"1020","MAA023A","MAA023","MAA","Michigan AmerifluxTower",23,"QURU","C","LIVE",26.1,1,2,"A",NA,NA,1950,1954,2014,"Y",1954,2014,"Y","",""
"1021","MAA023B","MAA023","MAA","Michigan AmerifluxTower",23,"QURU","C","LIVE",26.1,1,2,"B","N",1919,1922,1923,2014,"Y",1923,2014,"Y","",""
"1022","MAA024A","MAA024","MAA","Michigan AmerifluxTower",24,"ACRU","C","LIVE",12.5,1,2,"A","N",1941,1943,1944,2013,"Y",1944,2013,"Y","",""
"1023","MAA024B","MAA024","MAA","Michigan AmerifluxTower",24,"ACRU","C","LIVE",12.5,1,2,"B","N",1943,1945,1946,2013,"Y",1946,2013,"Y","",""
"1024","MAA025A","MAA025","MAA","Michigan AmerifluxTower",25,"ACRU","C","LIVE",17,1,2,"A","N",1920,1936,1937,2013,"Y",1937,2013,"Y","",""
"1025","MAA025B","MAA025","MAA","Michigan AmerifluxTower",25,"ACRU","C","LIVE",17,1,2,"B","N",1923,1923,1924,2013,"Y",1924,2013,"Y","",""
"1026","MAA026A","MAA026","MAA","Michigan AmerifluxTower",26,"ACRU","C","LIVE",15.2,1,2,"A","Y",1923,1923,1930,2013,"Y",1930,2013,"Y","",""
"1027","MAA026B","MAA026","MAA","Michigan AmerifluxTower",26,"ACRU","C","LIVE",15.2,1,2,"B","Y",1922,1922,1923,2013,"Y",1923,2013,"Y","",""
"1028","MAA027A","MAA027","MAA","Michigan AmerifluxTower",27,"ACRU","I","LIVE",11.5,1,2,"A","Y",1926,1926,1927,2013,"Y",1927,2013,"Y","",""
"1029","MAA027B","MAA027","MAA","Michigan AmerifluxTower",27,"ACRU","I","LIVE",11.5,1,2,"B","N",1925,1936,1936,2011,"Y",1936,2011,"Y","","Y"
"1030","MAA028A","MAA028","MAA","Michigan AmerifluxTower",28,"ACRU","I","LIVE",12.1,1,2,"A","N",1926,1926,1927,2013,"Y",1927,2013,"Y","",""
