"","CoreID","TreeID","plot.id","Site","tree.number","species","canopy.class","live.dead","dbh","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie"
"1366","MFA001A","MFA001","MFA","Michigan Facet Site",1,"QURU","D","LIVE",32,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1367","MFA001B","MFA001","MFA","Michigan Facet Site",1,"QURU","D","LIVE",32,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1368","MFA002A","MFA002","MFA","Michigan Facet Site",2,"QURU","D","LIVE",29.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1369","MFA002B","MFA002","MFA","Michigan Facet Site",2,"QURU","D","LIVE",29.4,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1370","MFA003A","MFA003","MFA","Michigan Facet Site",3,"ACRU","I","LIVE",16.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1371","MFA003B","MFA003","MFA","Michigan Facet Site",3,"ACRU","I","LIVE",16.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1372","MFA004A","MFA004","MFA","Michigan Facet Site",4,"FAGR","S","LIVE",12.6,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1373","MFA004B","MFA004","MFA","Michigan Facet Site",4,"FAGR","S","LIVE",12.6,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1374","MFA005A","MFA005","MFA","Michigan Facet Site",5,"FAGR","S","LIVE",10.6,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1375","MFA005B","MFA005","MFA","Michigan Facet Site",5,"FAGR","S","LIVE",10.6,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1376","MFA006A","MFA006","MFA","Michigan Facet Site",6,"POGR","*","DEAD",38.6,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1377","MFA006B","MFA006","MFA","Michigan Facet Site",6,"POGR","*","DEAD",38.6,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1378","MFA007A","MFA007","MFA","Michigan Facet Site",7,"PIST","S","LIVE",10.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1379","MFA007B","MFA007","MFA","Michigan Facet Site",7,"PIST","S","LIVE",10.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1380","MFA008A","MFA008","MFA","Michigan Facet Site",8,"QURU","C","LIVE",33.6,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1381","MFA008B","MFA008","MFA","Michigan Facet Site",8,"QURU","C","LIVE",33.6,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1382","MFA009A","MFA009","MFA","Michigan Facet Site",9,"QURU","C","LIVE",31.9,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1383","MFA009B","MFA009","MFA","Michigan Facet Site",9,"QURU","C","LIVE",31.9,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1384","MFA010A","MFA010","MFA","Michigan Facet Site",10,"POGR","*","DEAD",26.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1385","MFA010B","MFA010","MFA","Michigan Facet Site",10,"POGR","*","DEAD",26.4,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1386","MFA011A","MFA011","MFA","Michigan Facet Site",11,"BEPA","*","DEAD",16.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1387","MFA011B","MFA011","MFA","Michigan Facet Site",11,"BEPA","*","DEAD",16.4,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1388","MFA012A","MFA012","MFA","Michigan Facet Site",12,"FAGR","S","LIVE",11.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1389","MFA012B","MFA012","MFA","Michigan Facet Site",12,"FAGR","S","LIVE",11.2,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1390","MFA013A","MFA013","MFA","Michigan Facet Site",13,"ACRU","S","LIVE",10.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1391","MFA013B","MFA013","MFA","Michigan Facet Site",13,"ACRU","S","LIVE",10.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1392","MFA014A","MFA014","MFA","Michigan Facet Site",14,"ACRU","S","LIVE",11.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1393","MFA014B","MFA014","MFA","Michigan Facet Site",14,"ACRU","S","LIVE",11.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1394","MFA015A","MFA015","MFA","Michigan Facet Site",15,"ACRU","S","LIVE",10.6,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1395","MFA015B","MFA015","MFA","Michigan Facet Site",15,"ACRU","S","LIVE",10.6,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1396","MFA016A","MFA016","MFA","Michigan Facet Site",16,"ACRU","I","LIVE",14.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1397","MFA016B","MFA016","MFA","Michigan Facet Site",16,"ACRU","I","LIVE",14.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1398","MFA017A","MFA017","MFA","Michigan Facet Site",17,"QURU","C","LIVE",35,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1399","MFA017B","MFA017","MFA","Michigan Facet Site",17,"QURU","C","LIVE",35,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1400","MFA018A","MFA018","MFA","Michigan Facet Site",18,"QURU","C","LIVE",30.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1401","MFA018B","MFA018","MFA","Michigan Facet Site",18,"QURU","C","LIVE",30.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1402","MFA019A","MFA019","MFA","Michigan Facet Site",19,"QURU","D","LIVE",41.7,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1403","MFA019B","MFA019","MFA","Michigan Facet Site",19,"QURU","D","LIVE",41.7,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1404","MFA020A","MFA020","MFA","Michigan Facet Site",20,"QURU","D","LIVE",36.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1405","MFA020B","MFA020","MFA","Michigan Facet Site",20,"QURU","D","LIVE",36.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1406","MFA021A","MFA021","MFA","Michigan Facet Site",21,"ACRU","I","LIVE",14.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1407","MFA021B","MFA021","MFA","Michigan Facet Site",21,"ACRU","I","LIVE",14.4,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1408","MFA022A","MFA022","MFA","Michigan Facet Site",22,"QURU","D","LIVE",37.9,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1409","MFA022B","MFA022","MFA","Michigan Facet Site",22,"QURU","D","LIVE",37.9,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1410","MFA023A","MFA023","MFA","Michigan Facet Site",23,"QURU","D","LIVE",22.6,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1411","MFA023B","MFA023","MFA","Michigan Facet Site",23,"QURU","D","LIVE",22.6,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1412","MFA024A","MFA024","MFA","Michigan Facet Site",24,"BEPA","*","DEAD",26.9,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1413","MFA024B","MFA024","MFA","Michigan Facet Site",24,"BEPA","*","DEAD",26.9,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1414","MFA025A","MFA025","MFA","Michigan Facet Site",25,"PIST","C","LIVE",36,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1415","MFA025B","MFA025","MFA","Michigan Facet Site",25,"PIST","C","LIVE",36,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1416","MFA026A","MFA026","MFA","Michigan Facet Site",26,"ACRU","I","LIVE",11.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1417","MFA026B","MFA026","MFA","Michigan Facet Site",26,"ACRU","I","LIVE",11.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1418","MFA027A","MFA027","MFA","Michigan Facet Site",27,"ACRU","I","LIVE",21.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1419","MFA027B","MFA027","MFA","Michigan Facet Site",27,"ACRU","I","LIVE",21.4,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1420","MFA028A","MFA028","MFA","Michigan Facet Site",28,"ACRU","I","LIVE",15.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1421","MFA028B","MFA028","MFA","Michigan Facet Site",28,"ACRU","I","LIVE",15.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1422","MFA029A","MFA029","MFA","Michigan Facet Site",29,"ACRU","C","LIVE",24.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1423","MFA029B","MFA029","MFA","Michigan Facet Site",29,"ACRU","C","LIVE",24.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1424","MFA030A","MFA030","MFA","Michigan Facet Site",30,"ACRU","C","LIVE",20.7,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1425","MFA030B","MFA030","MFA","Michigan Facet Site",30,"ACRU","C","LIVE",20.7,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1426","MFA031A","MFA031","MFA","Michigan Facet Site",31,"QURU","S","LIVE",19.9,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1427","MFA031B","MFA031","MFA","Michigan Facet Site",31,"QURU","S","LIVE",19.9,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1428","MFA032A","MFA032","MFA","Michigan Facet Site",32,"ACRU","I","LIVE",16.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1429","MFA032B","MFA032","MFA","Michigan Facet Site",32,"ACRU","I","LIVE",16.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1430","MFA033A","MFA033","MFA","Michigan Facet Site",33,"QURU","I","LIVE",26.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1431","MFA033B","MFA033","MFA","Michigan Facet Site",33,"QURU","I","LIVE",26.4,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1432","MFA034A","MFA034","MFA","Michigan Facet Site",34,"ACRU","I","LIVE",17.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1433","MFA034B","MFA034","MFA","Michigan Facet Site",34,"ACRU","I","LIVE",17.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1434","MFA035A","MFA035","MFA","Michigan Facet Site",35,"ACRU","S","LIVE",10.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1435","MFA035B","MFA035","MFA","Michigan Facet Site",35,"ACRU","S","LIVE",10.2,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1436","MFA036A","MFA036","MFA","Michigan Facet Site",36,"QURU","C","LIVE",23.3,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1437","MFA036B","MFA036","MFA","Michigan Facet Site",36,"QURU","C","LIVE",23.3,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1438","MFA037A","MFA037","MFA","Michigan Facet Site",37,"QURU","C","LIVE",29.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1439","MFA037B","MFA037","MFA","Michigan Facet Site",37,"QURU","C","LIVE",29.4,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1440","MFA038A","MFA038","MFA","Michigan Facet Site",38,"QURU","D","LIVE",38.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1441","MFA038B","MFA038","MFA","Michigan Facet Site",38,"QURU","D","LIVE",38.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1442","MFA039A","MFA039","MFA","Michigan Facet Site",39,"POGR","*","DEAD",29.9,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1443","MFA039B","MFA039","MFA","Michigan Facet Site",39,"POGR","*","DEAD",29.9,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1444","MFA040A","MFA040","MFA","Michigan Facet Site",40,"PIST","C","LIVE",21.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1445","MFA040B","MFA040","MFA","Michigan Facet Site",40,"PIST","C","LIVE",21.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1446","MFA041A","MFA041","MFA","Michigan Facet Site",41,"FAGR","I","LIVE",19.9,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1447","MFA041B","MFA041","MFA","Michigan Facet Site",41,"FAGR","I","LIVE",19.9,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1448","MFA042A","MFA042","MFA","Michigan Facet Site",42,"QURU","I","LIVE",21.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1449","MFA042B","MFA042","MFA","Michigan Facet Site",42,"QURU","I","LIVE",21.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1450","MFA043A","MFA043","MFA","Michigan Facet Site",43,"PIST","S","LIVE",14.3,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1451","MFA043B","MFA043","MFA","Michigan Facet Site",43,"PIST","S","LIVE",14.3,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1452","MFA044A","MFA044","MFA","Michigan Facet Site",44,"QURU","D","LIVE",48.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1453","MFA044B","MFA044","MFA","Michigan Facet Site",44,"QURU","D","LIVE",48.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1454","MFA045A","MFA045","MFA","Michigan Facet Site",45,"ACRU","I","LIVE",15.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1455","MFA045B","MFA045","MFA","Michigan Facet Site",45,"ACRU","I","LIVE",15.2,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1456","MFA046A","MFA046","MFA","Michigan Facet Site",46,"PIRE","D","LIVE",47.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1457","MFA046B","MFA046","MFA","Michigan Facet Site",46,"PIRE","D","LIVE",47.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1458","MFA047A","MFA047","MFA","Michigan Facet Site",47,"POGR","*","DEAD",21.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1459","MFA047B","MFA047","MFA","Michigan Facet Site",47,"POGR","*","DEAD",21.4,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1460","MFA048A","MFA048","MFA","Michigan Facet Site",48,"POGR","*","DEAD",34,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1461","MFA048B","MFA048","MFA","Michigan Facet Site",48,"POGR","*","DEAD",34,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1462","MFA049A","MFA049","MFA","Michigan Facet Site",49,"POGR","*","DEAD",27,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1463","MFA049B","MFA049","MFA","Michigan Facet Site",49,"POGR","*","DEAD",27,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1464","MFA050A","MFA050","MFA","Michigan Facet Site",50,"PIRE","I","LIVE",21.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1465","MFA050B","MFA050","MFA","Michigan Facet Site",50,"PIRE","I","LIVE",21.2,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1466","MFA051A","MFA051","MFA","Michigan Facet Site",51,"PIST","I","LIVE",41.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1467","MFA051B","MFA051","MFA","Michigan Facet Site",51,"PIST","I","LIVE",41.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1468","MFA052A","MFA052","MFA","Michigan Facet Site",52,"POGR","*","DEAD",37.6,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1469","MFA052B","MFA052","MFA","Michigan Facet Site",52,"POGR","*","DEAD",37.6,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1470","MFA053A","MFA053","MFA","Michigan Facet Site",53,"PIST","I","LIVE",26.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1471","MFA053B","MFA053","MFA","Michigan Facet Site",53,"PIST","I","LIVE",26.2,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1472","MFA054A","MFA054","MFA","Michigan Facet Site",54,"QURU","C","LIVE",31.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"1473","MFA054B","MFA054","MFA","Michigan Facet Site",54,"QURU","C","LIVE",31.2,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"1474","MFA055A","MFA055","MFA","Michigan Facet Site",55,"POGR","*","DEAD",22.6,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
