"","CoreID","TreeID","plot.id","Site","tree.number","species","canopy.class","live.dead","dbh","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie"
"1801","MOA001A","MOA001","MOA","Missouri Ozark",1,"JUVI","S","LIVE",19.09,1,2,"A","N",1956,1960,1961,2014,"Y",1961,2014,"Y","",""
"1802","MOA001B","MOA001","MOA","Missouri Ozark",1,"JUVI","S","LIVE",19.09,1,2,"B","N",1959,1964,1965,2014,"Y",1965,2014,"Y","",""
"1803","MOA002A","MOA002","MOA","Missouri Ozark",2,"CACO","C","LIVE",31.9,1,2,"A","N",1920,1932,1933,2014,"Y",1933,2014,"Y","",""
"1804","MOA002B","MOA002","MOA","Missouri Ozark",2,"CACO","C","LIVE",31.9,1,2,"B","N",1921,1928,1929,2014,"Y",1929,2014,"Y","",""
"1805","MOA003A","MOA003","MOA","Missouri Ozark",3,"CACO","C","LIVE",29.41,1,2,"A","N",1925,1939,1940,2014,"Y",1940,2014,"Y","",""
"1806","MOA003B","MOA003","MOA","Missouri Ozark",3,"CACO","C","LIVE",29.41,1,2,"B","N",1925,1932,1933,2014,"Y",1933,2014,"Y","",""
"1807","MOA004A","MOA004","MOA","Missouri Ozark",4,"JUVI","C","LIVE",27.32,1,2,"A","Y",1945,1945,1946,2014,"Y",1946,2014,"Y","",""
"1808","MOA004B","MOA004","MOA","Missouri Ozark",4,"JUVI","C","LIVE",27.32,1,2,"B","N",1948,1953,1954,2014,"Y",1954,2014,"Y","",""
"1809","MOA005A","MOA005","MOA","Missouri Ozark",5,"JUVI","S","LIVE",14.15,1,2,"A","N",1965,1967,1968,2014,"Y",1968,2014,"Y","",""
"1810","MOA005B","MOA005","MOA","Missouri Ozark",5,"JUVI","S","LIVE",14.15,1,2,"B","N",1962,1968,1969,2014,"Y",1969,2014,"Y","",""
"1811","MOA006A","MOA006","MOA","Missouri Ozark",6,"JUVI","S","LIVE",17.3,1,2,"A","Y",1946,1946,1951,2014,"Y",NA,NA,"N","",""
"1812","MOA006B","MOA006","MOA","Missouri Ozark",6,"JUVI","S","LIVE",17.3,1,2,"B","N",1952,1953,1954,2014,"Y",1954,2014,"Y","",""
"1813","MOA007A","MOA007","MOA","Missouri Ozark",7,"JUVI","S","LIVE",21.05,1,2,"A","N",1959,1961,1962,2014,"Y",1962,2014,"Y","",""
"1814","MOA007B","MOA007","MOA","Missouri Ozark",7,"JUVI","S","LIVE",21.05,1,2,"B","N",1960,1963,1964,2014,"Y",1964,2014,"Y","",""
