"","CoreID","TreeID","plot.id","Site","tree.number","species","canopy.class","live.dead","dbh","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie"
"1610","MMA001A","MMA001","MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,"A","Y",1903,1903,1904,2014,"Y",1904,2014,"Y","",""
"1611","MMA001B","MMA001","MMA","Morgan Monroe State Park",1,"ACSA","I","LIVE",29.47,1,2,"B","N",1903,1906,1907,2014,"Y",1907,2014,"Y","",""
"1612","MMA002A","MMA002","MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TWISTED CAN'T MEASURE",""
"1613","MMA002B","MMA002","MMA","Morgan Monroe State Park",2,"ACSA","S","LIVE",12.39,1,2,"B","N",1930,1932,1933,2013,"Y",1933,2013,"N","",""
"1614","MMA003A","MMA003","MMA","Morgan Monroe State Park",3,"ACSA","C","LIVE",33.27,1,2,"A","N",NA,1967,1968,2013,"Y",1968,2013,"Y","NO PE ROT",""
"1615","MMA003B","MMA003","MMA","Morgan Monroe State Park",3,"ACSA","C","LIVE",33.27,1,2,"B","N",NA,1949,1950,2013,"Y",1950,2013,"Y","NO PE ROT",""
"1616","MMA004A","MMA004","MMA","Morgan Monroe State Park",4,"SAAL","S","LIVE",15.89,1,2,"A","N",NA,1991,1992,2014,"Y",1992,2014,"Y","WOUND/ROT",""
"1617","MMA004B","MMA004","MMA","Morgan Monroe State Park",4,"SAAL","S","LIVE",15.89,1,2,"B","N",NA,1987,1988,2014,"Y",1988,2014,"Y","WOUND/ROT",""
"1618","MMA005A","MMA005","MMA","Morgan Monroe State Park",5,"ACSA","C","LIVE",20.1,1,2,"A","N",1946,1950,1950,2014,"Y",1950,2014,"Y","",""
"1619","MMA005B","MMA005","MMA","Morgan Monroe State Park",5,"ACSA","C","LIVE",20.1,1,2,"B","N",NA,1977,1977,2014,"Y",1977,2014,"Y","WOUND NOPE",""
"1620","MMA006A","MMA006","MMA","Morgan Monroe State Park",6,"ACSA","C","LIVE",31.21,1,2,"A","N",1923,1927,1928,2014,"Y",1928,2013,"Y","",""
"1621","MMA006B","MMA006","MMA","Morgan Monroe State Park",6,"ACSA","C","LIVE",31.21,1,2,"B","N",1926,1930,1931,2013,"Y",1931,2013,"Y","",""
"1622","MMA007A","MMA007","MMA","Morgan Monroe State Park",7,"FRAX","C","LIVE",51.27,1,2,"A","N",1900,1904,1905,2014,"Y",1905,2014,"Y","",""
"1623","MMA007B","MMA007","MMA","Morgan Monroe State Park",7,"FRAX","C","LIVE",51.27,1,2,"B","N",NA,1919,1920,2014,"Y",1920,2014,"Y","",""
"1624","MMA008A","MMA008","MMA","Morgan Monroe State Park",8,"ACSA","I","LIVE",24.98,1,2,"A","N",1922,1924,1925,2013,"Y",1925,2013,"N","",""
"1625","MMA008B","MMA008","MMA","Morgan Monroe State Park",8,"ACSA","I","LIVE",24.98,1,2,"B","N",1913,1916,1917,2013,"Y",1917,2013,"N","",""
"1626","MMA009A","MMA009","MMA","Morgan Monroe State Park",9,"ACSA","C","LIVE",32.89,1,2,"A","N",1926,1933,1934,2014,"Y",1934,2014,"Y","",""
"1627","MMA009B","MMA009","MMA","Morgan Monroe State Park",9,"ACSA","C","LIVE",32.89,1,2,"B","N",1919,1923,1924,2014,"Y",1924,2014,"Y","",""
"1628","MMA010A","MMA010","MMA","Morgan Monroe State Park",10,"ACSA","C","LIVE",28.18,1,2,"A","N",NA,1934,1935,2013,"Y",1935,2012,"Y","2013 PRESENT BUT NOT MEASURED",""
"1629","MMA010B","MMA010","MMA","Morgan Monroe State Park",10,"ACSA","C","LIVE",28.18,1,2,"B","N",1908,1909,1910,2013,"Y",1910,2012,"Y","BARK PRESENT BUT END OUT OF PHASE",""
"1630","MMA011A","MMA011","MMA","Morgan Monroe State Park",11,"ACSA","S","LIVE",10.88,1,2,"A","N",1962,1964,1965,2013,"Y",1965,2013,"N","",""
"1631","MMA011B","MMA011","MMA","Morgan Monroe State Park",11,"ACSA","S","LIVE",10.88,1,2,"B","N",1972,1974,1975,2013,"Y",1975,2013,"N","",""
"1632","MMA012A","MMA012","MMA","Morgan Monroe State Park",12,"ACSA","I","LIVE",21.78,1,2,"A","N",NA,1964,1964,2013,"Y",1964,2013,"N","",""
"1633","MMA012B","MMA012","MMA","Morgan Monroe State Park",12,"ACSA","I","LIVE",21.78,1,2,"B","N",1951,1955,1956,2013,"Y",1956,2013,"Y","",""
"1634","MMA013A","MMA013","MMA","Morgan Monroe State Park",13,"ACSA","I","LIVE",15.91,1,2,"A","Y",1912,1912,1913,2013,"Y",1913,2013,"N","",""
"1635","MMA013B","MMA013","MMA","Morgan Monroe State Park",13,"ACSA","I","LIVE",15.91,1,2,"B","N",NA,1926,1927,2013,"Y",1927,2013,"N","",""
