"","CoreID","TreeID","plot.id","Site","tree.number","species","canopy.class","live.dead","dbh","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie"
"2026","NCC001A","NCC001","NCC","North Carolina Coas",1,"PITA","C","LIVE",37.7,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2027","NCC001B","NCC001","NCC","North Carolina Coas",1,"PITA","C","LIVE",37.7,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2028","NCC002A","NCC002","NCC","North Carolina Coas",2,"PITA","C","LIVE",37.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2029","NCC002B","NCC002","NCC","North Carolina Coas",2,"PITA","C","LIVE",37.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2030","NCC003A","NCC003","NCC","North Carolina Coas",3,"PITA","C","LIVE",45.9,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2031","NCC003B","NCC003","NCC","North Carolina Coas",3,"PITA","C","LIVE",45.9,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2032","NCC004A","NCC004","NCC","North Carolina Coas",4,"PITA","C","LIVE",43.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2033","NCC004B","NCC004","NCC","North Carolina Coas",4,"PITA","C","LIVE",43.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2034","NCC005A","NCC005","NCC","North Carolina Coas",5,"PITA","C","LIVE",44,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2035","NCC005B","NCC005","NCC","North Carolina Coas",5,"PITA","C","LIVE",44,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2036","NCC006A","NCC006","NCC","North Carolina Coas",6,"PITA","C","LIVE",38,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2037","NCC006B","NCC006","NCC","North Carolina Coas",6,"PITA","C","LIVE",38,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2038","NCC007A","NCC007","NCC","North Carolina Coas",7,"PITA","C","LIVE",38.9,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2039","NCC007B","NCC007","NCC","North Carolina Coas",7,"PITA","C","LIVE",38.9,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2040","NCC008A","NCC008","NCC","North Carolina Coas",8,"PITA","C","LIVE",45.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2041","NCC008B","NCC008","NCC","North Carolina Coas",8,"PITA","C","LIVE",45.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2042","NCC009A","NCC009","NCC","North Carolina Coas",9,"PITA","C","LIVE",50.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2043","NCC009B","NCC009","NCC","North Carolina Coas",9,"PITA","C","LIVE",50.2,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2044","NCC010A","NCC010","NCC","North Carolina Coas",10,"PITA","C","LIVE",32.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2045","NCC010B","NCC010","NCC","North Carolina Coas",10,"PITA","C","LIVE",32.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2046","NCC011A","NCC011","NCC","North Carolina Coas",11,"PITA","C","LIVE",42.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2047","NCC011B","NCC011","NCC","North Carolina Coas",11,"PITA","C","LIVE",42.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2048","NCC012A","NCC012","NCC","North Carolina Coas",12,"PITA","C","LIVE",44,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2049","NCC012B","NCC012","NCC","North Carolina Coas",12,"PITA","C","LIVE",44,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2050","NCC013A","NCC013","NCC","North Carolina Coas",13,"PITA","C","LIVE",38.9,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2051","NCC013B","NCC013","NCC","North Carolina Coas",13,"PITA","C","LIVE",38.9,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2052","NCC014A","NCC014","NCC","North Carolina Coas",14,"PITA","C","LIVE",42.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2053","NCC014B","NCC014","NCC","North Carolina Coas",14,"PITA","C","LIVE",42.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2054","NCC015A","NCC015","NCC","North Carolina Coas",15,"PITA","C","LIVE",42.6,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2055","NCC015B","NCC015","NCC","North Carolina Coas",15,"PITA","C","LIVE",42.6,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2056","NCC016A","NCC016","NCC","North Carolina Coas",16,"PITA","C","LIVE",29.9,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2057","NCC016B","NCC016","NCC","North Carolina Coas",16,"PITA","C","LIVE",29.9,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2058","NCC017A","NCC017","NCC","North Carolina Coas",17,"PITA","C","LIVE",42,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2059","NCC017B","NCC017","NCC","North Carolina Coas",17,"PITA","C","LIVE",42,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2060","NCC018A","NCC018","NCC","North Carolina Coas",18,"PITA","C","LIVE",43.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
