"","CoreID","TreeID","plot.id","Site","tree.number","species","canopy.class","live.dead","dbh","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie"
"2066","OOA001A","OOA001","OOA","Oak Openings Toledo",1,"QUAL","C","LIVE",32.1,1,2,"A","N",1935,1937,1936,2014,"Y",1938,2014,"Y","",""
"2067","OOA001B","OOA001","OOA","Oak Openings Toledo",1,"QUAL","C","LIVE",32.1,1,2,"B","N",1935,1944,1945,2014,"Y",1945,2014,"Y","",""
"2068","OOA002A","OOA002","OOA","Oak Openings Toledo",2,"ACRU","S","LIVE",11.32,1,2,"A","Y",1968,1968,1969,2014,"Y",1969,2014,"Y","",""
"2069","OOA002B","OOA002","OOA","Oak Openings Toledo",2,"ACRU","S","LIVE",11.32,1,2,"B","N",1969,1972,1973,2014,"Y",1973,2014,"Y","",""
"2070","OOA003A","OOA003","OOA","Oak Openings Toledo",3,"ACRU","S","LIVE",10.05,1,2,"A","N",1974,1977,1978,2014,"Y",1978,2014,"Y","",""
"2071","OOA003B","OOA003","OOA","Oak Openings Toledo",3,"ACRU","S","LIVE",10.05,1,2,"B","Y",1969,1969,1970,2014,"Y",1970,2014,"Y","",""
"2072","OOA004A","OOA004","OOA","Oak Openings Toledo",4,"ACRU","S","LIVE",13.11,1,2,"A","Y",1970,1970,1971,2014,"Y",1971,2014,"Y","",""
"2073","OOA004B","OOA004","OOA","Oak Openings Toledo",4,"ACRU","S","LIVE",13.11,1,2,"B","N",1970,1971,1972,2014,"Y",1972,2014,"Y","",""
"2074","OOA005A","OOA005","OOA","Oak Openings Toledo",5,"ACRU","S","LIVE",12.23,1,2,"A","N",1978,1982,1983,2014,"Y",1983,2014,"Y","",""
"2075","OOA005B","OOA005","OOA","Oak Openings Toledo",5,"ACRU","S","LIVE",12.23,1,2,"B","N",1978,1980,1981,2014,"Y",1981,2014,"Y","",""
"2076","OOA006A","OOA006","OOA","Oak Openings Toledo",6,"QUAL","S","LIVE",19.91,1,2,"A","Y",1934,1935,1936,2014,"Y",1935,2014,"Y","",""
"2077","OOA006B","OOA006","OOA","Oak Openings Toledo",6,"QUAL","S","LIVE",19.91,1,2,"B","Y",1934,1934,1935,2014,"Y",1935,2014,"Y","",""
"2078","OOA007A","OOA007","OOA","Oak Openings Toledo",7,"ACRU","S","LIVE",12.4,1,2,"A","Y",1972,1972,1973,2014,"Y",1973,2014,"Y","",""
"2079","OOA007B","OOA007","OOA","Oak Openings Toledo",7,"ACRU","S","LIVE",12.4,1,2,"B","N",1975,1978,1979,2014,"Y",1979,2014,"Y","",""
"2080","OOA008A","OOA008","OOA","Oak Openings Toledo",8,"QURU","D","LIVE",47.7,1,2,"A",NA,NA,1939,1940,2014,"Y",1940,2014,"Y","",""
"2081","OOA008B","OOA008","OOA","Oak Openings Toledo",8,"QURU","D","LIVE",47.7,1,2,"B",NA,NA,1939,1940,2014,"Y",1939,2014,"Y","",""
"2082","OOA009A","OOA009","OOA","Oak Openings Toledo",9,"ACRU","S","LIVE",10.8,1,2,"A","Y",1973,1973,1974,2014,"Y",1974,2014,"Y","",""
"2083","OOA009B","OOA009","OOA","Oak Openings Toledo",9,"ACRU","S","LIVE",10.8,1,2,"B","N",1974,1979,1980,2014,"Y",1980,2014,"Y","",""
"2084","OOA010A","OOA010","OOA","Oak Openings Toledo",10,"ACRU","S","LIVE",15.8,1,2,"A","Y",1968,1968,1969,2014,"Y",1969,2014,"Y","",""
"2085","OOA010B","OOA010","OOA","Oak Openings Toledo",10,"ACRU","S","LIVE",15.8,1,2,"B","Y",1968,1968,1969,2014,"Y",1969,2014,"Y","",""
"2086","OOA011A","OOA011","OOA","Oak Openings Toledo",11,"QURU","C","LIVE",32.2,1,2,"A","N",1936,1938,1939,2014,"Y",1939,2014,"Y","",""
"2087","OOA011B","OOA011","OOA","Oak Openings Toledo",11,"QURU","C","LIVE",32.2,1,2,"B","N",1936,1945,1946,2014,"Y",1946,2014,"Y","",""
"2088","OOA012A","OOA012","OOA","Oak Openings Toledo",12,"ACRU","S","LIVE",10.5,1,2,"A","Y",1974,1974,1975,2014,"Y",1975,2014,"Y","",""
"2089","OOA012B","OOA012","OOA","Oak Openings Toledo",12,"ACRU","S","LIVE",10.5,1,2,"B","N",1975,1976,1977,2014,"Y",1977,2014,"Y","",""
"2090","OOA013A","OOA013","OOA","Oak Openings Toledo",13,"QUAL","*","DEAD",10.6,0,2,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"2091","OOA013B","OOA013","OOA","Oak Openings Toledo",13,"QUAL","*","DEAD",10.6,0,2,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"2092","OOA014A","OOA014","OOA","Oak Openings Toledo",14,"QUAL","S","LIVE",12.5,1,2,"A","N",1935,1936,1937,2014,"Y",1937,2014,"Y","",""
"2093","OOA014B","OOA014","OOA","Oak Openings Toledo",14,"QUAL","S","LIVE",12.5,1,2,"B","N",1933,1935,1936,2014,"Y",1936,2014,"N","UNDATED",""
