"","CoreID","TreeID","plot.id","Site","tree.number","species","canopy.class","live.dead","dbh","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie"
"2260","SRA001A","SRA001","SRA","Savannah River",1,"PIPA","C","LIVE",28.6,1,2,"A","N",1966,1971,1972,2014,"Y",1973,2014,"Y","",""
"2261","SRA001B","SRA001","SRA","Savannah River",1,"PIPA","C","LIVE",28.6,1,2,"B","N",1967,1971,1972,2014,"Y",1972,2014,"Y","",""
"2262","SRA002A","SRA002","SRA","Savannah River",2,"PIPA","C","LIVE",30.7,1,2,"A","N",1966,1969,1970,2014,"Y",1970,2014,"Y","",""
"2263","SRA002B","SRA002","SRA","Savannah River",2,"PIPA","C","LIVE",30.7,1,2,"B","N",1964,1971,1972,2014,"Y",1972,2014,"Y","",""
"2264","SRA003A","SRA003","SRA","Savannah River",3,"PIPA","C","LIVE",31.3,1,2,"A","N",1969,1972,1973,2014,"Y",1973,2014,"Y","",""
"2265","SRA003B","SRA003","SRA","Savannah River",3,"PIPA","C","LIVE",31.3,1,2,"B","N",1967,1972,1973,2014,"Y",1973,2014,"Y","",""
"2266","SRA004A","SRA004","SRA","Savannah River",4,"PIPA","C","LIVE",28.5,1,2,"A","N",1965,1976,1977,2014,"Y",1977,2014,"Y","",""
"2267","SRA004B","SRA004","SRA","Savannah River",4,"PIPA","C","LIVE",28.5,1,2,"B","N",1967,1970,1972,2014,"Y",1972,2014,"Y","",""
"2268","SRA005A","SRA005","SRA","Savannah River",5,"PIPA","C","LIVE",35.1,1,2,"A","N",1967,1967,1969,2014,"Y",1969,2014,"Y","",""
"2269","SRA005B","SRA005","SRA","Savannah River",5,"PIPA","C","LIVE",35.1,1,2,"B","N",1968,1968,1969,2014,"Y",1969,2014,"Y","",""
"2270","SRA006A","SRA006","SRA","Savannah River",6,"PIPA","C","LIVE",29.4,1,2,"A","N",1969,1971,1972,2014,"Y",1972,2014,"Y","",""
"2271","SRA006B","SRA006","SRA","Savannah River",6,"PIPA","C","LIVE",29.4,1,2,"B","N",1968,1969,1970,2014,"Y",1970,2014,"Y","",""
"2272","SRA007A","SRA007","SRA","Savannah River",7,"PIPA","C","LIVE",28.6,1,2,"A","N",1968,1969,1970,2014,"Y",1970,2014,"Y","",""
"2273","SRA007B","SRA007","SRA","Savannah River",7,"PIPA","C","LIVE",28.6,1,2,"B","N",1968,1969,1970,2014,"Y",1970,2014,"Y","",""
"2274","SRA008A","SRA008","SRA","Savannah River",8,"PIPA","C","LIVE",31.6,1,2,"A","Y",1968,1968,1969,2014,"Y",1969,2014,"Y","",""
"2275","SRA008B","SRA008","SRA","Savannah River",8,"PIPA","C","LIVE",31.6,1,2,"B","N",1968,1968,1969,2014,"Y",1969,2014,"Y","",""
"2276","SRA009A","SRA009","SRA","Savannah River",9,"PIPA","C","LIVE",25.2,1,2,"A","Y",1969,1969,1970,2014,"Y",1970,2014,"Y","",""
"2277","SRA009B","SRA009","SRA","Savannah River",9,"PIPA","C","LIVE",25.2,1,2,"B","N",1967,1970,1971,2014,"Y",1971,2014,"Y","",""
"2278","SRA010A","SRA010","SRA","Savannah River",10,"PIPA","C","LIVE",30,1,2,"A","N",1968,1969,1970,2014,"Y",1970,2014,"Y","",""
"2279","SRA010B","SRA010","SRA","Savannah River",10,"PIPA","C","LIVE",30,1,2,"B","N",1968,1969,1970,2014,"Y",1970,2014,"Y","",""
"2280","SRA011A","SRA011","SRA","Savannah River",11,"PIPA","C","LIVE",29,1,2,"A","N",1963,1972,1973,2014,"Y",1973,2014,"Y","",""
"2281","SRA011B","SRA011","SRA","Savannah River",11,"PIPA","C","LIVE",29,1,2,"B","N",1968,1969,1970,2014,"Y",1970,2014,"Y","",""
"2282","SRA012A","SRA012","SRA","Savannah River",12,"PIPA","C","LIVE",28.7,1,2,"A","N",1968,1969,1970,2014,"Y",1970,2014,"Y","",""
"2283","SRA012B","SRA012","SRA","Savannah River",12,"PIPA","C","LIVE",28.7,1,2,"B","Y",1969,1969,1970,2014,"Y",1970,2014,"Y","",""
"2284","SRA013A","SRA013","SRA","Savannah River",13,"PIPA","C","LIVE",26.9,1,2,"A","N",1969,1970,1971,2014,"Y",1971,2014,"Y","",""
