"","CoreID","TreeID","plot.id","Site","tree.number","species","canopy.class","live.dead","dbh","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie"
"2675","VUF001A","VUF001","VUA","Valles Caldera Upper",1,"PIEN","C","LIVE",37.1,1,2,"A","Y",1923,1923,1924,2011,"Y",1924,2011,"Y","",""
"2676","VUF001B","VUF001","VUA","Valles Caldera Upper",1,"PIEN","C","LIVE",37.1,1,2,"B","Y",1923,1923,1924,2011,"Y",1924,2011,"Y","",""
"2677","VUF002A","VUF002","VUA","Valles Caldera Upper",2,"PIEN","C","LIVE",34.8,1,2,"A","Y",1929,1929,1930,2011,"Y",1930,2011,"Y","",""
"2678","VUF002B","VUF002","VUA","Valles Caldera Upper",2,"PIEN","C","LIVE",34.8,1,2,"B","Y",1929,1929,1930,2011,"Y",1930,2011,"Y","",""
"2679","VUF003A","VUF003","VUA","Valles Caldera Upper",3,"PIEN","C","LIVE",29.3,1,2,"A","N",1931,1933,1934,2006,"Y",1934,2006,"Y","","Y"
"2680","VUF003B","VUF003","VUA","Valles Caldera Upper",3,"PIEN","C","LIVE",29.3,1,2,"B","N",1931,1933,1934,2006,"Y",1934,2006,"Y","","Y"
"2681","VUF004A","VUF004","VUA","Valles Caldera Upper",4,"PIEN","C","LIVE",17.8,1,2,"A","N",1951,1959,1960,2006,"Y",1960,2006,"Y","","Y"
"2682","VUF004B","VUF004","VUA","Valles Caldera Upper",4,"PIEN","C","LIVE",17.8,1,2,"B","N",1946,1949,1950,2006,"Y",1950,2006,"Y","","Y"
"2683","VUF005A","VUF005","VUA","Valles Caldera Upper",5,"PIEN","C","LIVE",25,1,2,"A","N",1932,1932,1933,2009,"Y",1933,2009,"Y","","Y"
"2684","VUF005B","VUF005","VUA","Valles Caldera Upper",5,"PIEN","C","LIVE",25,1,2,"B","N",1932,1938,1939,2009,"Y",1939,2009,"Y","","Y"
"2685","VUF006A","VUF006","VUA","Valles Caldera Upper",6,"PIEN","C","LIVE",16.1,1,2,"A","N",1933,1935,1936,2002,"Y",1936,2002,"Y","","Y"
"2686","VUF006B","VUF006","VUA","Valles Caldera Upper",6,"PIEN","C","LIVE",16.1,1,2,"B","N",1933,1935,1936,2004,"Y",1936,2004,"Y","","Y"
"2687","VUF007A","VUF007","VUA","Valles Caldera Upper",7,"PIEN","C","LIVE",15.7,1,2,"A","N",1939,1942,1943,2008,"Y",1943,2008,"Y","","Y"
"2688","VUF007B","VUF007","VUA","Valles Caldera Upper",7,"PIEN","C","LIVE",15.7,1,2,"B","N",1939,1942,1943,2006,"Y",1943,2006,"Y","","Y"
"2689","VUF008A","VUF008","VUA","Valles Caldera Upper",8,"PIEN","C","LIVE",10.8,1,2,"A","N",1947,1952,1953,2004,"Y",1953,2004,"Y","","Y"
"2690","VUF008B","VUF008","VUA","Valles Caldera Upper",8,"PIEN","C","LIVE",10.8,1,2,"B","N",1944,1945,1946,2003,"Y",1946,2003,"Y","","Y"
"2691","VUF009A","VUF009","VUA","Valles Caldera Upper",9,"PIEN","C","LIVE",13.4,1,2,"A","N",1932,1932,1933,2007,"Y",1933,2007,"Y","just missed pith","Y"
"2692","VUF009B","VUF009","VUA","Valles Caldera Upper",9,"PIEN","C","LIVE",13.4,1,2,"B","N",1932,1932,1933,2007,"Y",1933,2007,"Y","just missed pith","Y"
"2693","VUF010A","VUF010","VUA","Valles Caldera Upper",10,"PIEN","C","LIVE",26.9,1,2,"A","N",1931,1937,1938,2011,"Y",1938,2011,"Y","",""
"2694","VUF010B","VUF010","VUA","Valles Caldera Upper",10,"PIEN","C","LIVE",26.9,1,2,"B","N",1933,1941,1942,2011,"Y",1942,2011,"Y","",""
"2695","VUF011A","VUF011","VUA","Valles Caldera Upper",11,"PIEN","C","LIVE",28.8,1,2,"A","N",1929,1934,1935,2011,"Y",1935,2011,"Y","",""
"2696","VUF011B","VUF011","VUA","Valles Caldera Upper",11,"PIEN","C","LIVE",28.8,1,2,"B","N",1929,1934,1935,2011,"Y",1935,2011,"Y","",""
"2697","VUF012A","VUF012","VUA","Valles Caldera Upper",12,"PIEN","C","LIVE",12.3,1,2,"A","N",1943,1944,1945,2011,"Y",1945,2011,"Y","",""
"2698","VUF012B","VUF012","VUA","Valles Caldera Upper",12,"PIEN","C","LIVE",12.3,1,2,"B","N",1943,1944,1945,2005,"Y",1945,2005,"Y","","Y"
"2699","VUF013A","VUF013","VUA","Valles Caldera Upper",13,"PIEN","C","LIVE",27.1,1,2,"A","N",1939,1941,1942,2011,"Y",1942,2011,"Y","",""
"2700","VUF013B","VUF013","VUA","Valles Caldera Upper",13,"PIEN","C","LIVE",27.1,1,2,"B","N",1939,1941,1942,2011,"Y",1942,2011,"Y","",""
"2701","VUF014A","VUF014","VUA","Valles Caldera Upper",14,"PIEN","C","LIVE",10.3,1,2,"A",NA,NA,NA,NA,NA,NA,NA,NA,"N","",""
"2702","VUF014B","VUF014","VUA","Valles Caldera Upper",14,"PIEN","C","LIVE",10.3,1,2,"B",NA,NA,NA,NA,NA,NA,NA,NA,"N","",""
"2703","VUF015A","VUF015","VUA","Valles Caldera Upper",15,"PIEN","C","LIVE",22.4,1,2,"A","Y",1950,1950,1951,2009,"Y",1951,2009,"Y","","Y"
"2704","VUF015B","VUF015","VUA","Valles Caldera Upper",15,"PIEN","C","LIVE",22.4,1,2,"B","N",1951,1953,1953,2007,"Y",1953,2007,"Y","","Y"
"2705","VUF016A","VUF016","VUA","Valles Caldera Upper",16,"PIEN","C","LIVE",13.6,1,2,"A","N",1949,1952,1953,2005,"Y",1953,2005,"Y","","Y"
"2706","VUF016B","VUF016","VUA","Valles Caldera Upper",16,"PIEN","C","LIVE",13.6,1,2,"B","Y",1948,1948,1949,2005,"Y",1949,2005,"Y","","Y"
"2707","VUF017A","VUF017","VUA","Valles Caldera Upper",17,"PIEN","C","LIVE",53.6,1,2,"A","N",1924,1931,1932,2011,"Y",1932,2011,"Y","",""
"2708","VUF017B","VUF017","VUA","Valles Caldera Upper",17,"PIEN","C","LIVE",53.6,1,2,"B","N",NA,1934,1935,2011,"Y",1935,2011,"Y","Wound prevents pith estimatino",""
"2709","VUF018A","VUF018","VUA","Valles Caldera Upper",18,"PIEN","C","LIVE",17.4,1,2,"A","Y",1935,1935,1936,2011,"Y",1936,2011,"Y","",""
"2710","VUF018B","VUF018","VUA","Valles Caldera Upper",18,"PIEN","C","LIVE",17.4,1,2,"B","Y",1935,1935,1936,2011,"Y",1936,2011,"Y","",""
"2711","VUF019A","VUF019","VUA","Valles Caldera Upper",19,"PIEN","C","LIVE",8.8,1,2,"A","N",1946,1950,1951,2005,"Y",1951,2005,"Y","","Y"
