"","CoreID","TreeID","plot.id","Site","tree.number","species","canopy.class","live.dead","dbh","stems","total.cores","core.id","pith.present","pith.yr","inner.present","inner.measured","outer.measured","bark.present","inner.dated","outer.dated","dated","Notes","zombie"
"2879","WCA001A","WCA001","WCA","Willow Creek",1,"ACSA","C","LIVE",26.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2880","WCA001B","WCA001","WCA","Willow Creek",1,"ACSA","C","LIVE",26.4,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2881","WCA002A","WCA002","WCA","Willow Creek",2,"ACSA","S","LIVE",11.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2882","WCA002B","WCA002","WCA","Willow Creek",2,"ACSA","S","LIVE",11.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2883","WCA003A","WCA003","WCA","Willow Creek",3,"ACSA","C","LIVE",24,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2884","WCA003B","WCA003","WCA","Willow Creek",3,"ACSA","C","LIVE",24,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2885","WCA004A","WCA004","WCA","Willow Creek",4,"ACSA","C","LIVE",29.9,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2886","WCA004B","WCA004","WCA","Willow Creek",4,"ACSA","C","LIVE",29.9,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2887","WCA005A","WCA005","WCA","Willow Creek",5,"TIAM","C","LIVE",22.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2888","WCA005B","WCA005","WCA","Willow Creek",5,"TIAM","C","LIVE",22.2,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2889","WCA006A","WCA006","WCA","Willow Creek",6,"TIAM","C","LIVE",26.7,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2890","WCA006B","WCA006","WCA","Willow Creek",6,"TIAM","C","LIVE",26.7,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2891","WCA007A","WCA007","WCA","Willow Creek",7,"ACSA","C","LIVE",27.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2892","WCA007B","WCA007","WCA","Willow Creek",7,"ACSA","C","LIVE",27.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2893","WCA008A","WCA008","WCA","Willow Creek",8,"ACSA","C","LIVE",26.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2894","WCA008B","WCA008","WCA","Willow Creek",8,"ACSA","C","LIVE",26.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2895","WCA009A","WCA009","WCA","Willow Creek",9,"TIAM","C","LIVE",31.7,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2896","WCA009B","WCA009","WCA","Willow Creek",9,"TIAM","C","LIVE",31.7,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2897","WCA010A","WCA010","WCA","Willow Creek",10,"TIAM","C","LIVE",38,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2898","WCA010B","WCA010","WCA","Willow Creek",10,"TIAM","C","LIVE",38,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2899","WCA011A","WCA011","WCA","Willow Creek",11,"TIAM","C","LIVE",35.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2900","WCA011B","WCA011","WCA","Willow Creek",11,"TIAM","C","LIVE",35.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2901","WCA012A","WCA012","WCA","Willow Creek",12,"TIAM","C","LIVE",26.6,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2902","WCA012B","WCA012","WCA","Willow Creek",12,"TIAM","C","LIVE",26.6,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2903","WCA013A","WCA013","WCA","Willow Creek",13,"ACSA","C","LIVE",27.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2904","WCA013B","WCA013","WCA","Willow Creek",13,"ACSA","C","LIVE",27.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2905","WCA014A","WCA014","WCA","Willow Creek",14,"ACSA","C","LIVE",28,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2906","WCA014B","WCA014","WCA","Willow Creek",14,"ACSA","C","LIVE",28,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2907","WCA015A","WCA015","WCA","Willow Creek",15,"ACSA","C","LIVE",23.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2908","WCA015B","WCA015","WCA","Willow Creek",15,"ACSA","C","LIVE",23.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2909","WCA016A","WCA016","WCA","Willow Creek",16,"ACSA","C","LIVE",21.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2910","WCA016B","WCA016","WCA","Willow Creek",16,"ACSA","C","LIVE",21.4,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2911","WCA017A","WCA017","WCA","Willow Creek",17,"TIAM","C","LIVE",25.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2912","WCA017B","WCA017","WCA","Willow Creek",17,"TIAM","C","LIVE",25.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2913","WCA018A","WCA018","WCA","Willow Creek",18,"ACSA","C","LIVE",33.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2914","WCA018B","WCA018","WCA","Willow Creek",18,"ACSA","C","LIVE",33.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2915","WCA019A","WCA019","WCA","Willow Creek",19,"ACSA","I","LIVE",11.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2916","WCA019B","WCA019","WCA","Willow Creek",19,"ACSA","I","LIVE",11.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2917","WCA020A","WCA020","WCA","Willow Creek",20,"TIAM","C","LIVE",34.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2918","WCA020B","WCA020","WCA","Willow Creek",20,"TIAM","C","LIVE",34.2,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2919","WCA021A","WCA021","WCA","Willow Creek",21,"TIAM","C","LIVE",34.7,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2920","WCA021B","WCA021","WCA","Willow Creek",21,"TIAM","C","LIVE",34.7,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2921","WCA022A","WCA022","WCA","Willow Creek",22,"TIAM","C","LIVE",39.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2922","WCA022B","WCA022","WCA","Willow Creek",22,"TIAM","C","LIVE",39.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2923","WCA023A","WCA023","WCA","Willow Creek",23,"TIAM","C","LIVE",32.3,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2924","WCA023B","WCA023","WCA","Willow Creek",23,"TIAM","C","LIVE",32.3,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2925","WCA024A","WCA024","WCA","Willow Creek",24,"ACSA","I","LIVE",23.3,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2926","WCA024B","WCA024","WCA","Willow Creek",24,"ACSA","I","LIVE",23.3,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2927","WCA025A","WCA025","WCA","Willow Creek",25,"TIAM","C","LIVE",36.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2928","WCA025B","WCA025","WCA","Willow Creek",25,"TIAM","C","LIVE",36.2,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2929","WCA026A","WCA026","WCA","Willow Creek",26,"TIAM","C","LIVE",29.7,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2930","WCA026B","WCA026","WCA","Willow Creek",26,"TIAM","C","LIVE",29.7,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2931","WCA027A","WCA027","WCA","Willow Creek",27,"TIAM","C","LIVE",26.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2932","WCA027B","WCA027","WCA","Willow Creek",27,"TIAM","C","LIVE",26.4,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2933","WCA028A","WCA028","WCA","Willow Creek",28,"ACSA","C","LIVE",23.7,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2934","WCA028B","WCA028","WCA","Willow Creek",28,"ACSA","C","LIVE",23.7,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2935","WCA029A","WCA029","WCA","Willow Creek",29,"ACSA","C","LIVE",27.6,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2936","WCA029B","WCA029","WCA","Willow Creek",29,"ACSA","C","LIVE",27.6,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2937","WCA030A","WCA030","WCA","Willow Creek",30,"ACSA","C","LIVE",32.7,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2938","WCA030B","WCA030","WCA","Willow Creek",30,"ACSA","C","LIVE",32.7,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2939","WCA031A","WCA031","WCA","Willow Creek",31,"ACSA","C","LIVE",24.7,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2940","WCA031B","WCA031","WCA","Willow Creek",31,"ACSA","C","LIVE",24.7,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2941","WCA032A","WCA032","WCA","Willow Creek",32,"ACSA","C","LIVE",25.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2942","WCA032B","WCA032","WCA","Willow Creek",32,"ACSA","C","LIVE",25.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2943","WCA033A","WCA033","WCA","Willow Creek",33,"ACSA","C","LIVE",25.9,1,1,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2944","WCA033B","WCA033","WCA","Willow Creek",33,"ACSA","C","LIVE",25.9,1,1,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2945","WCA034A","WCA034","WCA","Willow Creek",34,"ACSA","C","LIVE",23.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2946","WCA034B","WCA034","WCA","Willow Creek",34,"ACSA","C","LIVE",23.4,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2947","WCA035A","WCA035","WCA","Willow Creek",35,"TIAM","C","LIVE",30.3,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2948","WCA035B","WCA035","WCA","Willow Creek",35,"TIAM","C","LIVE",30.3,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2949","WCA036A","WCA036","WCA","Willow Creek",36,"ACSA","C","LIVE",24.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2950","WCA036B","WCA036","WCA","Willow Creek",36,"ACSA","C","LIVE",24.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2951","WCA037A","WCA037","WCA","Willow Creek",37,"ACSA","C","LIVE",10.9,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2952","WCA037B","WCA037","WCA","Willow Creek",37,"ACSA","C","LIVE",10.9,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2953","WCA038A","WCA038","WCA","Willow Creek",38,"ACSA","C","LIVE",26,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2954","WCA038B","WCA038","WCA","Willow Creek",38,"ACSA","C","LIVE",26,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2955","WCA039A","WCA039","WCA","Willow Creek",39,"QURU","D","LIVE",74.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2956","WCA039B","WCA039","WCA","Willow Creek",39,"QURU","D","LIVE",74.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2957","WCA040A","WCA040","WCA","Willow Creek",40,"ACSA","C","LIVE",25.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2958","WCA040B","WCA040","WCA","Willow Creek",40,"ACSA","C","LIVE",25.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2959","WCB001A","WCB001","WCB","Willow Creek",1,"ACSA","C","LIVE",20.7,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2960","WCB001B","WCB001","WCB","Willow Creek",1,"ACSA","C","LIVE",20.7,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2961","WCB002A","WCB002","WCB","Willow Creek",2,"TIAM","C","LIVE",28.1,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2962","WCB002B","WCB002","WCB","Willow Creek",2,"TIAM","C","LIVE",28.1,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2963","WCB003A","WCB003","WCB","Willow Creek",3,"TIAM","C","LIVE",32.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2964","WCB003B","WCB003","WCB","Willow Creek",3,"TIAM","C","LIVE",32.2,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2965","WCB004A","WCB004","WCB","Willow Creek",4,"TIAM","C","LIVE",25.8,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2966","WCB004B","WCB004","WCB","Willow Creek",4,"TIAM","C","LIVE",25.8,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2967","WCB005A","WCB005","WCB","Willow Creek",5,"TIAM","C","LIVE",29.5,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2968","WCB005B","WCB005","WCB","Willow Creek",5,"TIAM","C","LIVE",29.5,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2969","WCB006A","WCB006","WCB","Willow Creek",6,"ACSA","I","LIVE",22.7,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2970","WCB006B","WCB006","WCB","Willow Creek",6,"ACSA","I","LIVE",22.7,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2971","WCB007A","WCB007","WCB","Willow Creek",7,"TIAM","C","LIVE",28.4,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
"2972","WCB007B","WCB007","WCB","Willow Creek",7,"TIAM","C","LIVE",28.4,1,2,"B","",NA,NA,NA,NA,"",NA,NA,"","",""
"2973","WCB008A","WCB008","WCB","Willow Creek",8,"TIAM","C","LIVE",29.2,1,2,"A","",NA,NA,NA,NA,"",NA,NA,"","",""
