"TreeID","PlotID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","Tree","Basal.Area..cm2.","basal.area..m2.ha.","Density..stems.ha.","notes","Distance","Azimuth","plot"
"HOW1001","HOW1","Howland","PCRU","I","LIVE",23,1,2,1,415.5,0.782544379,18.83490451,NA,3.4,263,"1"
"HOW1002","HOW1","Howland","PCRU",NA,"DEAD",13.2,1,2,2,136.8,0.257751479,18.83490451,NA,3.5,286,"1"
"HOW1003","HOW1","Howland","PCRU","I","LIVE",21.3,1,2,3,356.3,0.671139053,18.83490451,NA,4.85,273,"1"
"HOW1004","HOW1","Howland","PCRU","I","LIVE",16,1,2,4,201.1,0.378698225,18.83490451,NA,5.45,275,"1"
"HOW1005","HOW1","Howland","TSCA","I","LIVE",17.8,1,2,5,248.8,0.468698225,18.83490451,NA,6.75,295,"1"
"HOW1006","HOW1","Howland","PCRU","C","LIVE",27.5,1,2,6,594,1.118713018,18.83490451,NA,6.73,260,"1"
"HOW1007","HOW1","Howland","ACRU","C","LIVE",27,1,2,7,572.6,1.078402367,18.83490451,NA,7.34,276,"1"
"HOW1008","HOW1","Howland","TSCA","S","LIVE",15.2,1,2,8,181.5,0.341775148,18.83490451,NA,8.24,284,"1"
"HOW1009","HOW1","Howland","PCRU","C","LIVE",21.3,1,2,9,356.3,0.671139053,18.83490451,NA,9.45,297,"1"
"HOW1010","HOW1","Howland","PCRU","I","LIVE",13.5,1,2,10,143.1,0.269600592,18.83490451,NA,11.5,294,"1"
"HOW1011","HOW1","Howland","TSCA","D","LIVE",42.5,1,2,11,1418.6,2.671967456,18.83490451,NA,12.8,287,"1"
"HOW1012","HOW1","Howland","TSCA","D","LIVE",27.8,1,2,12,607,1.143254438,18.83490451,NA,16.1,278,"1"
"HOW1013","HOW1","Howland","PCRU","C","LIVE",29,1,2,13,660.5,1.24408284,18.83490451,NA,19.5,293,"1"
"HOW1014","HOW1","Howland","TSCA","C","LIVE",25.5,1,2,14,510.7,0.961908284,18.83490451,NA,19.6,281,"1"
"HOW1020","HOW1","Howland","PCRU","C","LIVE",20.5,1,2,20,330.1,0.621671598,18.83490451,NA,5.5,298,"1"
"HOW1021","HOW1","Howland","PCRU","C","LIVE",28.7,1,2,21,646.9,1.218476331,18.83490451,NA,7.3,333,"1"
"HOW1022","HOW1","Howland","PCRU",NA,"DEAD",17.1,1,2,22,229.7,0.432559172,18.83490451,NA,9.7,334,"1"
"HOW1023","HOW1","Howland","PCRU","C","LIVE",29.5,1,2,23,683.5,1.287352071,18.83490451,NA,11.1,345,"1"
"HOW1024","HOW1","Howland","TSCA","I","LIVE",18.4,1,2,24,265.9,0.500828402,18.83490451,NA,11.2,327,"1"
"HOW1025","HOW1","Howland","PCRU","C","LIVE",20.7,1,2,25,336.5,0.633860947,18.83490451,NA,12.6,320,"1"
"HOW1026","HOW1","Howland","PCRU","C","LIVE",22.3,1,2,26,390.6,0.735636095,18.83490451,NA,17.4,332,"1"
"HOW1027","HOW1","Howland","PCRU","C","LIVE",28.1,1,2,27,620.2,1.16806213,18.83490451,NA,18.2,334,"1"
"HOW1028","HOW1","Howland","PCRU","C","LIVE",20.5,1,2,28,330.1,0.621671598,18.83490451,NA,16.5,347,"1"
"HOW1031","HOW1","Howland","PCRU","C","LIVE",11.6,1,2,31,105.7,0.199053254,18.83490451,NA,10.9,320,"1"
"HOW1032","HOW1","Howland","PCRU","I","LIVE",10.1,1,2,32,80.1,0.150902367,18.83490451,NA,11.2,330,"1"
"HOW1033","HOW1","Howland","PCRU","C","LIVE",23.2,1,2,33,422.7,0.796213018,18.83490451,NA,3.6,180,"1"
"HOW1034","HOW1","Howland","PCRU","I","LIVE",15.7,1,2,34,193.6,0.364630178,18.83490451,NA,5,207,"1"
"HOW1035","HOW1","Howland","PCRU","C","LIVE",25.5,1,2,35,510.7,0.961908284,18.83490451,NA,3.7,248,"1"
"HOW1036","HOW1","Howland","PCRU","I","LIVE",26.9,1,2,36,568.3,1.070428994,18.83490451,NA,7.2,203,"1"
"HOW1037","HOW1","Howland","TSCA","I","LIVE",33.7,1,2,37,892,1.680014793,18.83490451,NA,7.2,202,"1"
"HOW1038","HOW1","Howland","PCRU","C","LIVE",19.4,1,2,38,295.6,0.556745562,18.83490451,NA,7.1,177,"1"
"HOW1039","HOW1","Howland","PCRU","C","LIVE",33,1,2,39,855.3,1.610946746,18.83490451,NA,10.9,176,"1"
"HOW1040","HOW1","Howland","THOC","I","LIVE",15.6,1,2,40,191.1,0.36,18.83490451,NA,11.2,181,"1"
"HOW1041","HOW1","Howland","THOC","S","LIVE",12.4,1,2,41,120.8,0.227455621,18.83490451,NA,11.3,178,"1"
"HOW1042","HOW1","Howland","ACRU","S","LIVE",12.1,1,2,42,115,0.21658284,18.83490451,NA,11.5,174,"1"
"HOW1043","HOW1","Howland","PCRU","C","LIVE",23.5,1,2,43,433.7,0.81693787,18.83490451,NA,14.4,160,"1"
"HOW1044","HOW1","Howland","PCRU","C","LIVE",20,1,2,44,314.2,0.591715976,18.83490451,NA,17.3,154,"1"
"HOW1045","HOW1","Howland","PCRU","C","LIVE",20.9,1,2,45,343.1,0.646168639,18.83490451,NA,16.7,160,"1"
"HOW1046","HOW1","Howland","PCRU","C","LIVE",23,1,2,46,415.5,0.782544379,18.83490451,NA,17.4,163,"1"
"HOW1047","HOW1","Howland","PCRU","C","LIVE",20.1,1,2,47,317.3,0.597647929,18.83490451,NA,16.5,182,"1"
"HOW1048","HOW1","Howland","PCRU","C","LIVE",24.8,1,2,48,483.1,0.909822485,18.83490451,NA,11.8,186,"1"
"HOW1049","HOW1","Howland","PCRU","C","LIVE",37.4,1,2,49,1098.6,2.069171598,18.83490451,NA,12.9,192,"1"
"HOW1050","HOW1","Howland","THOC",NA,"DEAD",19.1,1,2,50,286.5,0.539659763,18.83490451,NA,12.8,194,"1"
"HOW1051","HOW1","Howland","THOC","I","LIVE",22.7,1,2,51,404.7,0.762263314,18.83490451,NA,14.5,195,"1"
"HOW1052","HOW1","Howland","THOC","C","LIVE",22.7,1,2,52,404.7,0.762263314,18.83490451,NA,15.3,187,"1"
"HOW1053","HOW1","Howland","THOC","C","LIVE",23.4,1,2,53,430.1,0.81,18.83490451,NA,17.2,189,"1"
"HOW1054","HOW1","Howland","PCRU","C","LIVE",22.6,1,2,54,401.1,0.75556213,18.83490451,NA,18.5,189,"1"
"HOW1055","HOW1","Howland","PCRU","C","LIVE",25.8,1,2,55,522.8,0.984674556,18.83490451,NA,17.4,190,"1"
"HOW1056","HOW1","Howland","ACRU","C","LIVE",32,1,2,56,804.2,1.514792899,18.83490451,NA,27,206,"1"
"HOW1061","HOW1","Howland","PCRU","D","LIVE",24.8,1,2,61,483.1,0.909822485,18.83490451,NA,16.1,226,"1"
"HOW1062","HOW1","Howland","TSCA","I","LIVE",24.5,1,2,62,471.4,0.887943787,18.83490451,NA,15.9,224,"1"
"HOW1063","HOW1","Howland","TSCA",NA,"DEAD",28.5,1,2,63,637.9,1.201553254,18.83490451,NA,13,220,"1"
"HOW1064","HOW1","Howland","PCRU","C","LIVE",23.1,1,2,64,419.1,0.789363905,18.83490451,NA,12.3,218,"1"
"HOW1065","HOW1","Howland","THOC","I","LIVE",28.2,1,2,65,624.6,1.176390533,18.83490451,NA,14.5,209,"1"
"HOW1066","HOW1","Howland","PCRU","C","LIVE",26.4,1,2,66,547.4,1.031005917,18.83490451,NA,9.4,210,"1"
"HOW1067","HOW1","Howland","PCRU","I","LIVE",14.8,1,2,67,172,0.324023669,18.83490451,NA,9.1,221,"1"
"HOW1068","HOW1","Howland","PCRU","C","LIVE",19.1,1,2,68,286.5,0.539659763,18.83490451,NA,9.9,243,"1"
"HOW1069","HOW1","Howland","TSCA","C","LIVE",25.8,1,2,69,522.8,0.984674556,18.83490451,NA,13.3,251,"1"
"HOW1070","HOW1","Howland","PCRU","D","LIVE",19.5,1,2,70,298.6,0.5625,18.83490451,NA,12.6,240,"1"
"HOW1071","HOW1","Howland","PCRU","C","LIVE",29.4,1,2,71,678.9,1.278639053,18.83490451,NA,18.1,252,"1"
"HOW1075","HOW1","Howland","PCRU","I","LIVE",13.3,1,2,75,138.9,0.261671598,18.83490451,NA,3.9,156,"1"
"HOW1076","HOW1","Howland","TSCA","S","LIVE",14.3,1,2,76,160.6,0.3025,18.83490451,NA,5.2,126,"1"
"HOW1077","HOW1","Howland","PIST","D","LIVE",43.3,1,2,77,1472.5,2.773505917,18.83490451,NA,7.1,135,"1"
"HOW1078","HOW1","Howland","PIST","D","LIVE",35.9,1,2,78,1012.2,1.906523669,18.83490451,NA,7.5,115,"1"
"HOW1079","HOW1","Howland","PCRU","C","LIVE",15.5,1,2,79,188.7,0.355399408,18.83490451,NA,7.2,105,"1"
"HOW1080","HOW1","Howland","PCRU","C","LIVE",14.6,1,2,80,167.4,0.315325444,18.83490451,NA,4.7,92,"1"
"HOW1081","HOW1","Howland","PCRU","C","LIVE",24.1,1,2,81,456.2,0.859186391,18.83490451,NA,4.4,77,"1"
"HOW1082","HOW1","Howland","TSCA","C","LIVE",40.5,1,2,82,1288.2,2.426405325,18.83490451,NA,6.7,79,"1"
"HOW1083","HOW1","Howland","PCRU","I","LIVE",12.7,1,2,83,126.7,0.238594675,18.83490451,NA,9.1,100,"1"
"HOW1084","HOW1","Howland","PCRU","I","LIVE",15,1,2,84,176.7,0.332840237,18.83490451,NA,9.9,110,"1"
"HOW1085","HOW1","Howland","PCRU","I","LIVE",12.3,1,2,85,118.8,0.223801775,18.83490451,NA,9.2,152,"1"
"HOW1086","HOW1","Howland","PCRU","C","LIVE",19.3,1,2,86,292.6,0.55102071,18.83490451,NA,10.9,161,"1"
"HOW1087","HOW1","Howland","PCRU","C","LIVE",27,1,2,87,572.6,1.078402367,18.83490451,NA,13.8,140,"1"
"HOW1088","HOW1","Howland","PCRU","I","LIVE",10.5,1,2,88,86.6,0.163091716,18.83490451,NA,10.5,132,"1"
"HOW1089","HOW1","Howland","THOC","I","LIVE",25.1,1,2,89,494.8,0.931967456,18.83490451,NA,12.1,132,"1"
"HOW1090","HOW1","Howland","ACRU","I","LIVE",17.7,1,2,90,246.1,0.463446746,18.83490451,NA,11.8,125,"1"
"HOW1091","HOW1","Howland","PCRU","I","LIVE",13.7,1,2,91,147.4,0.277647929,18.83490451,NA,14.3,107,"1"
"HOW1092","HOW1","Howland","THOC","S","LIVE",11.6,1,2,92,105.7,0.199053254,18.83490451,NA,11.6,95,"1"
"HOW1093","HOW1","Howland","PCRU","C","LIVE",32,1,2,93,804.2,1.514792899,18.83490451,NA,15.2,117,"1"
"HOW1094","HOW1","Howland","TSCA","I","LIVE",37.6,1,2,94,1110.4,2.091360947,18.83490451,NA,15.4,115,"1"
"HOW1095","HOW1","Howland","PCRU","C","LIVE",25.4,1,2,95,506.7,0.954378698,18.83490451,NA,17.5,125,"1"
"HOW1096","HOW1","Howland","PCRU","C","LIVE",20.9,1,2,96,343.1,0.646168639,18.83490451,NA,17.6,132,"1"
"HOW1097","HOW1","Howland","PCRU","C","LIVE",20.9,1,2,97,343.1,0.646168639,18.83490451,NA,17,133,"1"
"HOW1098","HOW1","Howland","THOC","I","LIVE",21.2,1,2,98,353,0.664852071,18.83490451,NA,19.4,125,"1"
"HOW1099","HOW1","Howland","THOC","I","LIVE",26.2,1,2,99,539.1,1.015443787,18.83490451,NA,19.4,129,"1"
"HOW1100","HOW1","Howland","PCRU","C","LIVE",32.9,1,2,100,850.1,1.601198225,18.83490451,NA,19.8,123,"1"
"HOW1105","HOW1","Howland","ACRU","I","LIVE",16.4,1,2,105,211.2,0.397869822,18.83490451,NA,3.4,6,"1"
