"Site","tmean","precip","Year"
"Austin Cary FL",26.5653162448761,670.325996607274,1895
"Duke Hardwood",23.3355555361972,433.654910297948,1895
"Duke Loblolly",23.3356299650297,433.437558564546,1895
"Florida Plantation",26.4555088862749,683.62567860903,1895
"Harvard",17.075148153088,396.777822888122,1895
"Howland",16.6135748719512,348.927126045924,1895
"Michigan AmerifluxTower",16.5619365035583,291.593882091151,1895
"Michigan Facet Site",16.5699901585746,291.95712533425,1895
"Missouri Ozark",22.6887571051718,608.058111708786,1895
"Morgan Monroe State Park",21.9292824793409,336.922211770281,1895
"Oak Openings Toledo",20.5689680114358,217.151397936881,1895
"Savannah River",25.3779878832862,551.280122692896,1895
"Valles Caldera Lower",12.9445360426806,365.765780947222,1895
"Valles Caldera Upper",11.0060455889265,400.219662777615,1895
"Willow Creek",16.0098144790486,514.940318269517,1895
"Austin Cary FL",26.8584481811507,683.388951181197,1896
"Duke Hardwood",24.3211614886681,689.115566940697,1896
"Duke Loblolly",24.3198795024137,688.321769925876,1896
"Florida Plantation",26.7561848546768,695.438517618801,1896
"Harvard",16.8784434177922,448.714737380941,1896
"Howland",15.9616273507434,511.415239641099,1896
"Michigan AmerifluxTower",16.3508247248359,430.451952088883,1896
"Michigan Facet Site",16.3620339200422,429.80722622235,1896
"Missouri Ozark",22.9721715609942,615.483295669505,1896
"Morgan Monroe State Park",21.8036195055875,670.116673204009,1896
"Oak Openings Toledo",19.9963746476256,578.639265608442,1896
"Savannah River",26.3410903272359,560.57700451887,1896
"Valles Caldera Lower",13.878661396214,268.764316120492,1896
"Valles Caldera Upper",11.9520219300283,303.59217321428,1896
"Willow Creek",15.7614746484036,412.272157892147,1896
"Austin Cary FL",26.412401245579,698.56743784254,1897
"Duke Hardwood",23.0247841215817,454.11097059069,1897
"Duke Loblolly",23.0273807919226,453.43174619388,1897
"Florida Plantation",26.3382102495082,726.208059572016,1897
"Harvard",16.1083185970409,667.719041622258,1897
"Howland",15.3961488277875,542.805796275614,1897
"Michigan AmerifluxTower",15.6272805771357,302.039473035183,1897
"Michigan Facet Site",15.6454706236484,303.409408061918,1897
"Missouri Ozark",23.0697935885469,421.706982817323,1897
"Morgan Monroe State Park",20.9620583113588,336.380210403571,1897
"Oak Openings Toledo",19.0154277562745,317.87444588643,1897
"Savannah River",25.4392977498291,595.857559119922,1897
"Valles Caldera Lower",12.983213171631,381.350865274657,1897
"Valles Caldera Upper",11.0490129934341,432.475920300073,1897
"Willow Creek",15.7416696817942,404.706558344689,1897
"Austin Cary FL",26.7398353107906,802.465238578016,1898
"Duke Hardwood",24.0519266458697,629.48698287927,1898
"Duke Loblolly",24.0518943930183,628.876626747299,1898
"Florida Plantation",26.6613198667677,811.479046924787,1898
"Harvard",17.1715314971403,531.169169035003,1898
"Howland",16.5199103813568,383.287980617564,1898
"Michigan AmerifluxTower",16.1865307786585,382.571145644798,1898
"Michigan Facet Site",16.2015538373796,381.711983240418,1898
"Missouri Ozark",23.2249052721462,691.612898227431,1898
"Morgan Monroe State Park",22.2487303515317,521.012737393628,1898
"Oak Openings Toledo",20.2737959135808,372.059956837778,1898
"Savannah River",25.7916442539439,656.631670372102,1898
"Valles Caldera Lower",12.787700502808,299.974442088154,1898
"Valles Caldera Upper",10.828226902221,337.357930311944,1898
"Willow Creek",15.8562796458164,345.238406179536,1898
"Austin Cary FL",26.8631106424769,619.49946685449,1899
"Duke Hardwood",23.7779706473662,483.370593929476,1899
"Duke Loblolly",23.7817544300765,483.534077905783,1899
"Florida Plantation",26.7341118714155,644.822664945084,1899
"Harvard",16.7771100125256,436.552508988514,1899
"Howland",15.9925277041417,376.416177578128,1899
"Michigan AmerifluxTower",15.6217417880244,370.281670185763,1899
"Michigan Facet Site",15.6446218927318,371.086421729435,1899
"Missouri Ozark",22.8271279050646,492.948541367145,1899
"Morgan Monroe State Park",22.1633524228315,353.343309396193,1899
"Oak Openings Toledo",20.0667200825115,352.763308749946,1899
"Savannah River",25.7364726398422,464.559179687783,1899
"Valles Caldera Lower",13.1529174490269,251.576095698191,1899
"Valles Caldera Upper",11.1984776243009,266.5195719441,1899
"Willow Creek",15.2644819341103,508.616773799491,1899
"Austin Cary FL",26.885626161812,597.120658374178,1900
"Duke Hardwood",24.9271356228142,452.150542420733,1900
"Duke Loblolly",24.9264739918969,452.01131590493,1900
"Florida Plantation",26.7588694663438,613.710805650517,1900
"Harvard",16.946918422487,439.076995626204,1900
"Howland",15.9738810453711,432.501200151239,1900
"Michigan AmerifluxTower",16.825219111193,537.548318696034,1900
"Michigan Facet Site",16.8426983482183,537.379002150868,1900
"Missouri Ozark",23.2383671240717,509.779332753622,1900
"Morgan Monroe State Park",22.8429216095846,534.294375862262,1900
"Oak Openings Toledo",20.8286033884294,405.491558435565,1900
"Savannah River",25.8337748457375,464.459512593648,1900
"Valles Caldera Lower",14.5507063294878,265.509432561483,1900
"Valles Caldera Upper",12.5306127860403,303.321390844199,1900
"Willow Creek",16.358769463632,632.29661340097,1900
"Austin Cary FL",25.9362637984113,873.772107182775,1901
"Duke Hardwood",23.6413918814506,896.984132733902,1901
"Duke Loblolly",23.6366626881852,893.908859830279,1901
"Florida Plantation",25.9268430510269,912.433350004529,1901
"Harvard",17.4023058013407,535.557503577141,1901
"Howland",16.5736726025015,455.559349147288,1901
"Michigan AmerifluxTower",16.6202437568135,420.844405181484,1901
"Michigan Facet Site",16.6524054365026,421.960186744308,1901
"Missouri Ozark",24.2889779021864,190.366597452913,1901
"Morgan Monroe State Park",22.2340384546271,312.856049902782,1901
"Oak Openings Toledo",20.3220605560589,351.993878841257,1901
"Savannah River",25.5060164549216,747.794652054259,1901
"Valles Caldera Lower",14.4214160465169,330.064794664313,1901
"Valles Caldera Upper",12.425428579483,375.22679923668,1901
"Willow Creek",16.1663695594869,460.258227904909,1901
"Austin Cary FL",26.795157143826,704.868714633132,1902
"Duke Hardwood",23.8268069879035,397.764910515083,1902
"Duke Loblolly",23.8246184253218,398.194213650007,1902
"Florida Plantation",26.7600893661821,714.810826177343,1902
"Harvard",15.5861720805488,478.529618260245,1902
"Howland",14.7927645197716,504.121039733427,1902
"Michigan AmerifluxTower",15.0316740530306,297.134939205382,1902
"Michigan Facet Site",15.0554218639456,300.133815717136,1902
"Missouri Ozark",21.8475197597254,640.509702030495,1902
"Morgan Monroe State Park",21.2629504634727,582.171070333535,1902
"Oak Openings Toledo",18.9239853085481,626.343994574565,1902
"Savannah River",26.1317723993922,517.506094970299,1902
"Valles Caldera Lower",14.1209119473447,221.421023827135,1902
"Valles Caldera Upper",12.1123844520141,246.193526835763,1902
"Willow Creek",14.5586485342347,442.53046097938,1902
"Austin Cary FL",25.7676541382861,840.362886214631,1903
"Duke Hardwood",22.8886400519129,405.628057306966,1903
"Duke Loblolly",22.8860585057563,405.625670640096,1903
"Florida Plantation",25.7736396448652,855.399562185992,1903
"Harvard",15.6648993549039,519.419556923529,1903
"Howland",15.2635876192258,343.014599267918,1903
"Michigan AmerifluxTower",15.4099822962113,394.192226753545,1903
"Michigan Facet Site",15.4304809690033,393.687724564578,1903
"Missouri Ozark",21.4428268858347,566.866853516455,1903
"Morgan Monroe State Park",21.0657381852716,387.976348682691,1903
"Oak Openings Toledo",19.1212889648162,437.206725808011,1903
"Savannah River",24.986859166818,637.522653352241,1903
"Valles Caldera Lower",12.5423956687201,251.763510966828,1903
"Valles Caldera Upper",10.5776567777306,288.58730232885,1903
"Willow Creek",14.3883886794472,681.980227091543,1903
"Austin Cary FL",25.6437405488089,637.028759176808,1904
"Duke Hardwood",22.7078507913287,590.654553334336,1904
"Duke Loblolly",22.7101060854245,589.160668423376,1904
"Florida Plantation",25.6225732992627,654.909317738809,1904
"Harvard",16.5996135850602,488.00030219672,1904
"Howland",15.8651494162853,570.51996578222,1904
"Michigan AmerifluxTower",15.360693280488,433.483427259009,1904
"Michigan Facet Site",15.400448909341,428.055090258858,1904
"Missouri Ozark",21.2825009784683,610.881912038581,1904
"Morgan Monroe State Park",20.8222005146376,398.240625972822,1904
"Oak Openings Toledo",18.8201805183596,358.325494181402,1904
"Savannah River",25.2349790312848,495.765292581509,1904
"Valles Caldera Lower",12.9818736609654,373.223707057202,1904
"Valles Caldera Upper",11.0535404188656,408.963468036059,1904
