"TreeID","PlotID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","plot","Dated","Pith"
"NWB111","NWB","Niwot","PICO","C","LIVE",12.2,1,2,"B","Y",1931.5
"NWB112","NWB","Niwot","PIEN","C","LIVE",11,1,2,"B","Y",1931
"NWB113","NWB","Niwot","PICO","C","LIVE",28.9,1,2,"B","Y",1821
"NWB114","NWB","Niwot","PICO","C","LIVE",13,1,2,"B","Y",1795
"NWB121","NWB","Niwot","ABLA","C","LIVE",13.9,1,2,"B","Y",1916
"NWB122","NWB","Niwot","PIEN","C","LIVE",13.5,1,2,"B","Y",1826
"NWB123","NWB","Niwot","ABLA","C","LIVE",12.2,1,2,"B","Y",1927
"NWB124","NWB","Niwot","PIEN","C","LIVE",13.8,1,2,"B","N",NA
"NWB131","NWB","Niwot","ABLA","C","LIVE",9.7,1,2,"B","Y",1914
"NWB132","NWB","Niwot","ABLA","C","LIVE",14.1,1,2,"B","Y",1915
"NWB133","NWB","Niwot","ABLA","C","LIVE",12.5,1,2,"B","Y",1911
"NWB134","NWB","Niwot","ABLA","C","LIVE",6,1,2,"B","Y",1925
"NWB141","NWB","Niwot","PICO","C","LIVE",15.2,1,2,"B","Y",1786
"NWB142","NWB","Niwot","PICO","C","LIVE",30.4,1,2,"B","Y",1840
"NWB143","NWB","Niwot","ABLA","C","LIVE",14.3,1,2,"B","Y",1891
"NWB144","NWB","Niwot","ABLA","C","LIVE",8.3,1,2,"B","Y",1926
"NWB151","NWB","Niwot","ABLA","C","LIVE",19.4,1,2,"B","Y",1914
"NWB152","NWB","Niwot","ABLA","C","LIVE",12.4,1,2,"B","Y",1905
"NWB153","NWB","Niwot","PIEN","C","LIVE",26,1,2,"B","Y",1799
"NWB154","NWB","Niwot","ABLA","C","LIVE",14.2,1,2,"B","Y",1913
"NWB161","NWB","Niwot","PICO","C","LIVE",28.2,1,2,"B","Y",1755.5
"NWB162","NWB","Niwot","PIEN","C","LIVE",20.1,1,2,"B","Y",1832
"NWB163","NWB","Niwot","PIEN","C","LIVE",9,1,2,"B","Y",1922
"NWB164","NWB","Niwot","ABLA","C","LIVE",9.1,1,2,"B","Y",1877
"NWB211","NWB","Niwot","PICO","C","LIVE",13.8,1,2,"B","Y",1931
"NWB212","NWB","Niwot","PICO","C","LIVE",22.7,1,2,"B","Y",1777.5
"NWB213","NWB","Niwot","PICO","C","LIVE",14.5,1,2,"B","Y",1928
"NWB214","NWB","Niwot","ABLA","C","LIVE",8,1,2,"B","Y",1933
"NWB221","NWB","Niwot","PIEN","C","LIVE",22.9,1,2,"B","Y",1799
"NWB222","NWB","Niwot","ABLA","C","LIVE",7.1,1,2,"B","Y",1935
"NWB223","NWB","Niwot","ABLA","C","LIVE",13,1,2,"B","Y",1859.5
"NWB224","NWB","Niwot","ABLA","C","DEAD",7.7,1,2,"B","N",NA
"NWB231","NWB","Niwot","PIEN","C","LIVE",17.4,1,2,"B","Y",1843.5
"NWB232","NWB","Niwot","ABLA","C","LIVE",15.1,1,2,"B","Y",1889
"NWB233","NWB","Niwot","PICO","C","LIVE",25,1,2,"B","Y",1900
"NWB234","NWB","Niwot","PIEN","C","LIVE",31.3,1,2,"B","Y",1800.5
"NWB241","NWB","Niwot","ABLA","C","DEAD",17.5,1,2,"B","N",NA
"NWB242","NWB","Niwot","ABLA","C","DEAD",19,1,2,"B","N",NA
"NWB243","NWB","Niwot","PICO","C","LIVE",9.6,1,2,"B","N",NA
"NWB244","NWB","Niwot","ABLA","C","LIVE",14.4,1,2,"B","N",NA
"NWB251","NWB","Niwot","PICO","C","LIVE",19.2,1,2,"B","Y",1763
"NWB252","NWB","Niwot","PIEN","C","LIVE",16.2,1,2,"B","Y",1922
"NWB253","NWB","Niwot","ABLA","C","LIVE",14.7,1,2,"B","N",NA
"NWB254","NWB","Niwot","ABLA","C","LIVE",9.5,1,2,"B","Y",1921
"NWB261","NWB","Niwot","ABLA","C","LIVE",13.4,1,2,"B","Y",1796
"NWB262","NWB","Niwot","PIEN","C","LIVE",7.6,1,2,"B","Y",1920
"NWB263","NWB","Niwot","PIEN","C","LIVE",6,1,2,"B","Y",1928
"NWB264","NWB","Niwot","PIEN","C","LIVE",8.7,1,2,"B","Y",1925
"NWB311","NWB","Niwot","PIEN","C","LIVE",17.6,1,2,"B","Y",1817
"NWB312","NWB","Niwot","PICO","C","LIVE",27.6,1,2,"B","Y",1783
"NWB313","NWB","Niwot","ABLA","C","LIVE",6.7,1,2,"B","Y",1861
"NWB314","NWB","Niwot","PICO","C","LIVE",14.8,1,2,"B","N",NA
"NWB321","NWB","Niwot","PIEN","C","LIVE",36.8,1,2,"B","Y",1814
"NWB322","NWB","Niwot","PIEN","C","LIVE",16.1,1,2,"B","N",NA
"NWB323","NWB","Niwot","PICO","C","LIVE",17,1,2,"B","Y",1929
"NWB324","NWB","Niwot","ABLA","C","LIVE",12.3,1,2,"B","Y",1917.5
"NWB331","NWB","Niwot","ABLA","C","LIVE",10.5,1,2,"B","Y",1931
"NWB332","NWB","Niwot","ABLA","C","DEAD",11.2,1,2,"B","Y",1918
"NWB333","NWB","Niwot","ABLA","C","LIVE",13.5,1,2,"B","N",NA
"NWB334","NWB","Niwot","ABLA","C","LIVE",6.8,1,2,"B","Y",1935
"NWB341","NWB","Niwot","PICO","C","LIVE",14.5,1,2,"B","N",NA
"NWB342","NWB","Niwot","ABLA","C","LIVE",17.5,1,2,"B","Y",1915
"NWB343","NWB","Niwot","PICO","C","LIVE",8.9,1,2,"B","Y",1934
"NWB344","NWB","Niwot","ABLA","C","DEAD",13.8,1,2,"B","Y",1921
"NWB351","NWB","Niwot","ABLA","C","LIVE",11.7,1,2,"B","Y",1919
"NWB352","NWB","Niwot","ABLA","C","LIVE",15.4,1,2,"B","Y",1913
"NWB353","NWB","Niwot","PIEN","C","LIVE",8.7,1,2,"B","Y",1827
"NWB354","NWB","Niwot","PICO","C","LIVE",26.5,1,2,"B","Y",NA
"NWB361","NWB","Niwot","PICO","C","LIVE",29.3,1,2,"B","Y",NA
"NWB362","NWB","Niwot","ABLA","C","LIVE",21,1,2,"B","Y",1831.5
"NWB363","NWB","Niwot","ABLA","C","DEAD",19.6,1,2,"B","N",NA
"NWB364","NWB","Niwot","ABLA","C","LIVE",20.1,1,2,"B","Y",1853
