"PlotID","TreeID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","plot","Tree","Basal.Area..cm2.","basal.area..m2.ha.","Density..stems.ha.","notes","Distance","Azimuth","Dated","Pith","Year.sample","Age"
"ACA","ACA001","Austin Cary FL","PIPA","C","LIVE",39.6,1,2,"A",1,1231.6,0.9801,7.957747155,"tagged: 459",1.09,117,"Y",1917.5,2014,96.5
"ACA","ACA002","Austin Cary FL","PIPA","SNAG","DEAD",16.5,1,0,"A",2,213.8,0.402736686,18.83490451,"rotten, no core, extremely burned",8.72,144,NA,NA,2014,NA
"ACA","ACA003","Austin Cary FL","PIPA","SNAG","DEAD",21.6,1,0,"A",3,366.4,0.2916,7.957747155,"no core, extremely burned",10.89,158,NA,NA,2014,NA
"ACA","ACA004","Austin Cary FL","PIPA","C","LIVE",30.6,1,2,"A",4,735.4,0.585225,7.957747155,NA,16.5,134,"Y",1915,2014,99
"ACA","ACA005","Austin Cary FL","PIPA","C","LIVE",22.5,1,2,"A",5,397.6,0.31640625,7.957747155,NA,18.82,131,"Y",1911.5,2014,102.5
"ACA","ACA006","Austin Cary FL","PIPA","C","LIVE",29.9,1,2,"A",6,702.2,0.55875625,7.957747155,NA,14.89,118,"Y",1918,2014,96
"ACA","ACA007","Austin Cary FL","PIPA","C","LIVE",35.5,1,2,"A",7,989.8,0.78765625,7.957747155,NA,16.03,103,"Y",1921,2014,93
"ACA","ACA008","Austin Cary FL","PIPA","C","LIVE",33.9,1,2,"A",8,902.6,0.71825625,7.957747155,NA,15.1,32,"Y",1923.5,2014,90.5
"ACA","ACA009","Austin Cary FL","PIPA","C","LIVE",31.7,1,2,"A",9,789.2,0.62805625,7.957747155,"tagged: 992",10.7,59,"Y",1919,2014,95
"ACA","ACA010","Austin Cary FL","PIPA","C","LIVE",18.6,1,2,"A",10,271.7,0.511775148,18.83490451,"tagged: 995",6.35,44,"Y",1936,2014,78
"ACA","ACA011","Austin Cary FL","PIPA","C","LIVE",26,1,2,"A",11,530.9,0.4225,7.957747155,"tagged: 996",3.69,29,"Y",1918,2014,96
"ACA","ACA012","Austin Cary FL","PIPA","C","LIVE",35.7,1,2,"A",12,1001,0.79655625,7.957747155,NA,14.02,50,"Y",1917,2014,97
"ACA","ACA013","Austin Cary FL","PIPA","C","LIVE",22.8,1,2,"A",13,408.3,0.3249,7.957747155,NA,19.85,41,"Y",1946,2014,68
"ACA","ACA014","Austin Cary FL","PIPA","C","LIVE",34.8,1,2,"A",14,951.1,0.7569,7.957747155,"tagged:993",9.14,19,"Y",1931.5,2014,82.5
"ACA","ACA015","Austin Cary FL","PIPA","C","LIVE",17.1,1,2,"A",15,229.7,0.432559172,18.83490451,"Tagged:990",12.87,21,"N",1936,2014,78
"ACA","ACA016","Austin Cary FL","PIPA","C","LIVE",36.2,1,2,"A",16,1029.2,0.819025,7.957747155,"tagged:989",16.62,19,"Y",1925.5,2014,88.5
"ACA","ACA017","Austin Cary FL","PIPA","C","LIVE",42.2,1,2,"A",17,1398.7,1.113025,7.957747155,"tagged:988",14.68,349,"Y",1920,2014,94
"ACA","ACA018","Austin Cary FL","PIPA","C","LIVE",27.2,1,2,"A",18,581.1,0.4624,7.957747155,"tagged: 987?",12.92,21,"Y",1929,2014,85
"ACA","ACA019","Austin Cary FL","PIPA","C","LIVE",26.7,1,2,"A",19,559.9,0.44555625,7.957747155,"tagged:1000",17.42,310,"N",1932,2014,82
"ACA","ACA020","Austin Cary FL","PIPA","C","LIVE",23.5,1,2,"A",20,433.7,0.34515625,7.957747155,"tagged: 433",16.57,286,"Y",1917,2014,97
"ACA","ACA021","Austin Cary FL","PIPA","C","LIVE",42.9,1,2,"A",21,1445.5,1.15025625,7.957747155,"tagged: 450",19.66,264,"Y",1920,2014,94
"ACA","ACA022","Austin Cary FL","PIPA","SNAG","DEAD",25.4,1,0,"A",22,506.7,0.403225,7.957747155,"no core, tagged:451",15.89,260,NA,NA,2014,NA
"ACA","ACA023","Austin Cary FL","PIPA","C","LIVE",31.8,1,2,"A",23,794.2,0.632025,7.957747155,"tagged: 455",8.19,267,"Y",1921.5,2014,92.5
"ACA","ACA024","Austin Cary FL","PIPA","C","LIVE",38,1,2,"A",24,1134.1,0.9025,7.957747155,"tagged: 456",3.23,265,"Y",1918,2014,96
"ACA","ACA025","Austin Cary FL","PIPA","C","LIVE",35,1,2,"A",25,962.1,0.765625,7.957747155,"tagged: 453",10.1,241,"Y",NA,2014,NA
"ACA","ACA026","Austin Cary FL","PIPA","C","LIVE",22.8,1,2,"A",26,408.3,0.3249,7.957747155,"tagged: 452",15.26,246,"Y",1921,2014,93
"ACA","ACA027","Austin Cary FL","PIPA","C","LIVE",34.8,1,2,"A",27,951.1,0.7569,7.957747155,"tagged: 472",17.88,242,"Y",1917,2014,97
"ACA","ACA028","Austin Cary FL","PIPA","C","LIVE",35.6,1,2,"A",28,995.4,0.7921,7.957747155,"tagged: 470",16.47,216,"Y",1918,2014,96
"ACA","ACA029","Austin Cary FL","PIPA","C","LIVE",37.2,1,2,"A",29,1086.9,0.8649,7.957747155,"tagged: 496",17.95,186,"Y",1944,2014,70
"ACA","ACA030","Austin Cary FL","PIPA","C","LIVE",22.2,1,2,"A",30,387.1,0.308025,7.957747155,"tagged: 464",12.22,186,"Y",1947.5,2014,66.5
"ACA","ACA031","Austin Cary FL","PIPA","C","LIVE",29.5,1,2,"A",31,683.5,0.54390625,7.957747155,"tagged: 465",12.44,196,"Y",1943,2014,71
"ACA","ACA032","Austin Cary FL","PIPA","C","LIVE",21.2,1,2,"A",32,353,0.2809,7.957747155,"tagged: 458",6.05,215,"Y",1926,2014,88
"ACB","ACB001","Austin Cary FL","PIPA","SNAG","DEAD",26.8,1,2,"B",1,564.1,0.4489,7.957747155,NA,19.37,5,"Y",1936,2014,78
"ACB","ACB002","Austin Cary FL","PIPA","C","LIVE",28.5,1,2,"B",2,637.9,0.50765625,7.957747155,"has some canopy damage",19.31,356,"Y",1934.5,2014,79.5
"ACB","ACB003","Austin Cary FL","PIPA","C","LIVE",33.2,1,2,"B",3,865.7,0.6889,7.957747155,NA,17.84,358,"Y",1940,2014,74
"ACB","ACB004","Austin Cary FL","PIPA","C","LIVE",30.5,1,2,"B",4,730.6,0.58140625,7.957747155,NA,18.09,347,"N",1949.5,2014,64.5
"ACB","ACB005","Austin Cary FL","PIPA","C","LIVE",33.5,1,2,"B",5,881.4,0.70140625,7.957747155,NA,19.16,329,"N",1944.5,2014,69.5
"ACB","ACB006","Austin Cary FL","PIPA","C","LIVE",22.9,1,2,"B",6,411.9,0.32775625,7.957747155,NA,12.82,280,"Y",1920.5,2014,93.5
"ACB","ACB007","Austin Cary FL","PIPA","C","LIVE",33.3,1,2,"B",7,870.9,0.69305625,7.957747155,NA,6.61,294,"Y",1937,2014,77
