"TreeID","PlotID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores","plot","Dated","Pith","Tree","Basal.Area..cm2.","basal.area..m2.ha.","Density..stems.ha.","notes","Distance","Azimuth"
"NWB111","NWB","Niwot","PICO","C","LIVE",12.2,1,2,"B","Y",1931.5,NA,NA,NA,NA,NA,NA,NA
"NWB112","NWB","Niwot","PIEN","C","LIVE",11,1,2,"B","Y",1931,NA,NA,NA,NA,NA,NA,NA
"NWB113","NWB","Niwot","PICO","C","LIVE",28.9,1,2,"B","Y",1821,NA,NA,NA,NA,NA,NA,NA
"NWB114","NWB","Niwot","PICO","C","LIVE",13,1,2,"B","Y",1795,NA,NA,NA,NA,NA,NA,NA
"NWB121","NWB","Niwot","ABLA","C","LIVE",13.9,1,2,"B","Y",1916,NA,NA,NA,NA,NA,NA,NA
"NWB122","NWB","Niwot","PIEN","C","LIVE",13.5,1,2,"B","Y",1826,NA,NA,NA,NA,NA,NA,NA
"NWB123","NWB","Niwot","ABLA","C","LIVE",12.2,1,2,"B","Y",1927,NA,NA,NA,NA,NA,NA,NA
"NWB124","NWB","Niwot","PIEN","C","LIVE",13.8,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB131","NWB","Niwot","ABLA","C","LIVE",9.7,1,2,"B","Y",1914,NA,NA,NA,NA,NA,NA,NA
"NWB132","NWB","Niwot","ABLA","C","LIVE",14.1,1,2,"B","Y",1915,NA,NA,NA,NA,NA,NA,NA
"NWB133","NWB","Niwot","ABLA","C","LIVE",12.5,1,2,"B","Y",1911,NA,NA,NA,NA,NA,NA,NA
"NWB134","NWB","Niwot","ABLA","C","LIVE",6,1,2,"B","Y",1925,NA,NA,NA,NA,NA,NA,NA
"NWB141","NWB","Niwot","PICO","C","LIVE",15.2,1,2,"B","Y",1786,NA,NA,NA,NA,NA,NA,NA
"NWB142","NWB","Niwot","PICO","C","LIVE",30.4,1,2,"B","Y",1840,NA,NA,NA,NA,NA,NA,NA
"NWB143","NWB","Niwot","ABLA","C","LIVE",14.3,1,2,"B","Y",1891,NA,NA,NA,NA,NA,NA,NA
"NWB144","NWB","Niwot","ABLA","C","LIVE",8.3,1,2,"B","Y",1926,NA,NA,NA,NA,NA,NA,NA
"NWB151","NWB","Niwot","ABLA","C","LIVE",19.4,1,2,"B","Y",1914,NA,NA,NA,NA,NA,NA,NA
"NWB152","NWB","Niwot","ABLA","C","LIVE",12.4,1,2,"B","Y",1905,NA,NA,NA,NA,NA,NA,NA
"NWB153","NWB","Niwot","PIEN","C","LIVE",26,1,2,"B","Y",1799,NA,NA,NA,NA,NA,NA,NA
"NWB154","NWB","Niwot","ABLA","C","LIVE",14.2,1,2,"B","Y",1913,NA,NA,NA,NA,NA,NA,NA
"NWB161","NWB","Niwot","PICO","C","LIVE",28.2,1,2,"B","Y",1755.5,NA,NA,NA,NA,NA,NA,NA
"NWB162","NWB","Niwot","PIEN","C","LIVE",20.1,1,2,"B","Y",1832,NA,NA,NA,NA,NA,NA,NA
"NWB163","NWB","Niwot","PIEN","C","LIVE",9,1,2,"B","Y",1922,NA,NA,NA,NA,NA,NA,NA
"NWB164","NWB","Niwot","ABLA","C","LIVE",9.1,1,2,"B","Y",1877,NA,NA,NA,NA,NA,NA,NA
"NWB211","NWB","Niwot","PICO","C","LIVE",13.8,1,2,"B","Y",1931,NA,NA,NA,NA,NA,NA,NA
"NWB212","NWB","Niwot","PICO","C","LIVE",22.7,1,2,"B","Y",1777.5,NA,NA,NA,NA,NA,NA,NA
"NWB213","NWB","Niwot","PICO","C","LIVE",14.5,1,2,"B","Y",1928,NA,NA,NA,NA,NA,NA,NA
"NWB214","NWB","Niwot","ABLA","C","LIVE",8,1,2,"B","Y",1933,NA,NA,NA,NA,NA,NA,NA
"NWB221","NWB","Niwot","PIEN","C","LIVE",22.9,1,2,"B","Y",1799,NA,NA,NA,NA,NA,NA,NA
"NWB222","NWB","Niwot","ABLA","C","LIVE",7.1,1,2,"B","Y",1935,NA,NA,NA,NA,NA,NA,NA
"NWB223","NWB","Niwot","ABLA","C","LIVE",13,1,2,"B","Y",1859.5,NA,NA,NA,NA,NA,NA,NA
"NWB224","NWB","Niwot","ABLA","C","DEAD",7.7,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB231","NWB","Niwot","PIEN","C","LIVE",17.4,1,2,"B","Y",1843.5,NA,NA,NA,NA,NA,NA,NA
"NWB232","NWB","Niwot","ABLA","C","LIVE",15.1,1,2,"B","Y",1889,NA,NA,NA,NA,NA,NA,NA
"NWB233","NWB","Niwot","PICO","C","LIVE",25,1,2,"B","Y",1900,NA,NA,NA,NA,NA,NA,NA
"NWB234","NWB","Niwot","PIEN","C","LIVE",31.3,1,2,"B","Y",1800.5,NA,NA,NA,NA,NA,NA,NA
"NWB241","NWB","Niwot","ABLA","C","DEAD",17.5,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB242","NWB","Niwot","ABLA","C","DEAD",19,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB243","NWB","Niwot","PICO","C","LIVE",9.6,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB244","NWB","Niwot","ABLA","C","LIVE",14.4,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB251","NWB","Niwot","PICO","C","LIVE",19.2,1,2,"B","Y",1763,NA,NA,NA,NA,NA,NA,NA
"NWB252","NWB","Niwot","PIEN","C","LIVE",16.2,1,2,"B","Y",1922,NA,NA,NA,NA,NA,NA,NA
"NWB253","NWB","Niwot","ABLA","C","LIVE",14.7,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB254","NWB","Niwot","ABLA","C","LIVE",9.5,1,2,"B","Y",1921,NA,NA,NA,NA,NA,NA,NA
"NWB261","NWB","Niwot","ABLA","C","LIVE",13.4,1,2,"B","Y",1796,NA,NA,NA,NA,NA,NA,NA
"NWB262","NWB","Niwot","PIEN","C","LIVE",7.6,1,2,"B","Y",1920,NA,NA,NA,NA,NA,NA,NA
"NWB263","NWB","Niwot","PIEN","C","LIVE",6,1,2,"B","Y",1928,NA,NA,NA,NA,NA,NA,NA
"NWB264","NWB","Niwot","PIEN","C","LIVE",8.7,1,2,"B","Y",1925,NA,NA,NA,NA,NA,NA,NA
"NWB311","NWB","Niwot","PIEN","C","LIVE",17.6,1,2,"B","Y",1817,NA,NA,NA,NA,NA,NA,NA
"NWB312","NWB","Niwot","PICO","C","LIVE",27.6,1,2,"B","Y",1783,NA,NA,NA,NA,NA,NA,NA
"NWB313","NWB","Niwot","ABLA","C","LIVE",6.7,1,2,"B","Y",1861,NA,NA,NA,NA,NA,NA,NA
"NWB314","NWB","Niwot","PICO","C","LIVE",14.8,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB321","NWB","Niwot","PIEN","C","LIVE",36.8,1,2,"B","Y",1814,NA,NA,NA,NA,NA,NA,NA
"NWB322","NWB","Niwot","PIEN","C","LIVE",16.1,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB323","NWB","Niwot","PICO","C","LIVE",17,1,2,"B","Y",1929,NA,NA,NA,NA,NA,NA,NA
"NWB324","NWB","Niwot","ABLA","C","LIVE",12.3,1,2,"B","Y",1917.5,NA,NA,NA,NA,NA,NA,NA
"NWB331","NWB","Niwot","ABLA","C","LIVE",10.5,1,2,"B","Y",1931,NA,NA,NA,NA,NA,NA,NA
"NWB332","NWB","Niwot","ABLA","C","DEAD",11.2,1,2,"B","Y",1918,NA,NA,NA,NA,NA,NA,NA
"NWB333","NWB","Niwot","ABLA","C","LIVE",13.5,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB334","NWB","Niwot","ABLA","C","LIVE",6.8,1,2,"B","Y",1935,NA,NA,NA,NA,NA,NA,NA
"NWB341","NWB","Niwot","PICO","C","LIVE",14.5,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB342","NWB","Niwot","ABLA","C","LIVE",17.5,1,2,"B","Y",1915,NA,NA,NA,NA,NA,NA,NA
"NWB343","NWB","Niwot","PICO","C","LIVE",8.9,1,2,"B","Y",1934,NA,NA,NA,NA,NA,NA,NA
"NWB344","NWB","Niwot","ABLA","C","DEAD",13.8,1,2,"B","Y",1921,NA,NA,NA,NA,NA,NA,NA
"NWB351","NWB","Niwot","ABLA","C","LIVE",11.7,1,2,"B","Y",1919,NA,NA,NA,NA,NA,NA,NA
"NWB352","NWB","Niwot","ABLA","C","LIVE",15.4,1,2,"B","Y",1913,NA,NA,NA,NA,NA,NA,NA
"NWB353","NWB","Niwot","PIEN","C","LIVE",8.7,1,2,"B","Y",1827,NA,NA,NA,NA,NA,NA,NA
"NWB354","NWB","Niwot","PICO","C","LIVE",26.5,1,2,"B","Y",NA,NA,NA,NA,NA,NA,NA,NA
"NWB361","NWB","Niwot","PICO","C","LIVE",29.3,1,2,"B","Y",NA,NA,NA,NA,NA,NA,NA,NA
"NWB362","NWB","Niwot","ABLA","C","LIVE",21,1,2,"B","Y",1831.5,NA,NA,NA,NA,NA,NA,NA
"NWB363","NWB","Niwot","ABLA","C","DEAD",19.6,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB364","NWB","Niwot","ABLA","C","LIVE",20.1,1,2,"B","Y",1853,NA,NA,NA,NA,NA,NA,NA
"NWB411","NWB","Niwot","ABLA","C","DEAD",20.5,1,2,"B","N",NA,NA,NA,NA,NA,NA,NA,NA
"NWB412","NWB","Niwot","PIEN","C","LIVE",21.2,1,2,"B","Y",1904,NA,NA,NA,NA,NA,NA,NA
"NWB413","NWB","Niwot","ABLA","C","LIVE",12.3,1,2,"B","Y",1921,NA,NA,NA,NA,NA,NA,NA
