Tower,TreeID,Species,DBH,Distance,Azimuth,Status,Class,NOTES
Missouri Ozark,MOA999,ash,15,11.43,195,LO,3,base out of plot
Missouri Ozark,MOA998,oak,40,7.53,99,LO,3,
Missouri Ozark,MOA997,oak,12,9.22,55,LO,3,
Missouri Ozark,MOA996,oak,20,11.08,73,LO,3,
Missouri Ozark,MOA995,oak,10,13,6,LO,2,
Missouri Ozark Plot B,MOB999,RED OAK,10,0,186,LO,3/4,
Missouri Ozark Plot B,MOB998,CARYA,12,5.77,315,LO,4,
Missouri Ozark Plot B,MOB997,CARYA,15,7.16,314,ST,3/4,
Missouri Ozark Plot B,MOB996,CARYA,26,6.13,315,LO,3,
Missouri Ozark Plot B,MOB995,CARYA,12,6.49,314,LO,3,
Missouri Ozark Plot B,MOB994,CARYA,14,5.25,285,LO,4,
Missouri Ozark Plot B,MOB993,CARYA,15,11.24,310,LO,3,
Missouri Ozark Plot B,MOB992,CARYA,21,12.11,326,LO,4,
Missouri Ozark Plot B,MOB991,CARYA,17,11.17,335,LO,3,
Missouri Ozark Plot B,MOB990,CARYA,16,8.11,315,LO,3,
Missouri Ozark Plot B,MOB989,CARYA,,15,60,ST,3,
Missouri Ozark Plot B,MOB988,CARYA,22,18.11,135,LO,2,
Missouri Ozark Plot B,MOB987,CARYA,16,4.67,170,LO,3,tag: 154
Missouri Ozark Plot B,MOB986,CARYA,23,20.66,318,LO,2,tag
Missouri Ozark Plot C,MOC999,ash,13,5.42,261,LO,2,
Missouri Ozark Plot C,MOC998,QUAL,23,9.96,254,LO,3,
Missouri Ozark Plot C,MOC997,oak,24,15.65,235,LO,4,
Missouri Ozark Plot C,MOC996,elm,10,7.25,203,LO,4,
Missouri Ozark Plot C,MOC995,carya,30,11.79,125,LO,3,
Missouri Ozark Plot C,MOC994,carya,25,16.45,64,LO,3,
Morgan Monroe Plot A,MMA999,oak,58,2.06,10,ST,4,
Morgan Monroe Plot A,MMA998,oak,19,9.52,55,LO,4,
Morgan Monroe Plot A,MMA997,WHITE OAK,39,15.8,140,ST,4,
Morgan Monroe Plot A,MMA996,RED OAK,63,12.93,190,ST,4,
Morgan Monroe Plot A,MMA995,MAPLE,10,16.42,254,ST,4,
Morgan Monroe Plot A,MMA994,WHITE OAK,20,15.33,291,LO,4,
Morgan Monroe Plot A,MMA993,RED OAK,66,15.44,310,ST,4,
Morgan Monroe Plot A,MMA992,FRAX,12,11.83,345,LO,3,
Morgan Monroe Plot A,MMA991,MAPLE,10,14.24,333,LO,3,LEANER
Morgan Monroe Plot B,MMB999,SAAL,25.5,6.6,195,ST,5,
Morgan Monroe Plot B,MMB998,RED OAK,34,14.05,227,LO,4,
Morgan Monroe Plot B,MMB997,WHITE OAK,28,11.99,286,LO,4,
Morgan Monroe Plot B,MMB996,ACER,13,19.78,25,LO,3,
Morgan Monroe Plot B,MMB995,SAAL,28.1,13.74,155,ST,3,
Morgan Monroe Plot C,MMC999,maple,13.7,5.67,225,LO/ST,3,
Morgan Monroe Plot C,MMC998,maple,14,8.52,239,LO/ST,3,
Morgan Monroe Plot C,MMC997,maple,11,7.22,213,LO,3,
Morgan Monroe Plot C,MMC996,maple,16,2.28,140,,2,
Morgan Monroe Plot C,MMC995,oak,,2.73,129,ST,,"NO DIAM, STUMP REMNANT"
Morgan Monroe Plot C,MMC994,SAAL,14.8,13.4,145,LO/ST,2,
Morgan Monroe Plot C,MMC993,maple,7.46,7.46,87,LO,3,
Morgan Monroe Plot C,MMC992,maple,13.31,13.31,3,LO,2,
Morgan Monroe Plot C,MMC991,QUAL,11.62,11.62,284,LO,5,
Morgan Monroe Plot C,MMC990,maple,15.19,15.19,223,LO,3,
Morgan Monroe Plot C,MMC989,oak,11.9,11.9,204,LO,5,
Oak Openings Plot A,OOA999,RED OAK,20,0.8,350,LO,3,
Oak Openings Plot A,OOA998,WHITE OAK,16,2.6,127,ST,3,
Oak Openings Plot A,OOA997,PRSE,16,7.85,49,LO,2,
Oak Openings Plot A,OOA996,PRSE,10,8.17,49,LO,3,
Oak Openings Plot A,OOA995,RED OAK,26,7.66,16,LO,4,
Oak Openings Plot A,OOA994,RED OAK,22,12.12,82,ST,5,
Oak Openings Plot A,OOA993,PRSE,24,10.69,130,ST,4,
Oak Openings Plot A,OOA992,RED OAK,15,9.55,138,ST,3,
Oak Openings Plot A,OOA991,PRSE,19,2.58,119,ST,3,
Oak Openings Plot A,OOA990,RED OAK,17,5.77,245,LO,3,
Oak Openings Plot A,OOA989,RED OAK,23,13.57,195,LO,4,
Oak Openings Plot A,OOA988,RED OAK,16,10.94,186,LO,5,
Oak Openings Plot A,OOA987,RED OAK,22,13.11,220,LO,4,
Oak Openings Plot A,OOA986,RED OAK,31,10.41,280,LO,4,
Oak Openings Plot A,OOA985,RED OAK,21,11.48,288,LO,4,
Oak Openings Plot A,OOA984,RED OAK,14,5.11,297,ST,5,
Oak Openings Plot B,OOB999,RED OAK,33,1.77,9,ST,5,
Oak Openings Plot B,OOB998,RED OAK,23,16.12,69,LO,4,
Oak Openings Plot B,OOB997,RED OAK,34,6.59,136,ST/LO,4,
Oak Openings Plot B,OOB996,RED OAK,23,9.43,170,LO,4,
Oak Openings Plot B,OOB995,RED OAK,70,15.41,190,ST/LO,3,
Oak Openings Plot B,OOB994,WHITE OAK,20,15.19,200,ST/LO,5,
Oak Openings Plot B,OOB993,RED OAK,24.7,18.15,223,ST/LO,4,
Oak Openings Plot B,OOB992,RED OAK,21.1,9.85,219,ST/LO,3,
Oak Openings Plot B,OOB991,RED OAK,24.5,9.06,299,ST/LO,3,
Oak Openings Plot B,OOB990,RED OAK,20,13.8,316,ST/LO,5,
Oak Openings Plot B,OOB989,WHITE OAK,22,14.98,326,ST/LO,5,
Oak Openings Plot B,OOB988,WHITE OAK,23,14.51,357,ST/LO,4,
Oak Openings Plot C,OOC999,WHITE OAK,20,13.17,185,LO,5,
Oak Openings Plot C,OOC998,QHITE OAK,23,17.1,178,LO,3,
Oak Openings Plot C,OOC997,RED OAK,30,15.47,90,ST,5,
Oak Openings Plot C,OOC996,RED OAK,14,12.29,35,LO,4,
Oak Openings Plot C,OOC995,WHITE OAK,11,13.01,15,LO,4,
Oak Openings Plot C,OOC994,RED OAK,12,8.43,17,LO,4,
Oak Openings Plot C,OOC993,RED OAK,11,8.97,353,LO,3,
Oak Openings Plot C,OOC992,WHITE OAK,34,12.07,312,LO/ST,3,
Oak Openings Plot C,OOC991,RED OAK,24,8.91,310,LO,5,
Oak Openings Plot C,OOC990,REDOAK,20,19.65,235,LO,4,
Michigan Ameriflux Plot A,MAA999,BIRCH,17.8,5.89,225,ST/LO,2,measured @ standing sump
Michigan Ameriflux Plot A,MAA998,PINE,81,10.88,207,ST,5,"logging stump, rotten stump"
Michigan Ameriflux Plot A,MAA997,BIRCH BIRCH,12,9.99,242,LO,5,
Michigan Ameriflux Plot A,MAA996,MAPLE,22.6,14.77,284,LO,2,
Michigan Ameriflux Plot A,MAA995,BIRCH,20,16.53,260,LO,3,
Michigan Ameriflux Plot A,MAA994,PINE,20,18.07,275,LO,5,
Michigan Ameriflux Plot A,MAA993,PINE,70,14.5,38,ST,5,"charred, whole center missing, pretty rotten"
Michigan Ameriflux Plot A,MAA992,PINE,33,18.76,40,ST,5,
Michigan Ameriflux Plot A,MAA991,PINE,70,19.67,95,ST,5,
Michigan Ameriflux Plot A,MAA990,PINE,150,17.95,124,ST,5,"possible multiple stumps, center rotten, mostly 5"
Michigan Ameriflux Plot A,MAA989,POPLAR,21,12.23,140,LO,4,
Michigan Ameriflux Plot A,MAA988,POPLAR,20,12.41,145,LO,4,
Michigan Ameriflux Plot A,MAA987,POPLAR,80,16.02,180,ST,5,
Michigan Ameriflux Plot B,MAB999,MAPLE,22.5,11,5,ST,4,
Michigan Ameriflux Plot B,MAB998,BIRCH,32,16.25,329,ST,4,
Michigan Ameriflux Plot B,MAB997,POPLAR,20,16.91,310,ST/LO,4,
Michigan Ameriflux Plot B,MAB996,POPLAR,20,15.71,310,ST/LO,3,
Michigan Ameriflux Plot B,MAB995,PINE,23,16.01,306,ST/LO,4,
Michigan Ameriflux Plot B,MAB994,POPLAR,29,11.95,250,ST,4,
Michigan Ameriflux Plot B,MAB993,BIRCH,23,16.83,113,ST/LO,4,
Michigan Ameriflux Plot B,MAB992,PINE,90,16.8,90,ST,5,
Michigan Ameriflux Plot B,MAB991,PINE,65,14.38,65,ST,5,
Michigan Ameriflux Plot C,MAC999,PINE,50,5,70,ST,5,
Michigan Ameriflux Plot C,MAC998,MAPLE,21,13.27,305,LO,5,
Michigan Ameriflux Plot C,MAC997,BIRCH,13.1,6.35,288,ST,4,
Michigan Ameriflux Plot C,MAC996,BIRCH,18.5,6.35,209,ST,4,
Michigan Ameriflux Plot C,MAC995,OAK,11,5.51,221,LO,3,
Michigan Facet Tower Plot A,MFA999,PINE,27,18.75,315,ST/LO,5,
Michigan Facet Tower Plot A,MFA998,POGR,28,18.83,313,ST/LO,5,
Michigan Facet Tower Plot A,MFA997,RED OAK,15,6.66,290,LO,3,
Michigan Facet Tower Plot A,MFA996,PINE,54,11.15,220,ST,5,
Michigan Facet Tower Plot A,MFA995,PINE,63,12.7,175,ST,5,
Michigan Facet Tower Plot A,MFA994,RED OAK,18,10.48,176,ST/LO,3,
Michigan Facet Tower Plot A,MFA993,RED OAK,15,9.6,155,LO,3,
Michigan Facet Tower Plot A,MFA992,PINE,50,18.9,75,ST,5,
Michigan Facet Tower Plot A,MFA991,PINE,32,2.32,230,ST,5,
Michigan Facet Tower Plot A,MFA990,RED OAK,14,2.22,125,LO,3,
Michigan Facet Tower Plot B,MFB999,POGR,36,13.34,341,LO,4,
Michigan Facet Tower Plot B,MFB998,PINE,100,17.6,150,ST,5,
Michigan Facet Tower Plot B,MFB997,BEPA,20.7,1.8,97,LO,2,
Michigan Facet Tower Plot B,MFB996,POGR,23,19.25,95,LO,5,
Willow Creek plot A,WCA999,TIAM,36,8.98,230,ST,1,
Willow Creek plot A,WCA998,TIAM,32.4,12.55,194,ST,1,
Willow Creek plot A,WCA997,ACSA,35,13.95,139,ST,1,
Willow Creek plot A,WCA996,TIAM,38,4.35,165,ST,1,
Willow Creek plot A,WCA995,ACSA,40,1.35,90,ST,1,
Willow Creek plot A,WCA994,TIAM,25.8,7.59,89,ST,4,
Willow Creek plot A,WCA993,ACSA,14,9.45,86,ST,4,
