scientific,common,acronym,spcd,pft,PalEON,CLM,Supplement Table S2:
Ailanthus altissima,ailanthus,AIAL,341,EH,Other hardwood,BLD,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2486.2011.02477.x/suppinfo
Albizia julibrissin,mimosa,ALJU,345,EH,Other hardwood,BLD,"Dietze, M. C. and Moorcroft, P. R. (2011), Tree mortality in the eastern and central United States: patterns and drivers. Global Change Biology, 17:æ3312_3326. doi:æ10.1111/j.1365-2486.2011.02477.x"
Alnus,alder,ALNUS,350,EH,Alder,BLD,
Alnus spp,alder,ALNUS,350,EH,Alder,BLD,
Betula  ,Birch,BETUL,370,EH,Birch,BLD,
Betula alleganiensis,yellow birch,BEAL2,371,EH,Birch,BLD,
Betula lenta,sweet birch,BELE,372,EH,Birch,BLD,
Betula nigra,river birch,BENI,373,EH,Birch,BLD,
Betula papyrifera,paper birch  ,BEPA,375,EH,Birch,BLD,
Betula populifolia,gray birch  ,BEPO,379,EH,Birch,BLD,
Bumelia lanuginosa,Gum Bumelia,BUML,,EH,Other hardwood,BLD,
Bursera simaruba,gumbo limbo,BUSI,854,EH,Other hardwood,BLD,
Catalpa,catalpa,CATAL,450,EH,Other hardwood,BLD,
Catalpa bignoniodes,southern catalpa,CABI8,451,EH,Other hardwood,BLD,
Catalpa speciosa,northern catalpa,CASP8,452,EH,Other hardwood,BLD,
Elaeagnus angustifolia,Russian-olive,ELAN,997,EH,Other hardwood,BLD,
Ficus aurea,Florida strangler fig,FIAU,876,EH,Other hardwood,BLD,
Gleditsia triacanthos,honeylocust,GLTR,552,EH,Other hardwood,BLD,
Gymnocladus dioicus,Kentucky coffeetree,GYDI,571,EH,Other hardwood,BLD,
Larix laricina,tamarack,LALA,71,EH,Tamarack,BLD,
Larix spp,Larch spp,LASP,70,EH,Tamarack,BLD,
Liquidambar styraciflua,sweetgum,LIST2,611,EH,Other hardwood,BLD,
Maclura pomifera,Osage-orange,MAPO,641,EH,Other hardwood,BLD,
Melia azedarach, Chinaberrytree,MEAZ,993,EH,Other hardwood,BLD,
Paulownia tomentosa,paulownia,PATO2,712,EH,Other hardwood,BLD,
Populus,poplar,POPUL,740,EH,Poplar,BLD,
Populus alba,silver poplar,POAL7,752,EH,Poplar,BLD,
Populus balsamifera,balsam poplar,POBA2,741,EH,Poplar,BLD,
Populus deltoides,eastern cottonwood  ,PODE3,742,EH,Poplar,BLD,
Populus deltoides sub monilifera,plains cottonwood,PODEM,745,EH,Poplar,BLD,
Populus grandidentata,bigtooth aspen  ,POGR4,743,EH,Poplar,BLD,
Populus nigra,Lombardy poplar,,753,EH,Poplar,BLD,
Populus spp,poplar,POPUL,740,EH,Poplar,BLD,
Populus tremuloides,quaking aspen  ,POTR5,746,EH,Poplar,BLD,
Prosopis pubescens,screwbean mesquite,PRPU,758,EH,Other hardwood,BLD,
Prunus,cherry,PRUNU,760,EH,Cherry,BLD,
Prunus americana,American plum,PRAM,766,EH,Cherry,BLD,
Prunus aviumPRAV,sweet cherry,,771,EH,Cherry,BLD,
Prunus cerasus,,,772,EH,Cherry,BLD,
Prunus nigra,Canada plum,PRNI,765,EH,Cherry,BLD,
Prunus pennsylvanica,pin cherry  ,PRPE2,761,EH,Cherry,BLD,
Prunus serotina,black cherry  ,PRSE2,762,EH,Cherry,BLD,
Prunus virginiana,chokecherry   ,PRVI,763,EH,Cherry,BLD,
Robinia pseudoacacia,black locust  ,ROPS,901,EH,Other hardwood,BLD,
Salix,willow   ,SALIX,920,EH,Willow,BLD,
Salix,willow   ,SALIX,920,EH,Willow,BLD,
Salix alba,white willow,SAAL2,927,EH,Willow,BLD,
Salix bebbiana,Bebb willow,SABE2,923,EH,Willow,BLD,
Salix caroliniana,costal plain willow,SACA5,925,EH,Willow,BLD,
Salix nigra,black willow  ,SANI,922,EH,Willow,BLD,
Salix sepulcralis,weeping willow,SASE10,929,EH,Willow,BLD,
Sideroxylon lanuginosum ssp. lanuginosum,gum bully,SILAL3,381,EH,Other hardwood,BLD,
Vernicia fordii,tung-oil-tree,VEFO,995,EH,Other hardwood,BLD,
Avicennia germinans,Black-mangrove,AVGE,986,Evergreen,,BLE,
