PlotID,Site (Tower),date.sample,latitude,longitude,elevation,Radius1 (m),Radius2 (m),DBH Cutoff1 (cm),Area1 (m2),Area2 (m2),Area1 (ha),Area2 (ha),BA Total (m2/ha),Density Total (stems/ha),BA Live (m2/ha),BA Dead (m2/ha),Density Live (stems/ha),Density Dead (stems/ha),Density Saplings (stems/ha),Total Trees (per plot),Total Cores (per plot),notes
MOA,Missouri Ozark,05.26.2014,,,,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,0,0,0,0,0,0,683.25,0,0,
MOB,Missouri Ozark,05.26.2014,38.74339,92.19991,244,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,0,0,0,0,0,0,300.76,0,0,
MOC,Missouri Ozark,05.27.2014,38.74378,92.19926,217,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,0,0,0,0,0,0,222.16,0,0,
MMA,Morgan Monroe State Park,05.30.2014,39.32349,86.41457,309,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,0,0,0,0,0,0,68.64,0,0,
MMB,Morgan Monroe State Park,05.30.2014,39.32313,86.41406,305,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,0,0,0,0,0,0,267.75,0,0,
MMC,Morgan Monroe State Park,05.30.2014,,,,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,0,0,0,0,0,0,251.5,0,0,
OOA,Oak Openings Toledo,06.02.2014,41.55493,83.84351,208,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,0,0,0,0,0,0,754.51,0,0,
OOB,Oak Openings Toledo,06.02.2014,41.55481,83.84411,230,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,0,0,0,0,0,0,725.17,0,0,
OOC,Oak Openings Toledo,06.02.2014,41.55491,83.84307,,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,0,0,0,0,0,0,280.85,0,0,
MAA,Michigan AmerifluxTower,06.04.2014,45.55842,84.71372,257,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,0,0,0,0,0,0,39.3,0,0,
MAB,Michigan AmerifluxTower,06.05.2014,45.55951,84.71465,235,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,0,0,0,0,0,0,457.42,0,0,
MAC,Michigan AmerifluxTower,06.05.2014,45.56025,84.71456,240,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,0,0,0,0,0,0,578.46,0,0,
MFA,Michigan Facet Site,06.06.2014,45.56207,84.69849,246,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,0,0,0,0,0,0,966.72,0,0,
MFB,Michigan Facet Site,06.07.2014,45.56291,84.6981,264,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,0,0,0,0,0,0,352.63,0,0,
WCA,Willow Creek,06.09.2014,45.80533,90.07951,548,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,0,0,0,0,0,0,97.98,0,0,
WCB,Willow Creek,06.09.2014,45.80586,90.08035,533,13,20,20,530.9291585,1256.637061,0.053092916,0.125663706,0,0,0,0,0,0,140.42,0,0,
