CoreID,Site,plot.id,tree.number,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie,species,canopy.class,live.dead,dbh
HOW1001N,HOW,1,1,1,2,N,NA,NA,1931,1931,2013,Y,1931,2013,Y,NA,NA,PCRU,I,LIVE,23
HOW1002E,HOW,1,2,1,2,E,NA,NA,1965,1965,2013,Y,1965,2013,Y,NA,NA,PCRU,SNAG,DEAD,13.2
HOW1002W,HOW,1,2,1,2,W,NA,NA,1967,1967,2012,Y,1967,2012,Y,NA,NA,PCRU,SNAG,DEAD,13.2
HOW1004S,HOW,1,4,1,2,S,NA,NA,1920,1920,2000,Y,1920,2000,Y,NA,NA,PCRU,I,LIVE,16
HOW1004N,HOW,1,4,1,2,N,NA,NA,1920,1920,2001,Y,1920,2001,Y,NA,NA,PCRU,I,LIVE,16
HOW1005E,HOW,1,5,1,2,E,NA,NA,1925,1925,2013,Y,1925,2013,Y,NA,NA,TSCA,I,LIVE,17.8
HOW1005W,HOW,1,5,1,2,W,NA,NA,1923,1923,2013,Y,1923,2013,Y,NA,NA,TSCA,I,LIVE,17.8
HOW1006B,HOW,1,6,1,2,B,NA,NA,1877,1877,2013,Y,1877,2013,Y,NA,NA,PCRU,C,LIVE,27.5
HOW1006A,HOW,1,6,1,2,A,NA,NA,1877,1877,2013,Y,1877,2013,Y,NA,NA,PCRU,C,LIVE,27.5
HOW1007N,HOW,1,7,1,2,N,NA,NA,1920,1920,2013,Y,1920,2013,Y,NA,NA,ACRU,C,LIVE,27
HOW1007S,HOW,1,7,1,2,S,NA,NA,1920,1920,2013,Y,1920,2013,Y,NA,NA,ACRU,C,LIVE,27
HOW1008S,HOW,1,8,1,2,S,NA,NA,1931,1931,2013,Y,1931,2013,Y,NA,NA,TSCA,S,LIVE,15.2
HOW1008N,HOW,1,8,1,2,N,NA,NA,1931,1931,2013,Y,1931,2013,Y,NA,NA,TSCA,S,LIVE,15.2
HOW1009N,HOW,1,9,1,2,N,NA,NA,1933,1933,2013,Y,1933,2013,Y,NA,NA,PCRU,C,LIVE,21.3
HOW1009S,HOW,1,9,1,2,S,NA,NA,1933,1933,2013,Y,1933,2013,Y,NA,NA,PCRU,C,LIVE,21.3
HOW1010S,HOW,1,10,1,2,S,NA,NA,1937,1937,2013,Y,1937,2013,Y,NA,NA,PCRU,I,LIVE,13.5
