CoreID,TreeID,plot.id,Site,tree.number,species,canopy.class,live.dead,dbh,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie
HOW1001N,HOW1001,1,HOW,001,,,,,1,2,N,NA,NA,1931,1931,2013,Y,1931,2013,Y,,
HOW1002E,HOW1002,1,HOW,002,,,,,1,2,E,NA,NA,1965,1965,2013,Y,1965,2013,Y,,
HOW1002W,HOW1002,1,HOW,002,,,,,1,2,W,NA,NA,1967,1967,2012,Y,1967,2012,Y,,
HOW1004N,HOW1004,1,HOW,004,,,,,1,2,N,NA,NA,1920,1920,2001,Y,1920,2001,Y,,
HOW1004S,HOW1004,1,HOW,004,,,,,1,2,S,NA,NA,1920,1920,2000,Y,1920,2000,Y,,
HOW1005E,HOW1005,1,HOW,005,,,,,1,2,E,NA,NA,1925,1925,2013,Y,1925,2013,Y,,
HOW1005W,HOW1005,1,HOW,005,,,,,1,2,W,NA,NA,1923,1923,2013,Y,1923,2013,Y,,
HOW1006A,HOW1006,1,HOW,006,,,,,1,2,A,NA,NA,1877,1877,2013,Y,1877,2013,Y,,
HOW1006B,HOW1006,1,HOW,006,,,,,1,2,B,NA,NA,1877,1877,2013,Y,1877,2013,Y,,
HOW1007N,HOW1007,1,HOW,007,,,,,1,2,N,NA,NA,1920,1920,2013,Y,1920,2013,Y,,
HOW1007S,HOW1007,1,HOW,007,,,,,1,2,S,NA,NA,1920,1920,2013,Y,1920,2013,Y,,
HOW1008N,HOW1008,1,HOW,008,,,,,1,2,N,NA,NA,1931,1931,2013,Y,1931,2013,Y,,
HOW1008S,HOW1008,1,HOW,008,,,,,1,2,S,NA,NA,1931,1931,2013,Y,1931,2013,Y,,
HOW1009N,HOW1009,1,HOW,009,,,,,1,2,N,NA,NA,1933,1933,2013,Y,1933,2013,Y,,
HOW1009S,HOW1009,1,HOW,009,,,,,1,2,S,NA,NA,1933,1933,2013,Y,1933,2013,Y,,
HOW1010N,HOW1010,1,HOW,010,,,,,1,2,N,NA,NA,1937,1937,2013,Y,1937,2013,Y,,
HOW1010S,HOW1010,1,HOW,010,,,,,1,2,S,NA,NA,1937,1937,2013,Y,1937,2013,Y,,
HOW1011N,HOW1011,1,HOW,011,,,,,1,2,N,NA,NA,1935,1935,2013,Y,1935,2013,Y,,
