TreeID,CoreID,DBH..cm.,pith.offset,plot.id,Site,tree.number,species,canopy.class,live.dead,stems,total.cores,core.id,pith.present,pith.yr,inner.present,inner.measured,outer.measured,bark.present,inner.dated,outer.dated,dated,Notes,zombie,outer.present
NWB111,NWB111A,12.2,1,NWB,Niwot,1,PICO,NA,LIVE,1,2,A,N,1932,1933,1933,2012,NA,NA,NA,Y,NA,NA,2012
NWB111,NWB111B,12.2,1,NWB,Niwot,1,PICO,NA,LIVE,1,2,B,N,1931,1932,1932,2012,NA,NA,NA,Y,NA,NA,2012
NWB112,NWB112A,11,1,NWB,Niwot,2,PIEN,NA,LIVE,1,2,A,N,1931,1932,1932,2012,NA,NA,NA,Y,NA,NA,2012
NWB112,NWB112B,11,1,NWB,Niwot,2,PIEN,NA,LIVE,1,2,B,N,1931,1932,1932,2012,NA,NA,NA,Y,NA,NA,2012
NWB113,NWB113A,28.9,16,NWB,Niwot,3,PICO,NA,LIVE,1,2,A,N,1848,1864,1864,2012,NA,NA,NA,Y,NA,NA,2012
NWB113,NWB113B,28.9,11,NWB,Niwot,3,PICO,NA,LIVE,1,2,B,N,1794,1805,1805,2012,NA,NA,NA,Y,NA,NA,2012
NWB114,NWB114A,13,5,NWB,Niwot,4,PICO,NA,LIVE,1,2,A,N,1798,1803,1803,2012,NA,NA,NA,Y,NA,NA,2012
NWB114,NWB114B,13,5,NWB,Niwot,4,PICO,NA,LIVE,1,2,B,N,1792,1797,1797,2012,NA,NA,NA,Y,NA,NA,2012
NWB121,NWB121A,13.9,0,NWB,Niwot,5,ABLA,NA,LIVE,1,2,A,Y,1916,1916,1916,2012,NA,NA,NA,Y,NA,NA,2012
NWB121,NWB121B,13.9,0,NWB,Niwot,5,ABLA,NA,LIVE,1,2,B,Y,1916,1916,1916,2012,NA,NA,NA,Y,NA,NA,2012
NWB122,NWB122A,13.5,0,NWB,Niwot,6,PIEN,NA,LIVE,1,2,A,Y,1826,1826,1826,2012,NA,NA,NA,Y,NA,NA,2012
NWB122,NWB122B,13.5,0,NWB,Niwot,6,PIEN,NA,LIVE,1,2,B,Y,1826,1826,1826,2012,NA,NA,NA,Y,NA,NA,2012
