"TreeID","PlotID","Site","Species","Canopy.Class","Live.Dead","DBH..cm.","Stems","Total.Cores"
"NWB111","NWB","Niwot","PICO","C","LIVE",12.2,1,2
"NWB112","NWB","Niwot","PIEN","C","LIVE",11,1,2
"NWB113","NWB","Niwot","PICO","C","LIVE",28.9,1,2
"NWB114","NWB","Niwot","PICO","C","LIVE",13,1,2
"NWB121","NWB","Niwot","ABLA","C","LIVE",13.9,1,2
"NWB122","NWB","Niwot","PIEN","C","LIVE",13.5,1,2
"NWB123","NWB","Niwot","ABLA","C","LIVE",12.2,1,2
"NWB124","NWB","Niwot","PIEN","C","LIVE",13.8,1,2
"NWB131","NWB","Niwot","ABLA","C","LIVE",9.7,1,2
"NWB132","NWB","Niwot","ABLA","C","LIVE",14.1,1,2
"NWB133","NWB","Niwot","ABLA","C","LIVE",12.5,1,2
"NWB134","NWB","Niwot","ABLA","C","LIVE",6,1,2
"NWB141","NWB","Niwot","PICO","C","LIVE",15.2,1,2
"NWB142","NWB","Niwot","PICO","C","LIVE",30.4,1,2
"NWB143","NWB","Niwot","ABLA","C","LIVE",14.3,1,2
"NWB144","NWB","Niwot","ABLA","C","LIVE",8.3,1,2
"NWB151","NWB","Niwot","ABLA","C","LIVE",19.4,1,2
"NWB152","NWB","Niwot","ABLA","C","LIVE",12.4,1,2
"NWB153","NWB","Niwot","PIEN","C","LIVE",26,1,2
"NWB154","NWB","Niwot","ABLA","C","LIVE",14.2,1,2
"NWB161","NWB","Niwot","PICO","C","LIVE",28.2,1,2
"NWB162","NWB","Niwot","PIEN","C","LIVE",20.1,1,2
"NWB163","NWB","Niwot","PIEN","C","LIVE",9,1,2
"NWB164","NWB","Niwot","ABLA","C","LIVE",9.1,1,2
"NWB211","NWB","Niwot","PICO","C","LIVE",13.8,1,2
"NWB212","NWB","Niwot","PICO","C","LIVE",22.7,1,2
"NWB213","NWB","Niwot","PICO","C","LIVE",14.5,1,2
"NWB214","NWB","Niwot","ABLA","C","LIVE",8,1,2
"NWB221","NWB","Niwot","PIEN","C","LIVE",22.9,1,2
"NWB222","NWB","Niwot","ABLA","C","LIVE",7.1,1,2
"NWB223","NWB","Niwot","ABLA","C","LIVE",13,1,2
"NWB224","NWB","Niwot","ABLA","C","DEAD",7.7,1,2
"NWB231","NWB","Niwot","PIEN","C","LIVE",17.4,1,2
"NWB232","NWB","Niwot","ABLA","C","LIVE",15.1,1,2
"NWB233","NWB","Niwot","PICO","C","LIVE",25,1,2
"NWB234","NWB","Niwot","PIEN","C","LIVE",31.3,1,2
"NWB241","NWB","Niwot","ABLA","C","DEAD",17.5,1,2
"NWB242","NWB","Niwot","ABLA","C","DEAD",19,1,2
"NWB243","NWB","Niwot","PICO","C","LIVE",9.6,1,2
"NWB244","NWB","Niwot","ABLA","C","LIVE",14.4,1,2
"NWB251","NWB","Niwot","PICO","C","LIVE",19.2,1,2
"NWB252","NWB","Niwot","PIEN","C","LIVE",16.2,1,2
"NWB253","NWB","Niwot","ABLA","C","LIVE",14.7,1,2
"NWB254","NWB","Niwot","ABLA","C","LIVE",9.5,1,2
"NWB261","NWB","Niwot","ABLA","C","LIVE",13.4,1,2
"NWB262","NWB","Niwot","PIEN","C","LIVE",7.6,1,2
"NWB263","NWB","Niwot","PIEN","C","LIVE",6,1,2
"NWB264","NWB","Niwot","PIEN","C","LIVE",8.7,1,2
"NWB311","NWB","Niwot","PIEN","C","LIVE",17.6,1,2
"NWB312","NWB","Niwot","PICO","C","LIVE",27.6,1,2
"NWB313","NWB","Niwot","ABLA","C","LIVE",6.7,1,2
"NWB314","NWB","Niwot","PICO","C","LIVE",14.8,1,2
"NWB321","NWB","Niwot","PIEN","C","LIVE",36.8,1,2
"NWB322","NWB","Niwot","PIEN","C","LIVE",16.1,1,2
"NWB323","NWB","Niwot","PICO","C","LIVE",17,1,2
"NWB324","NWB","Niwot","ABLA","C","LIVE",12.3,1,2
"NWB331","NWB","Niwot","ABLA","C","LIVE",10.5,1,2
"NWB332","NWB","Niwot","ABLA","C","DEAD",11.2,1,2
"NWB333","NWB","Niwot","ABLA","C","LIVE",13.5,1,2
"NWB334","NWB","Niwot","ABLA","C","LIVE",6.8,1,2
"NWB341","NWB","Niwot","PICO","C","LIVE",14.5,1,2
"NWB342","NWB","Niwot","ABLA","C","LIVE",17.5,1,2
"NWB343","NWB","Niwot","PICO","C","LIVE",8.9,1,2
"NWB344","NWB","Niwot","ABLA","C","DEAD",13.8,1,2
"NWB351","NWB","Niwot","ABLA","C","LIVE",11.7,1,2
"NWB352","NWB","Niwot","ABLA","C","LIVE",15.4,1,2
"NWB353","NWB","Niwot","PIEN","C","LIVE",8.7,1,2
"NWB354","NWB","Niwot","PICO","C","LIVE",26.5,1,2
"NWB361","NWB","Niwot","PICO","C","LIVE",29.3,1,2
"NWB362","NWB","Niwot","ABLA","C","LIVE",21,1,2
"NWB363","NWB","Niwot","ABLA","C","DEAD",19.6,1,2
"NWB364","NWB","Niwot","ABLA","C","LIVE",20.1,1,2
"NWB411","NWB","Niwot","ABLA","C","DEAD",20.5,1,2
"NWB412","NWB","Niwot","PIEN","C","LIVE",21.2,1,2
"NWB413","NWB","Niwot","ABLA","C","LIVE",12.3,1,2
"NWB414","NWB","Niwot","ABLA","C","LIVE",14.3,1,2
"NWB421","NWB","Niwot","ABLA","C","LIVE",7.1,1,2
"NWB422","NWB","Niwot","PIEN","C","LIVE",29,1,2
"NWB423","NWB","Niwot","PIEN","C","LIVE",17.7,1,2
"NWB424","NWB","Niwot","PICO","C","LIVE",36.8,1,2
"NWB431","NWB","Niwot","PIEN","C","LIVE",28.7,1,2
"NWB432","NWB","Niwot","ABLA","C","LIVE",25,1,2
"NWB433","NWB","Niwot","ABLA","C","LIVE",12.5,1,2
"NWB434","NWB","Niwot","ABLA","C","LIVE",8.7,1,2
"NWB441","NWB","Niwot","PICO","C","LIVE",36.1,1,2
"NWB442","NWB","Niwot","PIEN","C","DEAD",41.4,1,2
"NWB443","NWB","Niwot","PICO","C","LIVE",10,1,2
"NWB444","NWB","Niwot","ABLA","C","LIVE",8.7,1,2
"NWB451","NWB","Niwot","ABLA","C","LIVE",18.7,1,2
"NWB452","NWB","Niwot","ABLA","C","LIVE",18.7,1,2
"NWB453","NWB","Niwot","ABLA","C","LIVE",12.7,1,2
"NWB454","NWB","Niwot","ABLA","C","LIVE",15.6,1,2
"NWB461","NWB","Niwot","PICO","C","LIVE",27.6,1,2
"NWB462","NWB","Niwot","PIEN","C","LIVE",6.4,1,2
"NWB463","NWB","Niwot","ABLA","C","LIVE",9.5,1,2
"NWB464","NWB","Niwot","PICO","C","LIVE",25.1,1,2
"NWB511","NWB","Niwot","ABLA","C","LIVE",10.1,1,2
"NWB512","NWB","Niwot","PIEN","C","LIVE",24.5,1,2
"NWB513","NWB","Niwot","PIEN","C","LIVE",20.3,1,2
"NWB514","NWB","Niwot","ABLA","C","LIVE",16.2,1,2
"NWB521","NWB","Niwot","ABLA","C","LIVE",15.3,1,2
"NWB522","NWB","Niwot","PICO","C","LIVE",30.7,1,2
"NWB523","NWB","Niwot","ABLA","C","LIVE",13.5,1,2
"NWB524","NWB","Niwot","PIEN","C","LIVE",20.1,1,2
"NWB531","NWB","Niwot","ABLA","C","LIVE",6.3,1,2
"NWB532","NWB","Niwot","ABLA","C","LIVE",21.7,1,2
"NWB533","NWB","Niwot","ABLA","C","LIVE",14.7,1,2
"NWB534","NWB","Niwot","PIEN","C","LIVE",22.3,1,2
"NWB541","NWB","Niwot","PICO","C","LIVE",7.1,1,2
"NWB542","NWB","Niwot","ABLA","C","LIVE",6.5,1,2
"NWB543","NWB","Niwot","ABLA","C","LIVE",11.5,1,2
"NWB544","NWB","Niwot","PICO","C","LIVE",30.5,1,2
"NWB551","NWB","Niwot","PICO","C","LIVE",32,1,2
"NWB552","NWB","Niwot","PIEN","C","LIVE",10.2,1,2
"NWB553","NWB","Niwot","PICO","C","LIVE",41,1,2
"NWB554","NWB","Niwot","ABLA","C","LIVE",19.8,1,2
"NWB561","NWB","Niwot","PICO","C","LIVE",34.1,1,2
"NWB562","NWB","Niwot","PICO","C","LIVE",30.7,1,2
"NWB563","NWB","Niwot","PICO","C","LIVE",7.9,1,2
"NWB564","NWB","Niwot","ABLA","C","LIVE",19.5,1,2
"NWB611","NWB","Niwot","ABLA","C","LIVE",8.2,1,2
"NWB612","NWB","Niwot","ABLA","C","LIVE",17.3,1,2
"NWB613","NWB","Niwot","PIEN","C","DEAD",14.8,1,2
"NWB614","NWB","Niwot","ABLA","C","LIVE",14,1,2
"NWB621","NWB","Niwot","PIEN","C","LIVE",6.2,1,2
"NWB622","NWB","Niwot","ABLA","C","LIVE",10.3,1,2
"NWB623","NWB","Niwot","ABLA","C","LIVE",11.3,1,2
"NWB624","NWB","Niwot","PIEN","C","LIVE",15.1,1,2
"NWB631","NWB","Niwot","PIEN","C","LIVE",20.9,1,2
"NWB632","NWB","Niwot","PICO","C","LIVE",30.8,1,2
"NWB633","NWB","Niwot","ABLA","C","LIVE",22.9,1,2
"NWB634","NWB","Niwot","PICO","C","DEAD",25.6,1,2
"NWB641","NWB","Niwot","ABLA","C","LIVE",9.5,1,2
"NWB642","NWB","Niwot","ABLA","C","LIVE",12,1,2
"NWB643","NWB","Niwot","PICO","C","LIVE",9.4,1,2
"NWB644","NWB","Niwot","ABLA","C","LIVE",19.1,1,2
"NWB651","NWB","Niwot","ABLA","C","DEAD",16.2,1,2
"NWB652","NWB","Niwot","ABLA","C","LIVE",8.5,1,2
"NWB653","NWB","Niwot","ABLA","C","LIVE",13.6,1,2
"NWB654","NWB","Niwot","PIEN","C","LIVE",20.3,1,2
"NWB661","NWB","Niwot","ABLA","C","LIVE",20.8,1,2
"NWB662","NWB","Niwot","ABLA","C","LIVE",7.9,1,2
"NWB663","NWB","Niwot","ABLA","C","LIVE",9.5,1,2
"NWB664","NWB","Niwot","ABLA","C","LIVE",9.8,1,2
"NWC111","NWC","Niwot","ABLA","C","LIVE",16.2,1,2
"NWC112","NWC","Niwot","ABLA","C","LIVE",22.7,1,2
"NWC113","NWC","Niwot","PICO","C","LIVE",20.3,1,2
"NWC114","NWC","Niwot","PICO","C","LIVE",24.5,1,2
"NWC121","NWC","Niwot","PICO","C","LIVE",19.7,1,2
"NWC122","NWC","Niwot","PICO","C","LIVE",21.3,1,2
"NWC123","NWC","Niwot","PIEN","C","LIVE",11.9,1,2
"NWC124","NWC","Niwot","ABLA","C","LIVE",15.1,1,2
"NWC131","NWC","Niwot","PICO","C","LIVE",23.4,1,2
"NWC132","NWC","Niwot","ABLA","C","LIVE",9.3,1,2
"NWC133","NWC","Niwot","PICO","C","LIVE",12.8,1,2
"NWC134","NWC","Niwot","PICO","C","LIVE",13.9,1,2
"NWC141","NWC","Niwot","PIEN","C","LIVE",7.5,1,2
"NWC142","NWC","Niwot","PIEN","C","LIVE",9.6,1,2
"NWC143","NWC","Niwot","PIEN","C","DEAD",9.8,1,2
"NWC144","NWC","Niwot","PIEN","C","LIVE",7.3,1,2
"NWC151","NWC","Niwot","PIEN","C","LIVE",13.2,1,2
"NWC152","NWC","Niwot","PICO","C","LIVE",7.8,1,2
"NWC153","NWC","Niwot","PICO","C","LIVE",18.9,1,2
"NWC154","NWC","Niwot","ABLA","C","LIVE",12.2,1,2
