"TreeID","Site","Canopy.Class","Species","DBH"
"GB1087","GB","Overstory","TSCA",57.7
"GB2066","GB","Overstory","FAGR",33.6
"GB2025","GB","Overstory","FAGR",55.5
"GB2012","GB","Overstory","FAGR",50.6
"GB1068","GB","Overstory","TSCA",36
"GB1062","GB","Overstory","FAGR",37.5
"GB1080","GB","Overstory","FAGR",40.9
"GB1076","GB","Overstory","TSCA",45.7
"GB1072","GB","Overstory","FAGR",37.9
"GB1066","GB","Overstory","TSCA",44.7
"GB1057","GB","Middle","FAGR",24.4
"GB1047","GB","Overstory","TSCA",44.1
"GB1024","GB","Overstory","TSCA",62.9
"GB1016","GB","Overstory","FAGR",40.3
"GB1013","GB","Overstory","TSCA",47.1
"GB1074","GB","Overstory","FAGR",29.3
"GB2082","GB","Middle","TSCA",32.7
"GB1073","GB","Understory","FAGR",10.2
"GB1058","GB","Overstory","TSCA",61.1
"GB1063","GB","Overstory","TSCA",44.6
"GB1082","GB","Overstory","TSCA",59.6
"GB1033","GB","Overstory","TSCA",38.7
"GE3002","GE","Middle","FAGR",22
"GE3003","GE","Overstory","ACRU",27.9
"GE2085","GE","Middle","QURU",39.4
"GE2083","GE","Understory","QURU",27
"GE3066","GE","Overstory","QURU",45.5
"GE3034","GE","Overstory","ACRU",42.1
"GE3057","GE","Overstory","ACRU",31.6
"GE3051","GE","Overstory","ACRU",41.5
"GE3047","GE","Overstory","ACRU",31.9
"GE3031","GE","Middle","FAGR",30.7
"GE3028","GE","Middle","FAGR",25.2
"GE3025","GE","Overstory","FAGR",25.8
"GE3022","GE","Middle","FAGR",24.3
"GE3015","GE","Overstory","QURU",53.5
"GE3004","GE","Overstory","FAGR",26.5
"GE1088","GE","Overstory","QURU",35.1
"GE1084","GE","Overstory","QURU",44.5
"GE2034","GE","Overstory","QURU",24.4
"GE2067","GE","Overstory","ACRU",31.9
"GE2058","GE","Overstory","QURU",36.3
"GE2051","GE","Understory","QURU",27.5
"GE2010","GE","Overstory","QURU",41.1
"GE1070","GE","Middle","QURU",40.5
"GE1032","GE","Overstory","QURU",29.7
"GE1057","GE","Overstory","QURU",47.9
"GE1040","GE","Overstory","QURU",40.4
"GE1042","GE","Overstory","QURU",50.3
"GE3005","GE","Overstory","ACRU",43.3
"GE1022","GE","Middle","QURU",27.9
"GE1014","GE","Middle","QURU",40.9
"GE1011","GE","Overstory","QURU",51.1
"GE1012","GE","Overstory","QURU",40.5
"GE3037","GE","Overstory","QURU",40.1
"GE1085","GE","Overstory","QURU",44.6
"GE1082","GE","Overstory","QURU",42
"GE3060","GE","Overstory","ACRU",40.8
"GE3050","GE","Overstory","FAGR",21.2
"GE3046","GE","Overstory","FAGR",22.6
"GE2076","GE","Middle","QURU",28.4
"GE3029","GE","Overstory","FAGR",32.1
"GE3026","GE","Overstory","FAGR",25.1
"GE3027","GE","Middle","FAGR",16
"GE3024","GE","Middle","FAGR",25.2
"GE2036","GE","Middle","QURU",44
"GE2065","GE","Overstory","QURU",57.2
"GE2090","GE","Middle","QURU",32.7
"GE2012","GE","Overstory","QURU",29.5
"GE2042","GE","Middle","QURU",32.6
"GE2022","GE","Overstory","QURU",37.9
"GE2008","GE","Overstory","QURU",42.3
"GE1010","GE","Overstory","ACRU",35
"GE1039","GE","Overstory","QURU",40.3
"GE1086","GE","Overstory","QURU",51.8
"GE1023","GE","Overstory","QURU",46.1
"GE1044","GE","Overstory","QURU",47.3
"GE1058","GE","Overstory","QURU",21.7
"GE3063","GE","Overstory","ACRU",41.3
"GE1051","GE","Understory","ACRU",15.2
"GE1030","GE","Middle","QURU",30.4
"GE1019","GE","Overstory","QURU",41.6
"GE3030","GE","Overstory","FAGR",21.3
"GE1020","GE","Overstory","QURU",42.9
"GE2018","GE","Middle","QURU",33.3
"HOW3021","HO","Middle","TSCA",26.2
"HOW2097","HO","Overstory","TSCA",22.8
"HOW3083","HO","Overstory","TSCA",43.4
"HOW3010","HO","Overstory","TSCA",33.2
"HOW2074","HO","Middle","TSCA",22.2
"HOW2005","HO","Overstory","TSCA",35.6
"HOW3026","HO","Overstory","TSCA",35.2
"HOW2042","HO","Middle","TSCA",28.1
"HOW3069","HO","Understory","TSCA",15.6
"HOW2056","HO","Overstory","TSCA",30.4
"HOW2033","HO","Overstory","TSCA",37.8
"HOW3079","HO","Middle","TSCA",22
"HOW2039","HO","Overstory","ACRU",15.2
"HOW3023","HO","Overstory","ACRU",29.3
"HOW3046","HO","Overstory","TSCA",37.5
"HOW2030","HO","Overstory","TSCA",34
"HOW3075","HO","Overstory","TSCA",18.7
"HOW2014","HO","Overstory","TSCA",31.9
"HOW2028","HO","Overstory","TSCA",23.7
"HOW2051","HO","Overstory","TSCA",43.2
"HOW2043","HO","Overstory","ACRU",32.1
"HOW3076","HO","Overstory","TSCA",42.8
"HOW2001","HO","Overstory","TSCA",31.3
"HOW3078","HO","Overstory","TSCA",36
"HOW2099","HO","Overstory","TSCA",28.5
"HOW3061","HO","Overstory","TSCA",44.4
"HOW3084","HO","Overstory","TSCA",47.1
"HOW3003","HO","Middle","TSCA",19.1
"HOW3012","HO","Overstory","TSCA",23.5
"HOW3029","HO","Overstory","TSCA",45.6
"HOW2095","HO","Overstory","TSCA",26
"HOW3047","HO","Overstory","TSCA",43
"HOW3014","HO","Overstory","TSCA",64.4
"HOW2023","HO","Middle","TSCA",28.3
"HOW2044","HO","Overstory","TSCA",45.9
"HOW1082","HO","Overstory","TSCA",40.5
"HOW3005","HO","Overstory","TSCA",48.4
"HOW3071","HO","Overstory","TSCA",43.2
"HOW2002","HO","Overstory","TSCA",35.1
"HOW3054","HO","Overstory","ACRU",33.2
"HOW3074","HO","Understory","TSCA",17
"HOW2064","HO","Middle","TSCA",23.2
"HOW3052","HO","Overstory","TSCA",38.9
"HOW3024","HO","Overstory","ACRU",43.4
"HOW3037","HO","Overstory","TSCA",41.3
"HOW3068","HO","Overstory","TSCA",36.2
"HOW3072","HO","Overstory","TSCA",31.2
"HOW2075","HO","Overstory","ACRU",35.3
"HOW3073","HO","Overstory","ACRU",27
"HOW2092","HO","Overstory","TSCA",25.7
"HOW3034","HO","Overstory","TSCA",39
"HOW3019","HO","Middle","TSCA",24.7
"HOW3070","HO","Understory","TSCA",15.4
"HOW2061","HO","Overstory","ACRU",34.6
"HOW1094","HO","Middle","TSCA",37.6
"HOW3020","HO","Overstory","TSCA",27.9
"HOW3066","HO","Overstory","TSCA",31.1
"HOW3033","HO","Overstory","ACRU",37
"HOW3077","HO","Overstory","TSCA",30.5
"LF3034","LF","Overstory","QURU",35.1
"LF3017","LF","Overstory","ACRU",50
"LF3006","LF","Overstory","QURU",61
"LF1022","LF","Overstory","QURU",67.5
"LF3042","LF","Middle","QURU",32
"LF2014","LF","Middle","ACRU",23.9
"NRP4092","NR","Overstory","TSCA",42.2
"NRP4093","NR","Middle","TSCA",31.2
"NRP4083","NR","Overstory","QURU",55
"NRP4080","NR","Overstory","TSCA",38.3
"NRP4069","NR","Overstory","TSCA",34.7
"NRP4071","NR","Overstory","TSCA",35
"NRP4059","NR","Overstory","ACRU",38.1
"NRP4060","NR","Overstory","QURU",44.5
"NRP4061","NR","Overstory","TSCA",34
"NRP4052","NR","Middle","TSCA",25.2
"NRP4049","NR","Overstory","TSCA",48
"NRP4050","NR","Understory","TSCA",16.2
"NRP4042","NR","Understory","TSCA",23.5
"NRP4039","NR","Overstory","TSCA",24.5
"NRP4033","NR","Overstory","TSCA",42.3
"NRP4028","NR","Overstory","TSCA",41
"NRP4022","NR","Overstory","FAGR",30.1
"NRP4136","NR","Overstory","TSCA",49.9
"NRP4137","NR","Overstory","TSCA",41
"NRP4018","NR","Overstory","ACRU",32.5
"NRP4015","NR","Overstory","TSCA",41.4
"NRP4011","NR","Overstory","TSCA",40.6
"NRP4007","NR","Overstory","TSCA",32.2
"NRP4100","NR","Overstory","TSCA",39.5
"NRP3085","NR","Overstory","TSCA",51.2
"NRP3081","NR","Overstory","TSCA",37.1
"NRP4097","NR","Overstory","TSCA",45.8
"NRP3061","NR","Overstory","TSCA",41
"NRP3058","NR","Overstory","QURU",53.1
"NRP3052","NR","Overstory","TSCA",29.8
"NRP3049","NR","Overstory","TSCA",52.4
"NRP3050","NR","Overstory","TSCA",47.8
"NRP3046","NR","Overstory","TSCA",58.2
"NRP3036","NR","Overstory","TSCA",68.7
"NRP3031","NR","Overstory","QURU",61
"NRP3022","NR","Overstory","QURU",54
"NRP4025","NR","Overstory","TSCA",51.8
"NRP4026","NR","Overstory","TSCA",44
