spp,canopy.class,mean,clim.var
ACRU,all,-0.0716,temp
FAGR,all,-0.0378,temp
TSCA,all,-0.0717,temp
QURU,all,0.018,temp
ACRU,upper,-0.0263,temp
ACRU,mid,-0.0732,temp
ACRU,low,-0.1312,temp
FAGR,upper,-0.0041,temp
FAGR,mid,-0.051,temp
FAGR,low,-0.119,temp
TSCA,upper,-0.0386,temp
TSCA,mid,-0.0855,temp
TSCA,low,-0.1535,temp
QURU,upper,0.0281,temp
QURU,mid,-0.0188,temp
QURU,low,-0.0868,temp
ACRU,all,-2.29E-04,precip
FAGR,all,4.56E-04,precip
TSCA,all,3.01E-04,precip
QURU,all,-4.13E-04,precip
ACRU,upper,1.30E-04,precip
ACRU,mid,-1.66E-04,precip
ACRU,low,-9.03E-04,precip
FAGR,upper,8.13E-04,precip
FAGR,mid,5.17E-04,precip
FAGR,low,-2.20E-04,precip
TSCA,upper,5.16E-04,precip
TSCA,mid,2.20E-04,precip
TSCA,low,-5.17E-04,precip
QURU,upper,-3.31E-04,precip
QURU,mid,-6.27E-04,precip
QURU,low,-1.36E-03,precip
